exposure_label,phenotype,low,high,risk_diff_weighted,risk_ratio_weighted,n_sites,n_patients
NO2,Room air / No ARF,0.07420536564228837,0.07356865636846006,-6.367092738282762e-4,0.9834653820686652,10,21196
NO2,Low-flow O2 / No ARF,0.12879308782251073,0.11583071190923422,-0.01296237591327656,0.9093618576761592,10,28021
NO2,NIV / No ARF,0.26606052400215463,0.2644514686952727,-0.00160905530688181,1.0063530595912396,10,12583
NO2,IMV / Predom. no ARF,0.4353963367861736,0.44013344145766026,0.00473710467148687,1.0201553911737178,10,24289
NO2,IMV / Hypoxemic/mixed ARF,0.3959770688640835,0.38796577442604857,-0.00801129443803514,0.9684258617615122,10,17358
PM2.5,Room air / No ARF,0.07227864221505569,0.07567632309196964,0.00339768087691405,1.008462508204323,10,21196
PM2.5,Low-flow O2 / No ARF,0.12481394533158796,0.11957998668149618,-0.00523395865009196,0.9520156606894232,10,28021
PM2.5,NIV / No ARF,0.26779510904081444,0.26073646808399303,-0.00705864095682127,0.9470722859124954,10,12583
PM2.5,IMV / Predom. no ARF,0.4260996773680149,0.44805950692082747,0.02195982955281257,1.0475973826356946,10,24289
PM2.5,IMV / Hypoxemic/mixed ARF,0.39550118888039715,0.3874430224673256,-0.00805816641307163,0.9647419052456996,10,17358
