pooled_cluster,pooled_cluster_label,h,arf,n,prop
1,Cluster 1: Room air / No ARF,0,Hypercapnic ARF,196,0.00969097651421508
1,Cluster 1: Room air / No ARF,0,Hypoxemic ARF,355,0.017552533992583438
1,Cluster 1: Room air / No ARF,0,Mixed ARF,148,0.007317676143386897
1,Cluster 1: Room air / No ARF,0,No ARF,19526,0.9654388133498146
1,Cluster 1: Room air / No ARF,1,Hypercapnic ARF,290,0.014337271963217482
1,Cluster 1: Room air / No ARF,1,Hypoxemic ARF,705,0.03485440253127008
1,Cluster 1: Room air / No ARF,1,Mixed ARF,268,0.0132496168487665
1,Cluster 1: Room air / No ARF,1,No ARF,18964,0.937558708656746
1,Cluster 1: Room air / No ARF,2,Hypercapnic ARF,338,0.016711163848511817
1,Cluster 1: Room air / No ARF,2,Hypoxemic ARF,876,0.04331059032927915
1,Cluster 1: Room air / No ARF,2,Mixed ARF,350,0.017304459606447147
1,Cluster 1: Room air / No ARF,2,No ARF,18662,0.9226737862157619
1,Cluster 1: Room air / No ARF,3,Hypercapnic ARF,348,0.017205576980124593
1,Cluster 1: Room air / No ARF,3,Hypoxemic ARF,979,0.04840304558489073
1,Cluster 1: Room air / No ARF,3,Mixed ARF,404,0.019974290517156136
1,Cluster 1: Room air / No ARF,3,No ARF,18495,0.9144170869178285
1,Cluster 1: Room air / No ARF,4,Hypercapnic ARF,372,0.018393077873918418
1,Cluster 1: Room air / No ARF,4,Hypoxemic ARF,1034,0.05112484548825711
1,Cluster 1: Room air / No ARF,4,Mixed ARF,444,0.02195302843016069
1,Cluster 1: Room air / No ARF,4,No ARF,18375,0.9085290482076638
1,Cluster 1: Room air / No ARF,5,Hypercapnic ARF,391,0.019332509270704575
1,Cluster 1: Room air / No ARF,5,Hypoxemic ARF,1099,0.05433868974042027
1,Cluster 1: Room air / No ARF,5,Mixed ARF,463,0.022892459826946848
1,Cluster 1: Room air / No ARF,5,No ARF,18272,0.9034363411619283
1,Cluster 1: Room air / No ARF,6,Hypercapnic ARF,402,0.01987540789083358
1,Cluster 1: Room air / No ARF,6,Hypoxemic ARF,1176,0.058142984277662416
1,Cluster 1: Room air / No ARF,6,Mixed ARF,487,0.024077919509542172
1,Cluster 1: Room air / No ARF,6,No ARF,18161,0.8979036883219619
1,Cluster 1: Room air / No ARF,7,Hypercapnic ARF,294,0.014535746069415604
1,Cluster 1: Room air / No ARF,7,Hypoxemic ARF,1045,0.05166617225353506
1,Cluster 1: Room air / No ARF,7,Mixed ARF,364,0.017996637990705035
1,Cluster 1: Room air / No ARF,7,No ARF,18523,0.9158014436863443
1,Cluster 1: Room air / No ARF,8,Hypercapnic ARF,236,0.011668149906061505
1,Cluster 1: Room air / No ARF,8,Hypoxemic ARF,838,0.0414318204291506
1,Cluster 1: Room air / No ARF,8,Mixed ARF,274,0.013546919806190053
1,Cluster 1: Room air / No ARF,8,No ARF,18878,0.9333531098585979
1,Cluster 1: Room air / No ARF,9,Hypercapnic ARF,182,0.008998318995352517
1,Cluster 1: Room air / No ARF,9,Hypoxemic ARF,779,0.038514782952635225
1,Cluster 1: Room air / No ARF,9,Mixed ARF,205,0.010135469198061901
1,Cluster 1: Room air / No ARF,9,No ARF,19060,0.9423514288539504
1,Cluster 1: Room air / No ARF,10,Hypercapnic ARF,157,0.007762286166320577
1,Cluster 1: Room air / No ARF,10,Hypoxemic ARF,673,0.0332740037575398
1,Cluster 1: Room air / No ARF,10,Mixed ARF,183,0.009047760308513795
1,Cluster 1: Room air / No ARF,10,No ARF,19213,0.9499159497676258
1,Cluster 1: Room air / No ARF,11,Hypercapnic ARF,137,0.006773459903095027
1,Cluster 1: Room air / No ARF,11,Hypoxemic ARF,606,0.029961435775734204
1,Cluster 1: Room air / No ARF,11,Mixed ARF,135,0.006674577276772471
1,Cluster 1: Room air / No ARF,11,No ARF,19348,0.9565905270443983
1,Cluster 1: Room air / No ARF,12,Hypercapnic ARF,122,0.006031840205675863
1,Cluster 1: Room air / No ARF,12,Hypoxemic ARF,563,0.02783545930979927
1,Cluster 1: Room air / No ARF,12,Mixed ARF,126,0.006229605458320973
1,Cluster 1: Room air / No ARF,12,No ARF,19415,0.9599030950262039
1,Cluster 1: Room air / No ARF,13,Hypercapnic ARF,108,0.005339925834363411
1,Cluster 1: Room air / No ARF,13,Hypoxemic ARF,519,0.02566131025957973
1,Cluster 1: Room air / No ARF,13,Mixed ARF,126,0.00622991347342398
1,Cluster 1: Room air / No ARF,13,No ARF,19472,0.9627688504326328
1,Cluster 1: Room air / No ARF,14,Hypercapnic ARF,95,0.004696692539674693
1,Cluster 1: Room air / No ARF,14,Hypoxemic ARF,503,0.02486775102585653
1,Cluster 1: Room air / No ARF,14,Mixed ARF,118,0.005833786522964355
1,Cluster 1: Room air / No ARF,14,No ARF,19511,0.9646017699115044
1,Cluster 1: Room air / No ARF,15,Hypercapnic ARF,80,0.003955500618046972
1,Cluster 1: Room air / No ARF,15,Hypoxemic ARF,464,0.022941903584672435
1,Cluster 1: Room air / No ARF,15,Mixed ARF,102,0.005043263288009889
1,Cluster 1: Room air / No ARF,15,No ARF,19579,0.9680593325092707
1,Cluster 1: Room air / No ARF,16,Hypercapnic ARF,76,0.003757539800257095
1,Cluster 1: Room air / No ARF,16,Hypoxemic ARF,457,0.022594680114703846
1,Cluster 1: Room air / No ARF,16,Mixed ARF,94,0.004647483437160091
1,Cluster 1: Room air / No ARF,16,No ARF,19599,0.969000296647879
1,Cluster 1: Room air / No ARF,17,Hypercapnic ARF,69,0.003411619283065513
1,Cluster 1: Room air / No ARF,17,Hypoxemic ARF,439,0.021705809641532757
1,Cluster 1: Room air / No ARF,17,Mixed ARF,90,0.004449938195302843
1,Cluster 1: Room air / No ARF,17,No ARF,19627,0.9704326328800988
1,Cluster 1: Room air / No ARF,18,Hypercapnic ARF,64,0.003164400494437577
1,Cluster 1: Room air / No ARF,18,Hypoxemic ARF,412,0.020370828182941905
1,Cluster 1: Room air / No ARF,18,Mixed ARF,85,0.004202719406674907
1,Cluster 1: Room air / No ARF,18,No ARF,19664,0.9722620519159456
1,Cluster 1: Room air / No ARF,19,Hypercapnic ARF,59,0.002917037476515376
1,Cluster 1: Room air / No ARF,19,Hypoxemic ARF,366,0.01809552061702759
1,Cluster 1: Room air / No ARF,19,Mixed ARF,87,0.004301394245031148
1,Cluster 1: Room air / No ARF,19,No ARF,19714,0.9746860476614259
1,Cluster 1: Room air / No ARF,20,Hypercapnic ARF,52,0.0025709482843864332
1,Cluster 1: Room air / No ARF,20,Hypoxemic ARF,358,0.017699990111737368
1,Cluster 1: Room air / No ARF,20,Mixed ARF,58,0.0028675961633540985
1,Cluster 1: Room air / No ARF,20,No ARF,19758,0.9768614654405221
