pooled_cluster,pooled_cluster_label,h,rs,n,prop
1,Cluster 1: Room air / No ARF,0,Invasive ventilation,5159,0.2550803461063041
1,Cluster 1: Room air / No ARF,0,Low-flow oxygen,6684,0.3304820766378245
1,Cluster 1: Room air / No ARF,0,Noninvasive ventilation,3509,0.1734981458590853
1,Cluster 1: Room air / No ARF,0,Other support,244,0.012064276885043263
1,Cluster 1: Room air / No ARF,0,Room air,4629,0.2288751545117429
1,Cluster 1: Room air / No ARF,1,Invasive ventilation,5119,0.2530900820725798
1,Cluster 1: Room air / No ARF,1,Low-flow oxygen,6733,0.3328883615148818
1,Cluster 1: Room air / No ARF,1,Noninvasive ventilation,3267,0.1615247700978938
1,Cluster 1: Room air / No ARF,1,Other support,255,0.012607534856125778
1,Cluster 1: Room air / No ARF,1,Room air,4852,0.23988925145851875
1,Cluster 1: Room air / No ARF,2,Invasive ventilation,5033,0.24883812914071
1,Cluster 1: Room air / No ARF,2,Low-flow oxygen,6705,0.33150400474636604
1,Cluster 1: Room air / No ARF,2,Noninvasive ventilation,3100,0.15326807079996044
1,Cluster 1: Room air / No ARF,2,Other support,235,0.011618708592900227
1,Cluster 1: Room air / No ARF,2,Room air,5153,0.25477108672006327
1,Cluster 1: Room air / No ARF,3,Invasive ventilation,4977,0.24606941560367843
1,Cluster 1: Room air / No ARF,3,Low-flow oxygen,6787,0.3355581924255908
1,Cluster 1: Room air / No ARF,3,Noninvasive ventilation,2875,0.142143775338673
1,Cluster 1: Room air / No ARF,3,Other support,244,0.012063680411351725
1,Cluster 1: Room air / No ARF,3,Room air,5343,0.264164936220706
1,Cluster 1: Room air / No ARF,4,Invasive ventilation,4872,0.24088998763906058
1,Cluster 1: Room air / No ARF,4,Low-flow oxygen,6809,0.3366625463535229
1,Cluster 1: Room air / No ARF,4,Noninvasive ventilation,2639,0.13048207663782446
1,Cluster 1: Room air / No ARF,4,Other support,251,0.012410383189122373
1,Cluster 1: Room air / No ARF,4,Room air,5654,0.2795550061804697
1,Cluster 1: Room air / No ARF,5,Invasive ventilation,4753,0.23499456145555225
1,Cluster 1: Room air / No ARF,5,Low-flow oxygen,6831,0.33773361020468706
1,Cluster 1: Room air / No ARF,5,Noninvasive ventilation,2425,0.11989518441609809
1,Cluster 1: Room air / No ARF,5,Other support,233,0.011519825966577673
1,Cluster 1: Room air / No ARF,5,Room air,5984,0.29585681795708496
1,Cluster 1: Room air / No ARF,6,Invasive ventilation,4658,0.2302976367052309
1,Cluster 1: Room air / No ARF,6,Low-flow oxygen,6816,0.33699199050726786
1,Cluster 1: Room air / No ARF,6,Noninvasive ventilation,2230,0.11025412834964897
1,Cluster 1: Room air / No ARF,6,Other support,220,0.010877088895481064
1,Cluster 1: Room air / No ARF,6,Room air,6302,0.3115791555423712
1,Cluster 1: Room air / No ARF,7,Invasive ventilation,4518,0.22338689740420273
1,Cluster 1: Room air / No ARF,7,Low-flow oxygen,6849,0.33864029666254636
1,Cluster 1: Room air / No ARF,7,Noninvasive ventilation,2033,0.10051915945611867
1,Cluster 1: Room air / No ARF,7,Other support,223,0.011025957972805932
1,Cluster 1: Room air / No ARF,7,Room air,6602,0.32642768850432635
1,Cluster 1: Room air / No ARF,8,Invasive ventilation,4394,0.21724513003065363
1,Cluster 1: Room air / No ARF,8,Low-flow oxygen,6810,0.3366953426283002
1,Cluster 1: Room air / No ARF,8,Noninvasive ventilation,1849,0.09141698803520222
1,Cluster 1: Room air / No ARF,8,Other support,219,0.010827647582319787
1,Cluster 1: Room air / No ARF,8,Room air,6954,0.3438148917235242
1,Cluster 1: Room air / No ARF,9,Invasive ventilation,4256,0.2104326328800989
1,Cluster 1: Room air / No ARF,9,Low-flow oxygen,6719,0.33221260815822
1,Cluster 1: Room air / No ARF,9,Noninvasive ventilation,1686,0.08336217552533992
1,Cluster 1: Room air / No ARF,9,Other support,222,0.010976514215080346
1,Cluster 1: Room air / No ARF,9,Room air,7342,0.36301606922126084
1,Cluster 1: Room air / No ARF,10,Invasive ventilation,4081,0.20176999901117373
1,Cluster 1: Room air / No ARF,10,Low-flow oxygen,6657,0.32913082171462477
1,Cluster 1: Room air / No ARF,10,Noninvasive ventilation,1549,0.07658459408681895
1,Cluster 1: Room air / No ARF,10,Other support,209,0.01033323445070701
1,Cluster 1: Room air / No ARF,10,Room air,7730,0.3821813507366756
1,Cluster 1: Room air / No ARF,11,Invasive ventilation,3844,0.19005240779195096
1,Cluster 1: Room air / No ARF,11,Low-flow oxygen,6631,0.3278453475724315
1,Cluster 1: Room air / No ARF,11,Noninvasive ventilation,1414,0.06991001681004648
1,Cluster 1: Room air / No ARF,11,Other support,222,0.010975971521803619
1,Cluster 1: Room air / No ARF,11,Room air,8115,0.40121625630376745
1,Cluster 1: Room air / No ARF,12,Invasive ventilation,3661,0.18099569881841104
1,Cluster 1: Room air / No ARF,12,Low-flow oxygen,6462,0.3194739704355564
1,Cluster 1: Room air / No ARF,12,Noninvasive ventilation,1301,0.06431996835912394
1,Cluster 1: Room air / No ARF,12,Other support,222,0.010975428882187176
1,Cluster 1: Room air / No ARF,12,Room air,8581,0.4242349335047214
1,Cluster 1: Room air / No ARF,13,Invasive ventilation,3441,0.17012755858795608
1,Cluster 1: Room air / No ARF,13,Low-flow oxygen,6390,0.31592999110056363
1,Cluster 1: Room air / No ARF,13,Noninvasive ventilation,1205,0.05957678235933946
1,Cluster 1: Room air / No ARF,13,Other support,224,0.011074854148126175
1,Cluster 1: Room air / No ARF,13,Room air,8966,0.44329081380401464
1,Cluster 1: Room air / No ARF,14,Invasive ventilation,3249,0.1606348264609908
1,Cluster 1: Room air / No ARF,14,Low-flow oxygen,6314,0.3121724513003065
1,Cluster 1: Room air / No ARF,14,Noninvasive ventilation,1122,0.05547315336695342
1,Cluster 1: Room air / No ARF,14,Other support,204,0.010086027884900622
1,Cluster 1: Room air / No ARF,14,Room air,9337,0.4616335409868486
1,Cluster 1: Room air / No ARF,15,Invasive ventilation,3101,0.15331751211312172
1,Cluster 1: Room air / No ARF,15,Low-flow oxygen,6116,0.3023830712943736
1,Cluster 1: Room air / No ARF,15,Noninvasive ventilation,1033,0.051072876495599724
1,Cluster 1: Room air / No ARF,15,Other support,194,0.009591614753287847
1,Cluster 1: Room air / No ARF,15,Room air,9782,0.48363492534361713
1,Cluster 1: Room air / No ARF,16,Invasive ventilation,2847,0.14075941857015722
1,Cluster 1: Room air / No ARF,16,Low-flow oxygen,6122,0.30267971917334124
1,Cluster 1: Room air / No ARF,16,Noninvasive ventilation,904,0.04469494709779492
1,Cluster 1: Room air / No ARF,16,Other support,195,0.009641056066449124
1,Cluster 1: Room air / No ARF,16,Room air,10158,0.5022248590922574
1,Cluster 1: Room air / No ARF,17,Invasive ventilation,2687,0.13284880846435282
1,Cluster 1: Room air / No ARF,17,Low-flow oxygen,5987,0.2960051418965688
1,Cluster 1: Room air / No ARF,17,Noninvasive ventilation,874,0.04321170770295659
1,Cluster 1: Room air / No ARF,17,Other support,176,0.00870167111638485
1,Cluster 1: Room air / No ARF,17,Room air,10502,0.519232670819737
1,Cluster 1: Room air / No ARF,18,Invasive ventilation,2515,0.12434490260061307
1,Cluster 1: Room air / No ARF,18,Low-flow oxygen,5846,0.2890339167408286
1,Cluster 1: Room air / No ARF,18,Noninvasive ventilation,790,0.03905863739740927
1,Cluster 1: Room air / No ARF,18,Other support,175,0.008652229803223574
1,Cluster 1: Room air / No ARF,18,Room air,10900,0.5389103134579254
1,Cluster 1: Room air / No ARF,19,Invasive ventilation,2330,0.11519825966577672
1,Cluster 1: Room air / No ARF,19,Low-flow oxygen,5700,0.2818154850192821
