exposure,beta_total,beta_direct,beta_indirect_approx,pct_mediated_approx,site_run,site_name,mediator
NO2_5y_z,0.074496572658021315,0.03822865422783118,0.03626791843019014,0.4868400939286035,run_Emory_20260406,Emory,Severity rank
NO2_5y_z,-0.23555255756470153,-0.24445395969525524,0.00890140213055371,-0.03778945226739334,run_Hopkins_20260407,Hopkins,Severity rank
NO2_5y_z,0.01348746609832878,-0.00824268667216913,0.02173015277049791,1.6111367852253933,run_Michigan_20260407,Michigan,Severity rank
NO2_5y_z,0.20896810479739625,0.07313297369113535,0.1358351311062609,0.6500280568556576,run_Minnesota_20260407,Minnesota,Severity rank
NO2_5y_z,-0.02499029177391279,0.03765167275340308,-0.06264196452731588,2.506651986861051,run_NU_20260402,NU,Severity rank
NO2_5y_z,-0.06028227561784401,7.040518224279105e-4,-0.06098632744027191,1.0116792509110175,run_OHSU_20260407,OHSU,Severity rank
NO2_5y_z,-0.00502599052982383,-0.00839188895956565,0.00336589842974181,-0.6696985220662149,run_Penn_20260406,Penn,Severity rank
NO2_5y_z,0.1243740720968667,0.20255878533959845,-0.07818471324273175,-0.6286254998697709,run_RUSH_20260402,RUSH,Severity rank
NO2_5y_z,0.02254225378463029,0.0514016828069019,-0.0288594290222716,-1.2802370738079647,run_UCMC_20260402,UCMC,Severity rank
NO2_5y_z,0.04583264146696991,0.08245124495612816,-0.03661860348915825,-0.7989634094196401,run_UCSF_20260402,UCSF,Severity rank
NO2_5y_z,0.074496572658021315,0.03822865422783118,0.03626791843019014,0.4868400939286035,run_Emory_20260406,Emory,Trajectory phenotype
NO2_5y_z,-0.23555255756470153,-0.2444539596932797,0.00890140212857817,-0.03778945225900654,run_Hopkins_20260407,Hopkins,Trajectory phenotype
NO2_5y_z,0.01348746609832878,-0.00824268667211697,0.02173015277044576,1.611136785221526,run_Michigan_20260407,Michigan,Trajectory phenotype
NO2_5y_z,0.20896810479739625,0.07313297369113535,0.1358351311062609,0.6500280568556576,run_Minnesota_20260407,Minnesota,Trajectory phenotype
NO2_5y_z,-0.02499029177391279,0.03765167275340308,-0.06264196452731588,2.506651986861051,run_NU_20260402,NU,Trajectory phenotype
NO2_5y_z,-0.06028227561784401,7.040518224279105e-4,-0.06098632744027191,1.0116792509110175,run_OHSU_20260407,OHSU,Trajectory phenotype
NO2_5y_z,-0.00502599052982383,-0.00839188895959586,0.00336589842977203,-0.6696985220722267,run_Penn_20260406,Penn,Trajectory phenotype
NO2_5y_z,0.1243740720968667,0.20255878533841784,-0.07818471324155114,-0.6286254998602785,run_RUSH_20260402,RUSH,Trajectory phenotype
NO2_5y_z,0.02254225378463029,0.0514016828066248,-0.0288594290219945,-1.280237073795672,run_UCMC_20260402,UCMC,Trajectory phenotype
NO2_5y_z,0.04583264146696991,0.08245124495612893,-0.03661860348915902,-0.7989634094196569,run_UCSF_20260402,UCSF,Trajectory phenotype
