term_group,model,term_clean,effect_type,k,estimate_fixed,std_error_fixed,conf_low_fixed,conf_high_fixed,estimate_random,std_error_random,conf_low_random,conf_high_random,tau2,q,i2,pooled_effect_random,pooled_conf_low_random,pooled_conf_high_random,covariate_label,site_included
Post-72h survival,cox72_landmark,race_categoryOther,HR,10,0.13522436747323338,0.12635947595087194,-0.11244020539047561,0.3828889403369424,0.175870763862314,0.18960992498850768,-0.195764689115161,0.5475062168397891,0.11978458360645804,14.837564141278563,0.39343143427688904,1.1922839625191486,0.8222056858641694,1.7289360457125384,Other race,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Post-72h survival,cox72_landmark,race_categoryUnknown,HR,10,0.33544099072310624,0.1085274575286578,0.12272717396693694,0.5481548074792755,0.5654276775216862,0.24199718082824967,0.09111320309831689,1.0397421519450556,0.3430420981964123,32.75380928488455,0.7252228001414974,1.7602004199205998,1.09539300012152,2.828487600290433,Unknown race,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Post-72h survival,cox72_landmark,sex_categoryUnknown,HR,5,1.7277210175726296,0.5874615721508295,0.5762963361570039,2.879145698988255,1.7277210175726296,0.5874615721508295,0.5762963361570039,2.879145698988255,0,2.9871752823527538,0,5.627813594274754,1.7794357793399989,17.79906092685801,Unknown sex,Emory; Hopkins; NU; Penn; UCSF
Post-72h survival,cox72_landmark,race_categoryWhite,HR,10,-0.023867599505891787,0.09163115825305547,-0.2034646696818805,0.15572947067009693,0.08382100989766984,0.15322025272114342,-0.21649068543577127,0.3841327052311109,0.08985364004439245,17.30875088833461,0.48003180252217786,1.0874342364232183,0.8053400362792295,1.4683402851902227,White race,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,polr_severity_rank,admit_year,Ordinal_OR,10,0.013905165580591516,1.255781181518571e-5,0.013880552269433752,0.01392977889174928,0.01984768688209989,0.029028988804976744,-0.037049131175654525,0.0767445049398543,0.008426819020171858,44020860.84962658,0.9999997955514766,1.020045961813141,0.9636287899706502,1.0797661662256757,"Admission year, per year",Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,polr_severity_rank,advanced_cancer_any_poaTRUE,Ordinal_OR,10,-0.27737955304872514,0.0163471165751789,-0.3094199015360758,-0.24533920456137448,-0.2842661295305948,0.032204464782266545,-0.34738688050383726,-0.2211453785573524,0.00609065048791658,27.47460873619739,0.672424816439965,0.7525663379273498,0.7065319319454998,0.8016001363475097,Advanced cancer present on admission,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,polr_severity_rank,age_years,Ordinal_OR,10,-0.011047705753544267,3.30271837248915e-4,-0.01169503855455214,-0.010400372952536393,-0.010726006739702877,0.0010760644837863995,-0.012835093127924219,-0.008616920351481535,9.659012295193496e-6,81.73171569489709,0.8898836281181614,0.98933131175469,0.9872469253997266,0.9914200988997343,"Age, per year",Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,polr_severity_rank,race_categoryAsian,Ordinal_OR,9,0.7928464983556024,0.0019775290297643897,0.7889705414572642,0.7967224552539406,0.1556756120369653,0.12750185222792682,-0.09422801832977123,0.40557924240370186,0.14539236381555035,25001.311402260082,0.9996800167850685,1.1684471114284174,0.9100752247477767,1.500171211213656,Asian race,Emory; Hopkins; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,polr_severity_rank,race_categoryBlack or African American,Ordinal_OR,10,0.2647881783142899,0.007932947943576978,0.24923960034487905,0.2803367562837008,0.03956897035381639,0.16548903406530946,-0.28478953641419014,0.36392747712182294,0.27207647552385117,3335.8970077054187,0.9973020749803692,1.0403622505630787,0.7521725425923013,1.438969852138488,Black race,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,polr_severity_rank,charlson_score,Ordinal_OR,10,-0.017463132486591433,0.0019852414279001836,-0.021354205685275792,-0.013572059287907074,-0.01954420893065577,0.004091966917664987,-0.027564464089279147,-0.011523953772032396,1.0285239519225106e-4,30.123711337480657,0.7012320328271776,0.9806455409396335,0.9728119690944652,0.9885421926499791,"Charlson score, per point",Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,polr_severity_rank,sex_categoryMale,Ordinal_OR,10,0.08463283709621537,0.010214987463521744,0.06461146166771276,0.10465421252471799,0.09072829503552399,0.01694052696448668,0.057524862185130095,0.12393172788591789,0.0013629542251712918,19.678304888846835,0.5426435330260092,1.0949714556569825,1.0592116046423772,1.1319385885206366,Male sex,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,polr_severity_rank,race_categoryNative Hawaiian or Other Pacific Islander,Ordinal_OR,10,-13.223493321989512,3.0600670990034927e-9,-13.223493327987244,-13.22349331599178,-1.0933253052023562,3.3590629884702454,-7.677088762604037,5.490438152199325,112.83303917220294,89102247128.51297,0.9999999998989925,0.33510032807529716,4.633217769727928e-4,242.3633756432862,Native Hawaiian or Pacific Islander race,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,polr_severity_rank,race_categoryOther,Ordinal_OR,10,-0.055135360944216845,5.531080586479714e-4,-0.05621945273916687,-0.05405126914926682,0.14267736250409147,0.12022767468013973,-0.09296887986898239,0.3783236048771653,0.1434811187873915,60531.56327254455,0.9998513172382567,1.1533576252141136,0.9112218571984851,1.4598352762622375,Other race,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,polr_severity_rank,race_categoryUnknown,Ordinal_OR,10,0.8263825867743452,4.0031738403683377e-4,0.8255979647016329,0.8271672088470574,0.42686549728108797,0.10403759646604413,0.2229518082076415,0.6307791863545344,0.10770617482764305,133436.24325808385,0.9999325520579698,1.532446529636843,1.249760344093708,1.8790741579330505,Unknown race,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,polr_severity_rank,sex_categoryUnknown,Ordinal_OR,5,0.4270459721550634,7.50491978070323e-6,0.42703126251229323,0.4270606817978336,0.3149188372539925,0.24791947112235455,-0.17100332614582242,0.8008410006538074,0.3073202595664387,2634704629.433956,0.9999999984818032,1.370148101461672,0.8428187701288264,2.2274133971317163,Unknown sex,Emory; Hopkins; NU; Penn; UCSF
Trajectory severity,polr_severity_rank,race_categoryWhite,Ordinal_OR,10,0.16414101840158926,0.009573397673913018,0.14537715896071973,0.1829048778424588,-0.03564585248293775,0.17861951366195272,-0.3857400992603651,0.31444839429448956,0.31723815815047607,2815.7897201130386,0.9968037385974835,0.9649819789478765,0.6799472215034204,1.3695036765283346,White race,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
