pooled_cluster,pooled_cluster_label,n_sites,n_patients,mortality,pm25_mean,no2_mean
1,Cluster 1: Room air / No ARF,10,21196,0.10621105741526699,7.776109109215227,7.46839323302436
2,Cluster 2: Low-flow oxygen / No ARF,10,28021,0.18281804049535286,7.747689574723877,7.514881293876374
3,Cluster 3: Noninvasive ventilation / No ARF,10,12583,0.32614694742169653,7.762315374510818,7.4464573797783915
4,Cluster 4: Invasive ventilation / Predominantly no ARF,10,24289,0.44316950222151114,7.802748206653552,7.50532910419222
5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,10,17358,0.3718173438212716,7.721505168412365,7.63110603375369
