start_support,phenotype,n
CPAP,IMV / Hypoxemic/mixed ARF,23
CPAP,IMV / Predom. no ARF,18
CPAP,Low-flow O2 / No ARF,92
CPAP,NIV / No ARF,137
CPAP,Room air / No ARF,49
Face mask,IMV / Hypoxemic/mixed ARF,595
Face mask,IMV / Predom. no ARF,487
Face mask,Low-flow O2 / No ARF,2488
Face mask,NIV / No ARF,1183
Face mask,Room air / No ARF,1205
High-flow NC,IMV / Hypoxemic/mixed ARF,1074
High-flow NC,IMV / Predom. no ARF,422
High-flow NC,Low-flow O2 / No ARF,2087
High-flow NC,NIV / No ARF,4756
High-flow NC,Room air / No ARF,698
IMV,IMV / Hypoxemic/mixed ARF,10161
IMV,IMV / Predom. no ARF,15705
IMV,Low-flow O2 / No ARF,2766
IMV,NIV / No ARF,444
IMV,Room air / No ARF,3866
NIV,IMV / Hypoxemic/mixed ARF,924
NIV,IMV / Predom. no ARF,685
NIV,Low-flow O2 / No ARF,4101
NIV,NIV / No ARF,2572
NIV,Room air / No ARF,2140
Nasal cannula,IMV / Hypoxemic/mixed ARF,1118
Nasal cannula,IMV / Predom. no ARF,937
Nasal cannula,Low-flow O2 / No ARF,11084
Nasal cannula,NIV / No ARF,1395
Nasal cannula,Room air / No ARF,5519
Other,IMV / Hypoxemic/mixed ARF,51
Other,IMV / Predom. no ARF,41
Other,Low-flow O2 / No ARF,403
Other,NIV / No ARF,134
Other,Room air / No ARF,192
Room air,IMV / Hypoxemic/mixed ARF,384
Room air,IMV / Predom. no ARF,636
Room air,Low-flow O2 / No ARF,1425
Room air,NIV / No ARF,181
Room air,Room air / No ARF,4495
Trach collar,IMV / Hypoxemic/mixed ARF,39
Trach collar,IMV / Predom. no ARF,37
Trach collar,Low-flow O2 / No ARF,311
Trach collar,NIV / No ARF,9
Trach collar,Room air / No ARF,27
Unknown / missing,IMV / Hypoxemic/mixed ARF,2824
Unknown / missing,IMV / Predom. no ARF,5129
Unknown / missing,Low-flow O2 / No ARF,2791
Unknown / missing,NIV / No ARF,1667
Unknown / missing,Room air / No ARF,2508
NA,IMV / Hypoxemic/mixed ARF,171
NA,IMV / Predom. no ARF,200
NA,Low-flow O2 / No ARF,473
NA,NIV / No ARF,105
NA,Room air / No ARF,506
