device,n,denom,prop
IMV,30674,98260,0.3121717891308773
Nasal cannula,18667,98260,0.18997557500508855
Unknown / missing,14557,98260,0.14814777121921432
NIV,10194,98260,0.10374516588642377
High-flow NC,8266,98260,0.0841237533075514
Room air,6787,98260,0.06907185019336454
Face mask,5703,98260,0.058039894158355386
NA,1911,98260,0.019448402198249542
Other,821,77584,0.010582078779129717
Trach collar,359,98260,0.003653572155505801
CPAP,320,98260,0.003256665988194586
