Characteristic,Level,Emory,Hopkins,Michigan,Minnesota,NU,OHSU,Penn,RUSH,UCMC,UCSF,Overall
Sex,Male,"4,591 (52.1%)","9,457 (55.8%)",,"7,276 (54.4%)","9,964 (55.3%)","2,227 (58.4%)","12,761 (54.5%)","1,944 (52.3%)","4,443 (57.1%)","1,311 (55.4%)","53,974 (54.9%)"
Race,American Indian or Alaska Native,27 (0.3%),50 (0.3%),,204 (1.5%),41 (0.2%),93 (2.4%),55 (0.2%),9 (0.2%),16 (0.2%),18 (0.8%),513 (0.5%)
Race,Asian,343 (3.9%),654 (3.9%),,941 (7.0%),701 (3.9%),116 (3.0%),945 (4.0%),138 (3.7%),103 (1.3%),558 (23.6%),"4,499 (4.6%)"
Race,Black or African American,"4,845 (54.9%)","6,946 (41.0%)",,"1,005 (7.5%)","2,592 (14.4%)",127 (3.3%),"8,678 (37.1%)","1,543 (41.5%)","5,184 (66.6%)",222 (9.4%),"31,142 (31.7%)"
Race,Native Hawaiian or Other Pacific Islander,3 (0.0%),17 (0.1%),,29 (0.2%),27 (0.1%),47 (1.2%),40 (0.2%),4 (0.1%),9 (0.1%),40 (1.7%),216 (0.2%)
Race,Other,210 (2.4%),"1,195 (7.0%)",,60 (0.4%),"1,224 (6.8%)",52 (1.4%),834 (3.6%),670 (18.0%),200 (2.6%),410 (17.3%),"4,855 (4.9%)"
Race,White,"2,913 (33.0%)","8,031 (47.4%)",,"10,806 (80.7%)","12,943 (71.9%)","3,150 (82.6%)","11,548 (49.3%)","1,289 (34.7%)","1,600 (20.6%)","1,008 (42.6%)","53,288 (54.2%)"
Ethnicity,Hispanic,298 (3.4%),877 (5.2%),,256 (1.9%),"1,735 (9.6%)",311 (8.2%),808 (3.5%),752 (20.2%),458 (5.9%),375 (15.8%),"5,870 (6.0%)"
Ethnicity,Non-Hispanic,"7,893 (89.5%)","14,763 (87.1%)",,"13,127 (98.1%)","15,738 (87.4%)","3,242 (85.0%)","21,987 (93.9%)","2,912 (78.3%)","6,890 (88.5%)","1,884 (79.6%)","88,436 (90.0%)"
Advanced cancer present on admission,No,"7,478 (84.8%)","14,416 (85.0%)",,"11,941 (89.2%)","14,907 (82.8%)","3,279 (86.0%)","18,639 (79.6%)","3,056 (82.2%)","6,496 (83.5%)","1,768 (74.7%)","81,980 (83.4%)"
Advanced cancer present on admission,Yes,"1,342 (15.2%)","2,542 (15.0%)",,"1,442 (10.8%)","3,098 (17.2%)",535 (14.0%),"4,773 (20.4%)",662 (17.8%),"1,286 (16.5%)",600 (25.3%),"16,280 (16.6%)"
In-hospital death,No,"7,141 (81.0%)","13,574 (80.0%)",,"10,485 (78.3%)","13,813 (76.7%)","3,049 (79.9%)","17,569 (75.0%)","3,354 (90.2%)","5,422 (69.7%)","1,733 (73.2%)","76,140 (77.5%)"
In-hospital death,Yes,"1,679 (19.0%)","3,384 (20.0%)",,"2,898 (21.7%)","4,192 (23.3%)",765 (20.1%),"5,843 (25.0%)",364 (9.8%),"2,360 (30.3%)",635 (26.8%),"22,120 (22.5%)"
Hospice discharge,No,"8,513 (96.5%)","16,238 (95.8%)",,"12,944 (96.7%)","16,602 (92.2%)","3,610 (94.7%)","21,906 (93.6%)","3,566 (95.9%)","7,465 (95.9%)","2,254 (95.2%)","93,098 (94.7%)"
Hospice discharge,Yes,307 (3.5%),720 (4.2%),,439 (3.3%),"1,403 (7.8%)",204 (5.3%),"1,506 (6.4%)",152 (4.1%),317 (4.1%),114 (4.8%),"5,162 (5.3%)"
Death or hospice discharge,No,"6,834 (77.5%)","12,855 (75.8%)",,"10,046 (75.1%)","12,410 (68.9%)","2,845 (74.6%)","16,063 (68.6%)","3,202 (86.1%)","5,105 (65.6%)","1,619 (68.4%)","70,979 (72.2%)"
Death or hospice discharge,Yes,"1,986 (22.5%)","4,103 (24.2%)",,"3,337 (24.9%)","5,595 (31.1%)",969 (25.4%),"7,349 (31.4%)",516 (13.9%),"2,677 (34.4%)",749 (31.6%),"27,281 (27.8%)"
Any invasive mechanical ventilation in first 72 hours,No,"5,330 (60.4%)","6,520 (38.4%)",,"7,193 (53.7%)","9,218 (51.2%)","1,838 (48.2%)","12,236 (52.3%)","2,491 (67.0%)","2,750 (35.3%)","1,124 (47.5%)","48,700 (49.6%)"
Any invasive mechanical ventilation in first 72 hours,Yes,"3,490 (39.6%)","10,438 (61.6%)",,"6,190 (46.3%)","8,787 (48.8%)","1,976 (51.8%)","11,176 (47.7%)","1,227 (33.0%)","5,032 (64.7%)","1,244 (52.5%)","49,560 (50.4%)"
Any vasopressor in first 72 hours,No,"5,235 (59.4%)","9,354 (55.2%)",,"8,011 (59.9%)","10,655 (59.2%)","2,024 (53.1%)","14,394 (61.5%)","2,754 (74.1%)","4,220 (54.2%)","1,139 (48.1%)","57,786 (58.8%)"
Any vasopressor in first 72 hours,Yes,"3,585 (40.6%)","7,604 (44.8%)",,"5,372 (40.1%)","7,350 (40.8%)","1,790 (46.9%)","9,018 (38.5%)",964 (25.9%),"3,562 (45.8%)","1,229 (51.9%)","40,474 (41.2%)"
