term_group,model,term,effect_type,k,estimate_fixed,std_error_fixed,conf_low_fixed,conf_high_fixed,estimate_random,std_error_random,conf_low_random,conf_high_random,tau2,q,i2,pooled_effect_fixed,pooled_effect_random,pooled_conf_low_random,pooled_conf_high_random,site_included
icu_los,glm_los_quasipoisson,no2_5y_z,RR_like,10,-0.01712535487687562,0.008203995686555285,-0.03320518642252398,-0.0010455233312272605,-0.0066213376310784,0.034425009187862406,-0.07409435563928872,0.060851680377131914,0.01083314770203161,144.4595965440697,0.9376988430307958,0.9830204505035323,0.9934005351226791,0.9285840725637713,1.0627412771117208,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
icu_los,glm_los_quasipoisson,pm25_5y_z,RR_like,10,-0.05106516553870963,0.007657301155778834,-0.06607347580403614,-0.036056855273383114,-0.05505178833306146,0.021740109708760568,-0.09766240336223217,-0.012441173303890746,0.003879879640420648,65.13456321653162,0.86182451289217,0.9502167471285953,0.9464361323346335,0.9069550370473419,0.9876358981418649,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
mortality,glm_mortality,no2_5y_z,OR,10,-0.04314549947625565,0.015337660311710941,-0.07320731368720909,-0.013083685265302205,0.004030969611505412,0.04339705144966621,-0.08102725122984036,0.08908919045285119,0.01468328806171563,61.9999362202727,0.8548385603490801,0.9577720246005237,1.0040391048968664,0.9221685608747862,1.093178153032894,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
mortality,glm_mortality,pm25_5y_z,OR,10,0.02682784366407633,0.014425447861958936,-0.0014460341453631856,0.055101721473515844,-0.0075395218791586656,0.0398039979074186,-0.08555535777769913,0.07047631401938179,0.012156252055482679,58.52712857077147,0.8462251571232112,1.0271909501105088,0.992488829020438,0.9180023230790031,1.0730191536188394,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
mortality_direct_no2_plus_cluster,glm_direct_no2_cluster,no2_5y_z,OR,10,-0.04314549947636359,0.015337660311710478,-0.07320731368731613,-0.013083685265411055,0.004030969611389508,0.04339705144970874,-0.08102725123003963,0.08908919045281864,0.014683288061750184,61.999936220399874,0.8548385603493778,0.9577720246004202,1.0040391048967499,0.9221685608746024,1.0931781530328584,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
mortality_direct_no2_plus_severity,glm_direct_no2_severity,no2_5y_z,OR,10,-0.043145499476811,0.01533766031171116,-0.07320731368776487,-0.013083685265857126,0.004030969611360748,0.043397051450003984,-0.08102725123064707,0.08908919045336856,0.01468328806199191,61.99993622126869,0.854838560351412,0.9577720245999918,1.004039104896721,0.9221685608740423,1.0931781530334594,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
mortality_total_no2,glm_total_no2,no2_5y_z,OR,10,-0.04531408483198971,0.014201541195678463,-0.0731491055755195,-0.017479064088459922,0.005009598646436449,0.04602766810021069,-0.0852046308299765,0.0952238281228494,0.01740328405043362,82.29129894208911,0.8906324226777175,0.9556972646739318,1.005022167665551,0.9183243476998341,1.099905017251396,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
post72_survival,cox72_landmark,no2_5y_z,HR,10,-0.10792549266260584,0.010125599159135848,-0.1277716670145121,-0.08807931831069958,-0.13087934338331786,0.04290173804187334,-0.2149667499453896,-0.04679193682124612,0.016587721399328393,146.82565190268667,0.9387028091932802,0.8976944787641978,0.8773236229053284,0.8065682581701057,0.9542859286999135,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
post72_survival,cox72_landmark,pm25_5y_z,HR,10,0.09025017922949619,0.009789794522035813,0.071062181966306,0.10943817649268638,0.11469030120834434,0.04278174475634304,0.03083808148591198,0.19854252093077668,0.016639203766769046,157.21829334455887,0.942754753225341,1.094448057629289,1.1215260485196932,1.03131850080724,1.2196238858545327,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
trajectory_severity,polr_severity_rank,no2_5y_z,Ordinal_OR,10,-0.06667072611303837,0.007753721309960068,-0.0818680198805601,-0.051473432345516636,-0.06660443350378097,0.05726617100864848,-0.178846128680732,0.04563726167317006,0.03185222917936804,458.86921067627287,0.98038656813183,0.9355031873988898,0.9355652064018292,0.8362345620133129,1.0466946658152627,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
trajectory_severity,polr_severity_rank,pm25_5y_z,Ordinal_OR,10,0.01088498975736287,0.007644195559925753,-0.004097633540091605,0.025867613054817343,-0.02272170939437052,0.057412079018583535,-0.13524938427079425,0.08980596548205322,0.03207963303784741,476.8035357571724,0.9811243010484227,1.010944446792284,0.9775344845876256,0.8734980478495532,1.0939619967216891,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
