site_run,site_name,local_cluster,prototype_idx,distance,pooled_cluster,pooled_severity_rank,arf_label,dominant_rs,pooled_cluster_label,phenotype_label,phenotype_label_short,is_worst_cluster,severity_score,local_severity_rank,n,death_pct,imv72_pct,sofa_total_mean,icu_los_median
run_Emory_20260406,Emory,2,4,1.012992099866684,1,1,NO_ARF,ROOM_AIR,Cluster 1: Room air / No ARF,Room air / No ARF,Room air / No ARF,FALSE,-1.9277613494942862,2,1849,0.05949161709031909,0.1719848566792861,4.030286641427799,44.56666666666667
run_Emory_20260406,Emory,1,5,2.941527585798062,2,2,NO_ARF,LOW_O2,Cluster 2: Low-flow oxygen / No ARF,Low-flow oxygen / No ARF,Low-flow O2 / No ARF,FALSE,-1.6816016627568535,1,2359,0.14582450190758797,0.04196693514200932,4.150487494701145,63.11666666666667
run_Emory_20260406,Emory,3,2,3.3243729582203643,3,3,NO_ARF,NIV,Cluster 3: Noninvasive ventilation / No ARF,Noninvasive ventilation / No ARF,NIV / No ARF,FALSE,-0.4452966456542164,3,1466,0.1855388813096862,0.06002728512960437,4.871759890859481,90.29166666666669
run_Emory_20260406,Emory,4,1,0.19705320295099038,4,4,NO_ARF_PREDOM,IMV,Cluster 4: Invasive ventilation / Predominantly no ARF,Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF,FALSE,1.5867867915959155,5,1943,0.43386515697375194,1,10.737519300051469,158.48333333333332
run_Emory_20260406,Emory,5,3,1.9314702602016451,5,5,HYPOX_MIXED_ARF,IMV,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF,TRUE,2.467872866309441,4,1042,0.28982725527831094,1,10.602687140115163,145.20833333333334
run_Hopkins_20260407,Hopkins,4,4,0.15603578351239303,1,1,NO_ARF,ROOM_AIR,Cluster 1: Room air / No ARF,Room air / No ARF,Room air / No ARF,FALSE,-1.9277613494942862,3,3934,0.09157335357752894,0.4740937559309167,6.148984627063959,53.583333333333336
run_Hopkins_20260407,Hopkins,3,5,0.5032528244461594,2,2,NO_ARF,LOW_O2,Cluster 2: Low-flow oxygen / No ARF,Low-flow oxygen / No ARF,Low-flow O2 / No ARF,FALSE,-1.6816016627568535,2,4660,0.15724126882409484,0.3040692085869913,6.31400192246075,77.43333333333334
run_Hopkins_20260407,Hopkins,5,2,1.091347780067229,3,3,NO_ARF,NIV,Cluster 3: Noninvasive ventilation / No ARF,Noninvasive ventilation / No ARF,NIV / No ARF,FALSE,-0.4452966456542164,1,1108,0.34287638935668574,0.05658470865611317,4.816099696867632,148.45
run_Hopkins_20260407,Hopkins,1,1,0.10854538027317061,4,4,NO_ARF_PREDOM,IMV,Cluster 4: Invasive ventilation / Predominantly no ARF,Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF,FALSE,1.5867867915959155,5,4465,0.3966727971911051,0.999916401939475,10.437217856545727,188.05
run_Hopkins_20260407,Hopkins,2,3,0.4367386642807898,5,5,HYPOX_MIXED_ARF,IMV,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF,TRUE,2.467872866309441,4,2738,0.29547313880556314,0.9599127352058904,11.4485955822198,281.93333333333334
run_Michigan_20260407,Michigan,3,4,0.10063105528539358,1,1,NO_ARF,ROOM_AIR,Cluster 1: Room air / No ARF,Room air / No ARF,Room air / No ARF,FALSE,-1.9277613494942862,3,970,0.18556701030927836,0.3402061855670103,5.409278350515464,48.08333333333333
run_Michigan_20260407,Michigan,2,5,0.5008260592158968,2,2,NO_ARF,LOW_O2,Cluster 2: Low-flow oxygen / No ARF,Low-flow oxygen / No ARF,Low-flow O2 / No ARF,FALSE,-1.6816016627568535,1,1713,0.23117338003502627,0.24576765907764156,5.0700525394045535,71.18333333333334
run_Michigan_20260407,Michigan,5,2,0.14042845300597223,3,3,NO_ARF,NIV,Cluster 3: Noninvasive ventilation / No ARF,Noninvasive ventilation / No ARF,NIV / No ARF,FALSE,-0.4452966456542164,2,656,0.3125,0.2698170731707317,4.280487804878049,141
run_Michigan_20260407,Michigan,1,1,0.22183936442822577,4,4,NO_ARF_PREDOM,IMV,Cluster 4: Invasive ventilation / Predominantly no ARF,Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF,FALSE,1.5867867915959155,4,1567,0.4313975749840459,1,10.287172941927247,151.95
run_Michigan_20260407,Michigan,4,3,0.6809486926500021,5,5,HYPOX_MIXED_ARF,IMV,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF,TRUE,2.467872866309441,5,1521,0.40828402366863903,1,12.354372123602891,283.1666666666667
run_Minnesota_20260407,Minnesota,3,4,0.07720585670191443,1,1,NO_ARF,ROOM_AIR,Cluster 1: Room air / No ARF,Room air / No ARF,Room air / No ARF,FALSE,-1.9277613494942862,1,3180,0.08993710691823899,0.2569182389937107,5.215723270440251,42.90833333333333
