model,outcome_level,term,estimate,std_error,statistic,p_value,effect,conf_low,conf_high,effect_type
multinom_traj_cluster,2,(Intercept),-194.1908282880015,1.6605327267671225e-4,-1169448.9675374844,0,4.6131209171564075e-85,4.6116197547589984e-85,4.6146225682082735e-85,RRR
multinom_traj_cluster,2,pm25_5y_z,-0.1337816392333198,0.08293180517483743,-1.6131523840736417,0.10671140540227259,0.8747810616127395,0.7435435225711559,1.0291823982409574,RRR
multinom_traj_cluster,2,no2_5y_z,0.22050454936283792,0.08403447364962671,2.623977277256587,0.008690958308730392,1.246705596441438,1.0573829931164513,1.469926085738762,RRR
multinom_traj_cluster,2,age_years,0.01627185775777519,0.005340836838400036,3.0466869238135685,0.002313785654522577,1.016404965424852,1.0058206923338655,1.0271006170525083,RRR
multinom_traj_cluster,2,sex_categoryMale,0.033448713781715614,0.10671137681982565,0.31345030659843626,0.7539385692551764,1.0340144116775571,0.8388649215802256,1.274562538081564,RRR
multinom_traj_cluster,2,race_categoryAsian,-1.422100174777434,0.09353667328992643,-15.203664239474179,3.343818823602921e-52,0.24120690791054203,0.20080277843638794,0.28974087349192584,RRR
multinom_traj_cluster,2,race_categoryBlack or African American,-1.2609323895673679,0.11088611970591525,-11.371417747428879,5.8037157051654805e-30,0.28338967370376594,0.22803202846017506,0.3521860841401615,RRR
multinom_traj_cluster,2,race_categoryNative Hawaiian or Other Pacific Islander,0.4013376435887389,0.0043347623688812465,92.58584656679108,0,1.4938215626326716,1.4811836169645987,1.5065673394088392,RRR
multinom_traj_cluster,2,race_categoryOther,-1.2174050133257472,0.052776300960353795,-23.06726676885288,9.870656216498394e-118,0.29599728016686533,0.26690925074446115,0.3282553512919032,RRR
multinom_traj_cluster,2,race_categoryUnknown,-1.4819176009753496,0.004549248400384182,-325.74998561305256,0,0.2272015883970569,0.22518474431494254,0.229236496136476,RRR
multinom_traj_cluster,2,race_categoryWhite,-1.0269177445159663,0.098300654210248,-10.446703053670099,1.5170764662335864e-25,0.35810904481128875,0.2953521142589766,0.43420067703732707,RRR
multinom_traj_cluster,2,admit_year,0.0958975854448142,1.9876255576499214e-4,482.47309497367894,0,1.1006463360166645,1.1002176356611428,1.1010752034154958,RRR
multinom_traj_cluster,2,charlson_score,0.04908045389100365,0.02209035371753012,2.221804798537705,0.02629650030632459,1.0503048484526958,1.0058001165208477,1.0967788296735346,RRR
multinom_traj_cluster,2,advanced_cancer_any_poaTRUE,-0.3712660641508562,0.14076483863702355,-2.6374914910974576,0.008352172088515214,0.6898603700254097,0.5235277990027445,0.909039273631963,RRR
multinom_traj_cluster,3,(Intercept),-255.6955404762402,1.7068757626659354e-4,-1498032.5227471413,0,8.970935288066275e-112,8.967934584719063e-112,8.973936995459678e-112,RRR
multinom_traj_cluster,3,pm25_5y_z,-0.0766941227713973,0.09649116883993056,-0.7948304875301632,0.4267121138615746,0.9261731055468587,0.7665795415113228,1.1189923223716016,RRR
multinom_traj_cluster,3,no2_5y_z,0.299043859171896,0.09264352979017834,3.2278979422435534,0.0012470345638968432,1.3485687692853237,1.1246395010397285,1.6170850515302044,RRR
multinom_traj_cluster,3,age_years,0.010021548188547804,0.007958242758766465,1.2592664602381585,0.2079341033850886,1.0100719320701084,0.9944389127938126,1.0259507093196176,RRR
multinom_traj_cluster,3,sex_categoryMale,0.13570079843734278,0.16347335224955614,0.8301095962734271,0.40647682195097073,1.1453391550585,0.8313478563867089,1.5779216486003929,RRR
multinom_traj_cluster,3,race_categoryAsian,23.420326108776077,0.028942074818182274,809.2137918896792,0,14836053590.730434,14017882068.574537,15701978734.752478,RRR
multinom_traj_cluster,3,race_categoryBlack or African American,22.888953372180364,0.08780411694772021,260.6820063552232,0,8720595572.907703,7341854489.916482,10358253115.839476,RRR
multinom_traj_cluster,3,race_categoryNative Hawaiian or Other Pacific Islander,25.636233283420435,0.004140826099653504,6191.091503592875,0,136042514904.26291,134942859694.89644,137151131251.56747,RRR
multinom_traj_cluster,3,race_categoryOther,23.973926041617347,0.0333832997808202,718.1412921736141,0,25807372441.928932,24172821828.159027,27552450313.45835,RRR
multinom_traj_cluster,3,race_categoryUnknown,23.756196045843048,0.0023415814605084193,10145.363911740636,0,20757968745.814297,20662918339.005363,20853456389.013866,RRR
multinom_traj_cluster,3,race_categoryWhite,23.172543702674325,0.1254583763507522,184.7030415720456,0,11579981397.706831,9055564657.931477,14808128950.168327,RRR
multinom_traj_cluster,3,admit_year,0.11366983617039667,2.97066787290973e-4,382.64067554296656,0,1.1203821541494032,1.119730000505292,1.1210346876211297,RRR
multinom_traj_cluster,3,charlson_score,0.06550978418619295,0.025840859693232087,2.5351240231125303,0.011240752106896214,1.0677031838691422,1.0149726833617052,1.1231731725710352,RRR
multinom_traj_cluster,3,advanced_cancer_any_poaTRUE,0.051385850853461514,0.026928137875129675,1.9082586063598748,0.056357800204482736,1.0527290113151504,0.9986076708091499,1.1097835553041493,RRR
multinom_traj_cluster,4,(Intercept),-160.2196054828507,1.7535450359940804e-4,-913689.7096687489,0,2.6152273297794545e-70,2.6143286441202972e-70,2.6161263243653093e-70,RRR
multinom_traj_cluster,4,pm25_5y_z,-0.42474883679345016,0.10124688723364772,-4.195179213887891,2.7265591978492353e-5,0.6539340086680178,0.536229662015046,0.7974748843353324,RRR
multinom_traj_cluster,4,no2_5y_z,0.3758206075031384,0.0982575245387655,3.824853203531156,1.3085002959886075e-4,1.4561858815172597,1.2010976648583023,1.7654495413413018,RRR
multinom_traj_cluster,4,age_years,-0.006132352735766986,0.007072306595744089,-0.8670937342361911,0.3858906534259267,0.9938864117628361,0.9802044823112164,1.0077593168699412,RRR
multinom_traj_cluster,4,sex_categoryMale,0.229304178810417,0.14873656288067566,1.5416799633481981,0.12315138328609486,1.2577245539890787,0.9396766197630798,1.683420679452324,RRR
multinom_traj_cluster,4,race_categoryAsian,9.386095795581982,0.0508385071566996,184.62571622434163,0,11921.464521114682,10790.833703242733,13170.559405941682,RRR
multinom_traj_cluster,4,race_categoryBlack or African American,9.263796287114488,0.09150770573833422,101.235149678042,0,10549.104851596414,8817.037285234972,12621.429349780652,RRR
multinom_traj_cluster,4,race_categoryNative Hawaiian or Other Pacific Islander,10.160632914595586,0.001550335455238508,6553.828644157819,0,25864.662002474375,25786.18744253286,25943.375382387694,RRR
multinom_traj_cluster,4,race_categoryOther,8.970095106722962,0.014148342920567708,634.0032297127156,0,7864.34952242901,7649.261258173758,8085.485816665054,RRR
multinom_traj_cluster,4,race_categoryUnknown,-44.67074781316755,7.006436329557539e-27,-6375673125682787e12,0,3.9786956788917496e-20,3.9786956788917496e-20,3.9786956788917496e-20,RRR
multinom_traj_cluster,4,race_categoryWhite,8.941675474454643,0.10107308274200252,88.46742606316872,0,7643.993648560837,6270.25455872385,9318.702829687105,RRR
multinom_traj_cluster,4,admit_year,0.07402912780201035,2.6045025662379477e-4,284.2351885601753,0,1.0768381709684551,1.0762886042076742,1.0773880183450704,RRR
multinom_traj_cluster,4,charlson_score,0.10868689254875694,0.02342059751234562,4.640654128976222,3.4730801593218797e-6,1.1148132393576875,1.0647952438959283,1.1671807944031831,RRR
multinom_traj_cluster,4,advanced_cancer_any_poaTRUE,-0.31924553047066484,0.03995524498394316,-7.990078163679393,1.3485322582276633e-15,0.7266971011187325,0.6719590951398983,0.785894082830182,RRR
glm_mortality,NA,(Intercept),-138.26662880785176,76.45005234125375,-1.8085877585886325,0.07051507168268954,8.944706142115724e-61,7.515671099441041e-126,106454.58923123067,OR
glm_mortality,NA,pm25_5y_z,-0.2665205793464554,0.13004059595273298,-2.0495182861460433,0.0404114616101646,0.7660402389565041,0.5936887140434512,0.9884264831377433,OR
glm_mortality,NA,no2_5y_z,0.29527684917398467,0.14012139916657138,2.1072930396803273,0.03509218632012243,1.3434982535862587,1.0208533618763438,1.768116386541288,OR
glm_mortality,NA,traj_cluster_ra2,1.4080406450473755,0.14447532560462079,9.745890096837005,1.9208803075006013e-22,4.0879378307654655,3.0798133880741303,5.426054634645684,OR
glm_mortality,NA,traj_cluster_ra3,2.9935259659812163,0.20837786823736645,14.365853683517122,8.475585428475106e-47,19.955922490695805,13.26468637462043,30.02248460367796,OR
glm_mortality,NA,traj_cluster_ra4,3.0327979351739986,0.19276685194232582,15.732984715034853,8.987281703366943e-56,20.755223193600095,14.224629093005488,30.284043752534643,OR
glm_mortality,NA,age_years,0.026301085494322692,0.005892711095037346,4.4633251266081295,8.069746197547939e-6,1.0266500113700996,1.01486071020145,1.0385762649506893,OR
glm_mortality,NA,sex_categoryMale,0.12544551884783867,0.12025473615355296,1.0431648919644845,0.2968719304954213,1.1336534045344127,0.8956068336729668,1.4349712321218708,OR
glm_mortality,NA,race_categoryAsian,-2.287900759134751,1.0089614268916909,-2.2675800066837946,0.023354817414707334,0.10147926783624385,0.014045332344916821,0.733200293712317,OR
glm_mortality,NA,race_categoryBlack or African American,-1.8313178290465262,0.9750392886524019,-1.878199012449625,0.06035394521878809,0.16020230934792154,0.023697284041681647,1.0830262183322286,OR
glm_mortality,NA,race_categoryNative Hawaiian or Other Pacific Islander,-2.0231499667052075,1.2537900873255248,-1.6136273425329226,0.10660828238861336,0.13223826221439097,0.011326858242353032,1.5438489313917023,OR
glm_mortality,NA,race_categoryOther,-2.2124437207100844,1.0190452049144962,-2.1710947758158787,0.029924008871538847,0.10943289805574154,0.014849748909278138,0.8064485972147302,OR
glm_mortality,NA,race_categoryUnknown,-2.487361219491598,1.322561630459354,-1.880714790302577,0.0600107266354885,0.08312903669078063,0.006222509386838711,1.110554651111252,OR
glm_mortality,NA,race_categoryWhite,-1.983940229819978,0.9729932557148626,-2.0390071751960583,0.041449311447716075,0.13752628316933388,0.02042476771218648,0.926007033660757,OR
glm_mortality,NA,admit_year,0.0666931607079705,0.03783874926413529,1.7625625054997338,0.07797430554743338,1.068967426639231,0.9925570491213093,1.1512601318254718,OR
glm_mortality,NA,charlson_score,0.08362101113481188,0.025674447969023618,3.2569740636955915,0.001126067215837578,1.0872167726682103,1.0338597133257557,1.143327567111258,OR
glm_mortality,NA,advanced_cancer_any_poaTRUE,1.1778457440321621,0.1856519039717886,6.344377401112708,2.2332674830005114e-10,3.247370993902281,2.2568454333208696,4.672636511274354,OR
glm_interaction_pm25,NA,(Intercept),-145.02371102326674,76.66228349165081,-1.891721775272466,0.05852806048126345,1.0399262897052915e-63,5.764338075386403e-129,187.60986497962998,OR
glm_interaction_pm25,NA,pm25_5y_z,-0.2036980784884383,0.15963431336534473,-1.2760294086788702,0.20194512340064535,0.8157086139901523,0.5965564940642188,1.1153688704394653,OR
glm_interaction_pm25,NA,traj_cluster_ra2,1.4057848899273488,0.14464598495494113,9.718796483464555,2.5072734711820225e-22,4.078726836852498,3.0718462322166147,5.415639765814839,OR
glm_interaction_pm25,NA,traj_cluster_ra3,3.0494628603961917,0.2132912915547164,14.297174714298645,2.278745024755341e-46,21.10400558034644,13.893372514977482,32.05694305361505,OR
glm_interaction_pm25,NA,traj_cluster_ra4,3.025914059979214,0.1930369882175418,15.675307037888402,2.2314410100821084e-55,20.612837472539756,14.119566960469708,30.092216698918122,OR
glm_interaction_pm25,NA,no2_5y_z,0.29757052179966453,0.1397106886179208,2.1299051972570044,0.03317944098291428,1.346583335484573,1.024021550809786,1.7707505061498257,OR
glm_interaction_pm25,NA,age_years,0.026382378848272183,0.005903856358031078,4.4686688239601144,7.870787937187447e-6,1.0267334745853125,1.0149210440822858,1.0386833872256962,OR
glm_interaction_pm25,NA,sex_categoryMale,0.11056815714350061,0.12076050798774818,0.9155986421878779,0.3598774437736121,1.11691247202156,0.8815069097809484,1.4151828605260848,OR
glm_interaction_pm25,NA,race_categoryAsian,-2.2395510772865532,1.0122455553607799,-2.212458296730523,0.026935014665453463,0.10650630674889018,0.014646522176549522,0.7744905746601652,OR
glm_interaction_pm25,NA,race_categoryBlack or African American,-1.8122894803223597,0.9783707595727706,-1.8523545011849494,0.06397493425073382,0.16327988246427125,0.02399532716414395,1.1110629930224316,OR
glm_interaction_pm25,NA,race_categoryNative Hawaiian or Other Pacific Islander,-1.8464768667723277,1.2468631240697392,-1.4808978075680512,0.1386338073607171,0.15779211079654676,0.013700422736448854,1.8173417498563502,OR
glm_interaction_pm25,NA,race_categoryOther,-2.21183611502083,1.0223780375216618,-2.1634229549595214,0.030508663611506004,0.10949941031175811,0.014762028034112565,0.8122272109845344,OR
glm_interaction_pm25,NA,race_categoryUnknown,-2.3995736910975323,1.3185651637988847,-1.819837014489433,0.06878382907401095,0.09075663540519276,0.0068468854280525635,1.202994698337437,OR
glm_interaction_pm25,NA,race_categoryWhite,-1.955908368998301,0.9761683534929148,-2.0036588586381554,0.045106616205726605,0.14143594229941225,0.02087509741134406,0.9582770024944608,OR
glm_interaction_pm25,NA,admit_year,0.07002312177005122,0.037943696031961266,1.8454481005505727,0.06497238156781562,1.0725329798284537,0.9956629100050444,1.1553377968190808,OR
glm_interaction_pm25,NA,charlson_score,0.08486350951382489,0.025664608843602013,3.3066356097993173,9.442363371795508e-4,1.088568477317407,1.035165043351926,1.1447269567489433,OR
glm_interaction_pm25,NA,advanced_cancer_any_poaTRUE,1.1681867679180138,0.18560307759030475,6.294005374720337,3.093771054634852e-10,3.2161557115592427,2.2353654697559664,4.627278045108369,OR
glm_interaction_pm25,NA,pm25_5y_z:traj_cluster_ra2,0.018035057446320994,0.1404896876464503,0.12837282044292933,0.8978539393135949,1.0181986712093656,0.7731171184132359,1.340972162381198,OR
glm_interaction_pm25,NA,pm25_5y_z:traj_cluster_ra3,-0.37006733576954237,0.206457686528807,-1.7924609250036663,0.07305916303857661,0.690687821075548,0.46083076782958066,1.0351949120691208,OR
glm_interaction_pm25,NA,pm25_5y_z:traj_cluster_ra4,-0.19614943233443044,0.18838585322473986,-1.0412110515561315,0.29777760767783945,0.8218894086483469,0.5681409698747539,1.188969350682883,OR
glm_interaction_no2,NA,(Intercept),-141.6839777045756,76.6505290574216,-1.8484409624679194,0.06453857754681008,2.933798679742507e-62,1.6641128408687143e-127,5172.230200907341,OR
glm_interaction_no2,NA,no2_5y_z,0.3032575310488333,0.16446714879375401,1.8438790559270042,0.06520076803567809,1.354263184355522,0.9810831323143,1.8693918100237081,OR
glm_interaction_no2,NA,traj_cluster_ra2,1.4058903339300632,0.14452119297050336,9.727918134588082,2.2923639461734123e-22,4.079156936811486,3.0729216780935493,5.414886241246631,OR
glm_interaction_no2,NA,traj_cluster_ra3,3.0073506245789186,0.20977866136834372,14.335827128281682,1.30680263285931e-46,20.233722124242547,13.412464327359675,30.52410809890712,OR
glm_interaction_no2,NA,traj_cluster_ra4,3.031331413396467,0.1927227529674224,15.728975259651254,9.574812504879874e-56,20.724807514867987,14.205011396309125,30.237050470788766,OR
glm_interaction_no2,NA,pm25_5y_z,-0.2723537977724356,0.13042850304279638,-2.0881463132569307,0.036784638418975966,0.7615847664254605,0.5897870946475599,0.983424971002327,OR
glm_interaction_no2,NA,age_years,0.026283506241525756,0.005897970504115267,4.456364477100492,8.336125782269956e-6,1.0266319637886476,1.0148324084705496,1.0385687136864052,OR
glm_interaction_no2,NA,sex_categoryMale,0.1206349784436419,0.12052587986740673,1.0009051879675568,0.31687264814862043,1.1282130151255467,0.8908352741535613,1.4288439674867004,OR
glm_interaction_no2,NA,race_categoryAsian,-2.2538369295695517,1.0122969256628267,-2.2264583369091984,0.025983496690510692,0.1049955900143935,0.014437317898527256,0.7635818508640841,OR
glm_interaction_no2,NA,race_categoryBlack or African American,-1.8029709463166688,0.9786123657036265,-1.8423749888142122,0.06542031768272592,0.16480852288370734,0.024208506892754292,1.1219960543390284,OR
glm_interaction_no2,NA,race_categoryNative Hawaiian or Other Pacific Islander,-1.921969016871974,1.25854349910034,-1.527137534972672,0.12672681507422193,0.14631857456153483,0.01241668340081875,1.7242225295289175,OR
glm_interaction_no2,NA,race_categoryOther,-2.1970414231170152,1.0218921236419836,-2.1499739280569514,0.031557277132846215,0.11113146344366247,0.014996326836180537,0.8235484797072877,OR
glm_interaction_no2,NA,race_categoryUnknown,-2.410481496820964,1.3220466594391296,-1.8232953274460042,0.06825867362649815,0.08977205920311887,0.006726549646576239,1.1980915977733484,OR
glm_interaction_no2,NA,race_categoryWhite,-1.9507015978269149,0.9763562528862991,-1.997940395281191,0.04572312252332783,0.1421742874153341,0.020976346074902775,0.9636343684395339,OR
glm_interaction_no2,NA,admit_year,0.0683713473158595,0.03793746356958369,1.802211874034619,0.0715120772361326,1.0707628595732646,0.9940317996074168,1.1534169247848274,OR
glm_interaction_no2,NA,charlson_score,0.08403967326606802,0.025669554949146217,3.273904570319137,0.0010607242702496827,1.0876720444552714,1.0343025610997207,1.1437953658663036,OR
glm_interaction_no2,NA,advanced_cancer_any_poaTRUE,1.171437326134859,0.18556721094238396,6.312738765570896,2.7414003779963926e-10,3.2266270225169427,2.2428011380427755,4.642017415561872,OR
