county_code,traj_cluster_ra,n,county_total,prop_cluster_in_county,cluster_total,prop_county_in_cluster,n_suppressed,prop_cluster_in_county_suppressed,prop_county_in_cluster_suppressed,site_name
01033,1,1,1,1,6721,1.4878738282993602e-4,NA,NA,NA,Penn
01073,2,1,1,1,5240,1.9083969465648855e-4,NA,NA,NA,Penn
04013,4,1,1,1,4316,2.3169601482854495e-4,NA,NA,NA,Penn
05049,2,1,1,1,5240,1.9083969465648855e-4,NA,NA,NA,Penn
05143,4,1,1,1,4316,2.3169601482854495e-4,NA,NA,NA,Penn
06037,3,1,2,0.5,3805,2.6281208935611036e-4,NA,NA,NA,Penn
06037,4,1,2,0.5,4316,2.3169601482854495e-4,NA,NA,NA,Penn
06041,3,1,1,1,3805,2.6281208935611036e-4,NA,NA,NA,Penn
06053,5,1,1,1,2223,4.49842555105713e-4,NA,NA,NA,Penn
06059,2,1,3,0.3333333333333333,5240,1.9083969465648855e-4,NA,NA,NA,Penn
06059,4,2,3,0.6666666666666666,4316,4.633920296570899e-4,NA,NA,NA,Penn
06067,5,1,1,1,2223,4.49842555105713e-4,NA,NA,NA,Penn
06073,2,1,2,0.5,5240,1.9083969465648855e-4,NA,NA,NA,Penn
06073,4,1,2,0.5,4316,2.3169601482854495e-4,NA,NA,NA,Penn
06075,1,3,4,0.75,6721,4.463621484898081e-4,NA,NA,NA,Penn
06075,5,1,4,0.25,2223,4.49842555105713e-4,NA,NA,NA,Penn
06081,2,1,1,1,5240,1.9083969465648855e-4,NA,NA,NA,Penn
09001,2,1,1,1,5240,1.9083969465648855e-4,NA,NA,NA,Penn
09003,2,2,3,0.6666666666666666,5240,3.816793893129771e-4,NA,NA,NA,Penn
09003,4,1,3,0.3333333333333333,4316,2.3169601482854495e-4,NA,NA,NA,Penn
09009,3,1,1,1,3805,2.6281208935611036e-4,NA,NA,NA,Penn
09011,2,1,2,0.5,5240,1.9083969465648855e-4,NA,NA,NA,Penn
09011,5,1,2,0.5,2223,4.49842555105713e-4,NA,NA,NA,Penn
09013,4,1,1,1,4316,2.3169601482854495e-4,NA,NA,NA,Penn
10001,1,33,158,0.2088607594936709,6721,0.004909983633387889,33,0.2088607594936709,0.004909983633387889,Penn
10001,2,58,158,0.3670886075949367,5240,0.011068702290076336,58,0.3670886075949367,0.011068702290076336,Penn
10001,3,38,158,0.24050632911392406,3805,0.009986859395532195,38,0.24050632911392406,0.009986859395532195,Penn
10001,4,14,158,0.08860759493670886,4316,0.003243744207599629,14,0.08860759493670886,0.003243744207599629,Penn
10001,5,15,158,0.0949367088607595,2223,0.006747638326585695,15,0.0949367088607595,0.006747638326585695,Penn
10003,1,74,265,0.2792452830188679,6721,0.011010266329415265,74,0.2792452830188679,0.011010266329415265,Penn
10003,2,67,265,0.2528301886792453,5240,0.012786259541984733,67,0.2528301886792453,0.012786259541984733,Penn
10003,3,52,265,0.19622641509433963,3805,0.01366622864651774,52,0.19622641509433963,0.01366622864651774,Penn
10003,4,50,265,0.18867924528301888,4316,0.011584800741427247,50,0.18867924528301888,0.011584800741427247,Penn
10003,5,22,265,0.0830188679245283,2223,0.009896536212325686,22,0.0830188679245283,0.009896536212325686,Penn
10005,1,29,106,0.27358490566037735,6721,0.004314834102068145,29,0.27358490566037735,0.004314834102068145,Penn
10005,2,43,106,0.4056603773584906,5240,0.008206106870229008,43,0.4056603773584906,0.008206106870229008,Penn
