traj_cluster_ra,h,arf,n,prop
1,29,ARF_HYPER,13,0.011168384879725086
1,29,ARF_HYPOX,20,0.01718213058419244
1,29,ARF_MIXED,8,0.006872852233676976
1,29,NO_ARF,1123,0.9647766323024055
1,30,ARF_HYPER,10,0.00859106529209622
1,30,ARF_HYPOX,19,0.01632302405498282
1,30,ARF_MIXED,9,0.007731958762886598
1,30,NO_ARF,1126,0.9673539518900344
1,31,ARF_HYPER,9,0.007731958762886598
1,31,ARF_HYPOX,19,0.01632302405498282
1,31,ARF_MIXED,7,0.006013745704467354
1,31,NO_ARF,1129,0.9699312714776632
1,32,ARF_HYPER,9,0.007731958762886598
1,32,ARF_HYPOX,17,0.014604810996563574
1,32,ARF_MIXED,6,0.005154639175257732
1,32,NO_ARF,1132,0.9725085910652921
1,33,ARF_HYPER,8,0.006872852233676976
1,33,ARF_HYPOX,15,0.01288659793814433
1,33,ARF_MIXED,7,0.006013745704467354
1,33,NO_ARF,1134,0.9742268041237113
1,34,ARF_HYPER,8,0.006872852233676976
1,34,ARF_HYPOX,15,0.01288659793814433
1,34,ARF_MIXED,6,0.005154639175257732
1,34,NO_ARF,1135,0.9750859106529209
1,35,ARF_HYPER,6,0.005154639175257732
1,35,ARF_HYPOX,14,0.012027491408934709
1,35,ARF_MIXED,6,0.005154639175257732
1,35,NO_ARF,1138,0.9776632302405498
1,36,ARF_HYPER,4,0.003436426116838488
1,36,ARF_HYPOX,14,0.012027491408934709
1,36,ARF_MIXED,7,0.006013745704467354
1,36,NO_ARF,1139,0.9785223367697594
1,37,ARF_HYPER,4,0.003436426116838488
1,37,ARF_HYPOX,13,0.011168384879725086
1,37,ARF_MIXED,9,0.007731958762886598
1,37,NO_ARF,1138,0.9776632302405498
1,38,ARF_HYPER,5,0.00429553264604811
1,38,ARF_HYPOX,12,0.010309278350515464
1,38,ARF_MIXED,8,0.006872852233676976
1,38,NO_ARF,1139,0.9785223367697594
1,39,ARF_HYPER,7,0.006013745704467354
1,39,ARF_HYPOX,10,0.00859106529209622
1,39,ARF_MIXED,8,0.006872852233676976
1,39,NO_ARF,1139,0.9785223367697594
1,40,ARF_HYPER,6,0.005154639175257732
1,40,ARF_HYPOX,10,0.00859106529209622
1,40,ARF_MIXED,9,0.007731958762886598
1,40,NO_ARF,1139,0.9785223367697594
1,41,ARF_HYPER,7,0.006013745704467354
1,41,ARF_HYPOX,7,0.006013745704467354
1,41,ARF_MIXED,8,0.006872852233676976
1,41,NO_ARF,1142,0.9810996563573883
1,42,ARF_HYPER,7,0.006013745704467354
1,42,ARF_HYPOX,9,0.007731958762886598
1,42,ARF_MIXED,6,0.005154639175257732
1,42,NO_ARF,1142,0.9810996563573883
1,43,ARF_HYPER,6,0.005154639175257732
1,43,ARF_HYPOX,6,0.005154639175257732
1,43,ARF_MIXED,5,0.00429553264604811
1,43,NO_ARF,1147,0.9853951890034365
1,44,ARF_HYPER,5,0.00429553264604811
1,44,ARF_HYPOX,4,0.003436426116838488
1,44,ARF_MIXED,5,0.00429553264604811
1,44,NO_ARF,1150,0.9879725085910653
1,45,ARF_HYPER,5,0.00429553264604811
1,45,ARF_HYPOX,4,0.003436426116838488
1,45,ARF_MIXED,4,0.003436426116838488
1,45,NO_ARF,1151,0.988831615120275
1,46,ARF_HYPER,5,0.00429553264604811
