traj_cluster_ra,mortality,sofa,imv_rate,icu_los,severity_rank
1,0.16065292096219932,5.18470790378007,0.33075601374570446,44.49166666666667,2
2,0.31288819875776397,5.655279503105591,0.2748447204968944,98.24166666666667,3
3,0.5363984674329502,12.922094508301404,1,232.81666666666666,5
4,0.443178318447798,10.369263935940872,0.9972282106559901,145.13333333333333,4
5,0.10325318246110325,4.9943422913719955,0.38472418670438474,36.88333333333333,1
