traj_cluster_ra,mortality,pm25,no2
1,0.14580801944106925,7.914886377345937,8.04233184243159
2,0.3572649572649573,7.881467723875509,8.109775131697397
3,0.5662251655629139,7.950283651945741,8.147336715772463
4,0.7245901639344262,7.913925173378645,8.211057303688431
NA,1,7.5901818123398686,7.58635283637344
