no2_5y_z,pm25_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,predicted_expected_rank
-2,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.000448789975714
-1.9,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.005938076287795
-1.8,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.0114400653833497
-1.7,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.016954643173337
-1.6,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.022481694757295
-1.5,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.028021104429246
-1.4,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.03357275568356
-1.2999999999999998,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.0391365312207927
-1.2,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.0447123129534774
-1.1,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.0502999820118784
-1,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.0558994187497186
-0.8999999999999999,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.0615105027498593
-0.7999999999999998,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.0671331128299495
-0.7,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.072767127048041
-0.5999999999999999,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.0784124227081673
-0.5,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.084068876365885
-0.3999999999999999,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.089736363833794
-0.2999999999999998,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.0954147601870146
-0.19999999999999996,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.1011039397686373
-0.09999999999999987,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.1068037761951484
0,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.112514142361825
0.10000000000000009,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.1182349104480984
0.20000000000000018,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.1239659519229055
0.30000000000000027,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.1297071375500067
0.40000000000000036,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.135458337393284
0.5,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.141219420822029
0.6000000000000001,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.146990256516207
0.7000000000000002,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.1527707124716993
0.8000000000000003,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.1585606560055517
0.9000000000000004,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.1643599537611973
1,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.1701684717136733
1.1,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.175986075174841
1.2000000000000002,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.1818126287985926
1.3000000000000003,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.1876479965860662
1.4000000000000004,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.1934920418908517
1.5,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.1993446274242183
1.6,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.205205615260336
1.7000000000000002,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.2110748668415097
1.8000000000000003,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.216952242983437
1.9000000000000004,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.2228376038804694
2,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,2.228730809110898
