site_name,device_t0,traj_cluster_ra,n,device_total
nu,CPAP,3,1,1
nu,FACE MASK,1,23,106
nu,FACE MASK,2,42,106
nu,FACE MASK,3,27,106
nu,FACE MASK,4,14,106
nu,HIGH FLOW NC,1,13,206
nu,HIGH FLOW NC,2,45,206
nu,HIGH FLOW NC,3,133,206
nu,HIGH FLOW NC,4,15,206
nu,IMV,1,38,263
nu,IMV,2,42,263
nu,IMV,3,3,263
nu,IMV,4,180,263
nu,NASAL CANNULA,1,250,600
nu,NASAL CANNULA,2,305,600
nu,NASAL CANNULA,3,24,600
nu,NASAL CANNULA,4,21,600
nu,NIPPV,1,18,153
nu,NIPPV,2,46,153
nu,NIPPV,3,69,153
nu,NIPPV,4,20,153
nu,OTHER,1,2,6
nu,OTHER,2,2,6
nu,OTHER,3,1,6
nu,OTHER,4,1,6
nu,ROOM AIR,1,427,469
nu,ROOM AIR,2,34,469
nu,ROOM AIR,3,1,469
nu,ROOM AIR,4,7,469
nu,TRACH COLLAR,1,1,5
nu,TRACH COLLAR,2,4,5
nu,UNK,1,21,164
nu,UNK,2,57,164
nu,UNK,3,41,164
nu,UNK,4,45,164
nu,Unknown / missing,1,30,42
nu,Unknown / missing,2,8,42
nu,Unknown / missing,3,2,42
nu,Unknown / missing,4,2,42
