traj_cluster_ra,mortality,sofa,imv_rate,icu_los,severity_rank
1,0.14580801944106925,2.6452004860267317,0.06439854191980558,43.53333333333333,1
2,0.3572649572649573,4.247863247863246,0.13162393162393163,49.65,2
3,0.5662251655629139,4.93046357615894,0.056291390728476824,79,3
4,0.7245901639344262,10.40983606557377,1,124.4,4
