pooled_cluster,pooled_cluster_label,h,rs,n,prop
1,Cluster 1: Minimal ARF,0,Invasive ventilation,219,0.0515658111608194
1,Cluster 1: Minimal ARF,0,Low-flow oxygen,1657,0.3901577584177066
1,Cluster 1: Minimal ARF,0,Noninvasive ventilation,147,0.03461266776548152
1,Cluster 1: Minimal ARF,0,Other support,18,0.004238285848834471
1,Cluster 1: Minimal ARF,0,Room air,2206,0.519425476807158
1,Cluster 1: Minimal ARF,1,Invasive ventilation,217,0.051094890510948905
1,Cluster 1: Minimal ARF,1,Low-flow oxygen,1561,0.3675535672239228
1,Cluster 1: Minimal ARF,1,Noninvasive ventilation,152,0.03578996939015776
1,Cluster 1: Minimal ARF,1,Other support,22,0.005180127148575465
1,Cluster 1: Minimal ARF,1,Room air,2295,0.5403814457263951
1,Cluster 1: Minimal ARF,2,Invasive ventilation,211,0.049728965354701865
1,Cluster 1: Minimal ARF,2,Low-flow oxygen,1499,0.35328776808861656
1,Cluster 1: Minimal ARF,2,Noninvasive ventilation,141,0.033231204336554326
1,Cluster 1: Minimal ARF,2,Other support,17,0.004006599104407259
1,Cluster 1: Minimal ARF,2,Room air,2375,0.55974546311572
1,Cluster 1: Minimal ARF,3,Invasive ventilation,208,0.049010367577756835
1,Cluster 1: Minimal ARF,3,Low-flow oxygen,1461,0.3442507068803016
1,Cluster 1: Minimal ARF,3,Noninvasive ventilation,132,0.03110273327049953
1,Cluster 1: Minimal ARF,3,Other support,17,0.004005655042412818
1,Cluster 1: Minimal ARF,3,Room air,2426,0.5716305372290292
1,Cluster 1: Minimal ARF,4,Invasive ventilation,207,0.04876325088339223
1,Cluster 1: Minimal ARF,4,Low-flow oxygen,1447,0.3408716136631331
1,Cluster 1: Minimal ARF,4,Noninvasive ventilation,121,0.02850412249705536
1,Cluster 1: Minimal ARF,4,Other support,15,0.0035335689045936395
1,Cluster 1: Minimal ARF,4,Room air,2455,0.5783274440518257
1,Cluster 1: Minimal ARF,5,Invasive ventilation,202,0.047585394581861014
1,Cluster 1: Minimal ARF,5,Low-flow oxygen,1375,0.32391048292108365
1,Cluster 1: Minimal ARF,5,Noninvasive ventilation,123,0.028975265017667843
1,Cluster 1: Minimal ARF,5,Other support,15,0.0035335689045936395
1,Cluster 1: Minimal ARF,5,Room air,2530,0.5959952885747939
1,Cluster 1: Minimal ARF,6,Invasive ventilation,193,0.04546525323910483
1,Cluster 1: Minimal ARF,6,Low-flow oxygen,1338,0.3151943462897526
1,Cluster 1: Minimal ARF,6,Noninvasive ventilation,120,0.028268551236749116
1,Cluster 1: Minimal ARF,6,Other support,15,0.0035335689045936395
1,Cluster 1: Minimal ARF,6,Room air,2579,0.6075382803297997
1,Cluster 1: Minimal ARF,7,Invasive ventilation,185,0.043580683156654886
1,Cluster 1: Minimal ARF,7,Low-flow oxygen,1304,0.3071849234393404
1,Cluster 1: Minimal ARF,7,Noninvasive ventilation,111,0.026148409893992933
1,Cluster 1: Minimal ARF,7,Other support,18,0.004240282685512367
1,Cluster 1: Minimal ARF,7,Room air,2627,0.6188457008244994
1,Cluster 1: Minimal ARF,8,Invasive ventilation,178,0.041941564561734215
1,Cluster 1: Minimal ARF,8,Low-flow oxygen,1243,0.2928840716305372
1,Cluster 1: Minimal ARF,8,Noninvasive ventilation,111,0.026154571159283695
1,Cluster 1: Minimal ARF,8,Other support,17,0.004005655042412818
1,Cluster 1: Minimal ARF,8,Room air,2695,0.6350141376060321
1,Cluster 1: Minimal ARF,9,Invasive ventilation,174,0.04098939929328622
1,Cluster 1: Minimal ARF,9,Low-flow oxygen,1206,0.2840989399293286
1,Cluster 1: Minimal ARF,9,Noninvasive ventilation,110,0.02591283863368669
1,Cluster 1: Minimal ARF,9,Other support,13,0.003062426383981154
1,Cluster 1: Minimal ARF,9,Room air,2742,0.6459363957597173
1,Cluster 1: Minimal ARF,10,Invasive ventilation,172,0.04051825677267373
1,Cluster 1: Minimal ARF,10,Low-flow oxygen,1184,0.2789163722025913
1,Cluster 1: Minimal ARF,10,Noninvasive ventilation,104,0.024499411071849234
1,Cluster 1: Minimal ARF,10,Other support,15,0.0035335689045936395
1,Cluster 1: Minimal ARF,10,Room air,2770,0.6525323910482921
1,Cluster 1: Minimal ARF,11,Invasive ventilation,150,0.03535234503888758
1,Cluster 1: Minimal ARF,11,Low-flow oxygen,1150,0.2710346452981381
