pooled_cluster,pooled_cluster_label,phenotype_label_short,n_sites,n_patients,sofa_total_mean,sofa_resp_mean,sofa_cv_mean,sofa_renal_mean,sofa_liver_mean,sofa_coag_mean,sofa_cns_mean,mean_gcs,median_gcs_proxy,pct_gcs_lt8,pct_gcs_lt13
1,Cluster 1: Minimal ARF,Minimal ARF,10,4247,2.493760301389216,0.4040499175888863,0.7186249117023782,0.32728985165999536,0.07770190722863198,0.3360018836825995,0.6300918295267247,14.19397185138427,14.953378855662821,0.01843791437769939,0.09745216031851923
2,Cluster 2: Resolving ARF,Resolving ARF,10,3908,3.8996929375639713,1.2776356192425795,0.9557318321392015,0.4470317297850563,0.10900716479017401,0.399181166837257,0.7111054247697032,13.953378344802726,15,0.03509140505324986,0.14018268241398396
3,Cluster 3: Stable ARF,Stable ARF,10,1332,4.751501501501502,2.445195195195195,0.8303303303303303,0.3866366366366366,0.0900900900900901,0.4391891891891892,0.56006006006006,13.733302597028397,15,0.06339001531727644,0.1617932096489945
4,Cluster 4: Persistent ARF,Persistent ARF,10,1615,10.213622291021672,3.123219814241486,2.7058823529411766,0.7294117647058823,0.23529411764705882,0.5659442724458205,2.8538699690402476,10.42283454979103,10.856346749226006,0.24600424910226984,0.6424024191602985
