term_group,model,term,effect_type,k,estimate_fixed,std_error_fixed,conf_low_fixed,conf_high_fixed,estimate_random,std_error_random,conf_low_random,conf_high_random,tau2,q,i2,pooled_effect_fixed,pooled_effect_random,pooled_conf_low_random,pooled_conf_high_random,site_included
icu_los,glm_los_quasipoisson,no2_5y_z,RR_like,10,-0.02302072561973913,0.029700722060174992,-0.08123414085768212,0.03519268961820385,-0.026391849659705032,0.038301685180397754,-0.10146315261328463,0.04867945329387456,0.004776141745652829,13.663043430403109,0.3412887805089508,0.9772422296125438,0.9739533715283817,0.9035144708759753,1.0498837600152986,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
icu_los,glm_los_quasipoisson,pm25_5y_z,RR_like,10,-0.017097138778010952,0.026913254640190107,-0.06984711787278355,0.03565284031676166,-0.017097138778010952,0.026913254640190107,-0.06984711787278355,0.03565284031676166,0,6.713354822577797,0,0.9830481878970683,0.9830481878970683,0.9325363771534889,1.0362960238372019,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
mortality,glm_mortality,no2_5y_z,OR,10,0.13603335831768182,0.05304484773129029,0.03206545676435285,0.24000125987101079,0.13603335831768182,0.05304484773129029,0.03206545676435285,0.24000125987101079,0,5.868373488466365,0,1.1457201122528822,1.1457201122528822,1.0325850927721576,1.2712507519323655,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
mortality,glm_mortality,pm25_5y_z,OR,10,-0.07365380310174821,0.04975440204288874,-0.17117243110581015,0.023864824902313717,-0.07365380310174821,0.04975440204288874,-0.17117243110581015,0.023864824902313717,0,6.821368985938706,0,0.9289932527593276,0.9289932527593276,0.8426762573445759,1.0241518687044935,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
mortality_direct_no2_plus_cluster,glm_direct_no2_cluster,no2_5y_z,OR,10,0.13603335831776256,0.0530448477312908,0.03206545676443259,0.24000125987109253,0.13603335831776256,0.0530448477312908,0.03206545676443259,0.24000125987109253,0,5.868373488469032,0,1.1457201122529748,1.1457201122529748,1.03258509277224,1.2712507519324694,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
mortality_direct_no2_plus_severity,glm_direct_no2_severity,no2_5y_z,OR,10,0.13603335831780097,0.0530448477312904,0.032065456764471784,0.24000125987113016,0.13603335831780097,0.0530448477312904,0.032065456764471784,0.24000125987113016,0,5.868373488476381,0,1.1457201122530187,1.1457201122530187,1.0325850927722804,1.2712507519325174,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
mortality_total_no2,glm_total_no2,no2_5y_z,OR,10,0.17306980775674413,0.04645672743916695,0.0820146219759769,0.26412499353751134,0.17248498413323493,0.05380223040233439,0.06703261254465953,0.27793735572181033,0.005479573838612955,11.174772616714288,0.19461448490338362,1.18894910005671,1.1882539778176122,1.0693303511897823,1.3204034788953534,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
post72_survival,cox72_landmark,no2_5y_z,HR,10,-0.08216946122895724,0.031527029417596476,-0.14396243888744634,-0.020376483570468146,-0.09664211846896792,0.051758533521072236,-0.1980888441702695,0.004804607232333669,0.01386964046532418,21.00296267243291,0.5714890256024309,0.9211158520454101,0.9078808617926981,0.8202969712965261,1.0048161678650132,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
post72_survival,cox72_landmark,pm25_5y_z,HR,10,0.07069369425434185,0.03080847691590817,0.010309079499161843,0.13107830900952186,0.08314954061706367,0.051972730613602754,-0.018717011385597726,0.18501609261972507,0.014525521603129154,22.156043287949647,0.5937902863326247,1.0732524321287198,1.0867043028301986,0.981457064122389,1.2032378032202995,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
trajectory_severity,polr_severity_rank,no2_5y_z,Ordinal_OR,10,0.09468061129981416,0.028766539325410623,0.038298194222009335,0.15106302837761898,0.09576495015393141,0.07898160025406788,-0.059038986344041616,0.25056888665190447,0.05149689836856122,63.048769291970466,0.8572533595648442,1.0993076925953735,1.1005003611506514,0.9426700171830843,1.2847560894232786,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
trajectory_severity,polr_severity_rank,pm25_5y_z,Ordinal_OR,10,-0.025193769417759113,0.02831820844653854,-0.08069745797297465,0.030309919137456422,-0.01861395560491654,0.07133859978438835,-0.15843761118231772,0.12120969997248464,0.040639616954125456,53.1358114221426,0.8306227051188015,0.9751209451031411,0.9815582141582957,0.853476209501579,1.1288616097972677,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
