device,n,denom,prop
Nasal cannula,3357,11286,0.2974481658692185
Room air,2353,11286,0.20848839269891903
Other,1504,11286,0.13326244905192275
IMV,1323,11286,0.11722488038277512
Face mask,943,11286,0.08355484671274145
NIV,902,11286,0.07992202729044834
High-flow NC,828,11286,0.0733652312599681
Trach collar,49,10532,0.0046524876566654
CPAP,27,7344,0.003676470588235294
