site_run,site_name,exposure,pooled_cluster,pooled_cluster_label,model,term,estimate,std_error,effect,conf_low,conf_high,is_reference
Emory,Emory,PM2.5,2,Cluster 2: Resolving ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra2,-0.48134148050727604,0.29482290236555614,0.617953862470923,0.3467350382834059,1.1013221450974697,FALSE
Emory,Emory,PM2.5,3,Cluster 3: Stable ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra3,-0.23153812839009802,0.33783236389515403,0.7933124472000118,0.40914340471232996,1.53820062020788,FALSE
Emory,Emory,PM2.5,4,Cluster 4: Persistent ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra4,-0.41733711386576006,0.3172841953604411,0.6587987922974401,0.3537325581680629,1.22696042168207,FALSE
Emory,Emory,NO2,2,Cluster 2: Resolving ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra2,-0.34739737898116496,0.2827128858141911,0.7065245144749669,0.40595432115643404,1.2296380738899197,FALSE
Emory,Emory,NO2,3,Cluster 3: Stable ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra3,-0.155387901079052,0.3219828554374651,0.8560830375350381,0.455447740998577,1.60913778065595,FALSE
Emory,Emory,NO2,4,Cluster 4: Persistent ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra4,-0.4283603999163461,0.306626453836285,0.6515765443455529,0.35723971589821096,1.18842327503771,FALSE
Hopkins,Hopkins,PM2.5,2,Cluster 2: Resolving ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra2,0.018035057446321,0.14048968764645003,1.0181986712093698,0.7731171184132359,1.3409721623812003,FALSE
Hopkins,Hopkins,PM2.5,3,Cluster 3: Stable ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra3,-0.37006733576954204,0.20645768652880703,0.6906878210755479,0.4608307678295811,1.0351949120691195,FALSE
Hopkins,Hopkins,PM2.5,4,Cluster 4: Persistent ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra4,-0.19614943233443005,0.18838585322473997,0.8218894086483471,0.5681409698747539,1.1889693506828798,FALSE
Hopkins,Hopkins,NO2,2,Cluster 2: Resolving ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra2,0.040758938541248506,0.14066993634659702,1.04160098542602,0.790607108649772,1.3722778368301602,FALSE
Hopkins,Hopkins,NO2,3,Cluster 3: Stable ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra3,-0.13193719185959404,0.20636775832742604,0.8763960381561952,0.584839400686424,1.31330073656869,FALSE
Hopkins,Hopkins,NO2,4,Cluster 4: Persistent ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra4,-0.0249230483044179,0.189575551583323,0.9753849666675349,0.6726762437114558,1.4143146009614698,FALSE
Michigan,Michigan,PM2.5,2,Cluster 2: Resolving ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra2,0.25890699044082405,0.27950462758642103,1.2955133041029498,0.749070570985832,2.24058291183288,FALSE
