model,exposure,pooled_cluster,pooled_cluster_label,recoded_term,effect_type,k,estimate_fixed,std_error_fixed,conf_low_fixed,conf_high_fixed,estimate_random,std_error_random,conf_low_random,conf_high_random,tau2,q,i2,pooled_effect_random,pooled_conf_low_random,pooled_conf_high_random,site_included
glm_interaction_no2,NO2,2,Cluster 2: Resolving ARF,NO2 x Cluster 2: Resolving ARF,OR,10,-0.009019485166034373,0.061194657623760314,-0.12896101410860458,0.11092204377653583,-0.009019485166034373,0.061194657623760314,-0.12896101410860458,0.11092204377653583,0,2.931194534422137,0,0.9910210683746903,0.8790082337971281,1.1173078023626146,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
glm_interaction_no2,NO2,3,Cluster 3: Stable ARF,NO2 x Cluster 3: Stable ARF,OR,10,-0.010765262258076454,0.07928805034060417,-0.16616984092566062,0.14463931640950772,-0.006621032454313334,0.08300470106721573,-0.16931024654605617,0.1560681816374295,0.0034286620569212102,9.447051797387235,0.04732183192971126,0.9934008382854871,0.844246938054666,1.16890589829111,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
glm_interaction_no2,NO2,4,Cluster 4: Persistent ARF,NO2 x Cluster 4: Persistent ARF,OR,10,-0.05013307183152216,0.07754050997866488,-0.2021124713897053,0.101846327726661,-0.029851554381860615,0.09928634985688807,-0.2244528001013612,0.16474969133764,0.02546849997916067,12.5111513156575,0.2806417432793217,0.9705896026285536,0.7989532863241013,1.1790979433414666,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
glm_interaction_pm25,PM2.5,2,Cluster 2: Resolving ARF,PM2.5 x Cluster 2: Resolving ARF,OR,10,-0.044014916446518865,0.06201563474184327,-0.16556556054053168,0.07753572764749393,-0.044014916446518865,0.06201563474184327,-0.16556556054053168,0.07753572764749393,0,7.386437144280163,0,0.9569396832269798,0.8474143044438577,1.0806208398093202,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
glm_interaction_pm25,PM2.5,3,Cluster 3: Stable ARF,PM2.5 x Cluster 3: Stable ARF,OR,10,-0.10438573206217876,0.08025254452822037,-0.26168071933749065,0.05290925521313315,-0.10225917897640727,0.08369579514915085,-0.2663029374687429,0.06178457951592839,0.003129081726116303,9.396231833425379,0.04216922703161243,0.9027955357213266,0.7662069795367221,1.063733170130036,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
glm_interaction_pm25,PM2.5,4,Cluster 4: Persistent ARF,PM2.5 x Cluster 4: Persistent ARF,OR,10,-0.023058130274188248,0.07708489929106509,-0.1741445328846758,0.12802827233629932,5.942931259404736e-4,0.11778148642166358,-0.23025742026052015,0.2314460065124011,0.0565760032789945,16.88398788237805,0.46695057691948655,1.000594469753088,0.7943290997790872,1.2604212702001054,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
