pooled_cluster,pooled_cluster_label,n_sites,n_patients,mortality,pm25_mean,no2_mean
1,Cluster 1: Minimal ARF,10,4247,0.13138686131386862,7.691810180214225,7.497646544830751
2,Cluster 2: Resolving ARF,10,3908,0.3001535312180143,7.768638148880019,7.641564557574778
3,Cluster 3: Stable ARF,10,1332,0.6013513513513513,7.842276421589876,7.662653645903032
4,Cluster 4: Persistent ARF,10,1615,0.6625386996904025,7.832594923874302,7.678206951555358
