phenotype,marker,prop,n
Minimal ARF,Advanced cancer,0.6903696727101484,2932
Minimal ARF,Cachexia,0.081286836935167,331
Minimal ARF,Pleural effusion,0.07023575638506876,286
Minimal ARF,Metastatic cancer,0.6581116081940193,2795
Resolving ARF,Advanced cancer,0.612589559877175,2394
Resolving ARF,Cachexia,0.11361310133060389,444
Resolving ARF,Pleural effusion,0.1778403275332651,695
Resolving ARF,Metastatic cancer,0.5286591606960082,2066
Stable ARF,Advanced cancer,0.6854354354354354,913
Stable ARF,Cachexia,0.1583531274742676,200
Stable ARF,Pleural effusion,0.2391132224861441,302
Stable ARF,Metastatic cancer,0.6028528528528528,803
Persistent ARF,Advanced cancer,0.6934984520123839,1120
Persistent ARF,Cachexia,0.1646746347941567,248
Persistent ARF,Pleural effusion,0.1585139318885449,256
Persistent ARF,Metastatic cancer,0.6210526315789474,1003
