site_run,site_name,local_cluster,prototype_idx,distance,pooled_cluster,pooled_severity_rank,arf_label,dominant_rs,pooled_cluster_label,phenotype_label,phenotype_label_short,is_worst_cluster,severity_score,local_severity_rank,n,death_pct,imv72_pct,sofa_total_mean,icu_los_median
Emory,Emory,1,2,0.4976463167081585,1,1,MINIMAL_ARF,ROOM_AIR,Cluster 1: Minimal ARF,Minimal ARF,Minimal ARF,FALSE,-1.812383526775947,1,198,0.11616161616161616,0.03535353535353535,2.1717171717171717,50.733333333333334
Emory,Emory,2,4,3.86868116934424,2,2,RESOLVING_ARF,LOW_O2,Cluster 2: Resolving ARF,Resolving ARF,Resolving ARF,FALSE,-1.1669143438808414,2,317,0.2334384858044164,0.05362776025236593,2.9873817034700316,64.8
Emory,Emory,3,1,3.1068002523524108,3,3,STABLE_ARF,NIV,Cluster 3: Stable ARF,Stable ARF,Stable ARF,FALSE,0.38042762480316483,3,109,0.3944954128440367,0.08256880733944955,3.8256880733944953,118.76666666666668
Emory,Emory,4,3,1.0268928810929563,4,4,PERSISTENT_ARF,IMV,Cluster 4: Persistent ARF,Persistent ARF,Persistent ARF,TRUE,2.5988702458536235,4,121,0.4876033057851239,1,9.43801652892562,149.86666666666667
Hopkins,Hopkins,1,2,0.11406381041452758,1,1,MINIMAL_ARF,ROOM_AIR,Cluster 1: Minimal ARF,Minimal ARF,Minimal ARF,FALSE,-1.812383526775947,1,840,0.11785714285714284,0.06904761904761905,2.5345238095238094,38.108333333333334
Hopkins,Hopkins,2,4,0.35796694241862653,2,2,RESOLVING_ARF,LOW_O2,Cluster 2: Resolving ARF,Resolving ARF,Resolving ARF,FALSE,-1.1669143438808414,2,660,0.3333333333333333,0.16363636363636364,4.1,71.01666666666667
Hopkins,Hopkins,3,1,0.4630343028792708,3,3,STABLE_ARF,NIV,Cluster 3: Stable ARF,Stable ARF,Stable ARF,FALSE,0.38042762480316483,3,187,0.679144385026738,0.20855614973262032,5.44385026737968,124.4
Hopkins,Hopkins,4,3,0.2573239500612108,4,4,PERSISTENT_ARF,IMV,Cluster 4: Persistent ARF,Persistent ARF,Persistent ARF,TRUE,2.5988702458536235,4,247,0.6882591093117408,0.9959514170040484,10.987854251012148,163.1
Michigan,Michigan,1,2,0.029573056149779467,1,1,MINIMAL_ARF,ROOM_AIR,Cluster 1: Minimal ARF,Minimal ARF,Minimal ARF,FALSE,-1.812383526775947,1,175,0.13714285714285715,0.09142857142857144,2.2914285714285714,40.75
Michigan,Michigan,2,4,0.683206348538245,2,2,RESOLVING_ARF,LOW_O2,Cluster 2: Resolving ARF,Resolving ARF,Resolving ARF,FALSE,-1.1669143438808414,2,187,0.3048128342245989,0.1443850267379679,3.4919786096256686,61.266666666666666
