exposure,beta_total,beta_direct,beta_indirect_approx,pct_mediated_approx,site_run,site_name,mediator
NO2_5y_z,-0.05518586962814046,-0.04617949411141378,-0.00900637551672668,0.16320075369681472,Emory,Emory,Severity rank
NO2_5y_z,0.3809975593946188,0.29527684917407476,0.08572071022054406,0.2249901819758344,Hopkins,Hopkins,Severity rank
NO2_5y_z,-0.1784507240356459,-0.2193431441362297,0.0408924201005838,-0.229152447105877,Michigan,Michigan,Severity rank
NO2_5y_z,0.10753035112760435,0.04116660485985072,0.06636374626775363,0.6171629272278759,NU,NU,Severity rank
NO2_5y_z,0.09452060437218258,0.0567823682810667,0.03773823609111588,0.39925936087457187,OHSU,OHSU,Severity rank
NO2_5y_z,0.12580304385619387,0.219620155842932,-0.09381711198673814,-0.7457459621881724,Penn,Penn,Severity rank
NO2_5y_z,0.30613606715269287,0.34074978571023706,-0.03461371855754419,-0.11306645074355044,Rush,Rush,Severity rank
NO2_5y_z,0.2827330479527481,0.17424391113593943,0.10848913681680868,0.3837157969412192,UCMC,UCMC,Severity rank
NO2_5y_z,0.43927906474994854,0.14962481238606762,0.2896542523638809,0.6593855150569519,UCSF,UCSF,Severity rank
NO2_5y_z,0.14029491534365332,0.1423083721774756,-0.00201345683382228,-0.01435160232920993,UMN,UMN,Severity rank
NO2_5y_z,-0.05518586962814046,-0.04617949411141378,-0.00900637551672668,0.16320075369681472,Emory,Emory,Trajectory phenotype
NO2_5y_z,0.3809975593946188,0.2952768491738802,0.08572071022073863,0.22499018197634507,Hopkins,Hopkins,Trajectory phenotype
NO2_5y_z,-0.1784507240356459,-0.21934314413630485,0.04089242010065894,-0.22915244710629804,Michigan,Michigan,Trajectory phenotype
NO2_5y_z,0.10753035112760435,0.04116660485985072,0.06636374626775363,0.6171629272278759,NU,NU,Trajectory phenotype
NO2_5y_z,0.09452060437218258,0.0567823682810667,0.03773823609111588,0.39925936087457187,OHSU,OHSU,Trajectory phenotype
NO2_5y_z,0.12580304385619387,0.219620155843014,-0.0938171119868201,-0.7457459621888239,Penn,Penn,Trajectory phenotype
NO2_5y_z,0.30613606715269287,0.34074978571032194,-0.03461371855762907,-0.11306645074382768,Rush,Rush,Trajectory phenotype
NO2_5y_z,0.2827330479527481,0.17424391113458476,0.10848913681816336,0.38371579694601055,UCMC,UCMC,Trajectory phenotype
NO2_5y_z,0.43927906474994854,0.14962481238606706,0.2896542523638815,0.6593855150569531,UCSF,UCSF,Trajectory phenotype
NO2_5y_z,0.14029491534365332,0.1423083721774756,-0.00201345683382228,-0.01435160232920993,UMN,UMN,Trajectory phenotype
