pooled_cluster,pooled_cluster_label,term,k,estimate_random,std_error_random,conf_low_random,conf_high_random,tau2,q,i2,site_included,phenotype_label_short,exposure,pooled_effect_random,pooled_conf_low_random,pooled_conf_high_random,estimate_ci
2,Cluster 2: Resolving ARF,no2_5y_z,10,0.1445537703685141,0.11744338658961018,-0.08563526734712185,0.37474280808415006,0.12389351890695002,111.61643077274,0.9193667102800955,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN,Resolving ARF,NO2,1.1555238262352907,0.9179289688395287,1.4546172507067596,"1.16 (0.92, 1.45)"
3,Cluster 3: Stable ARF,no2_5y_z,10,0.2665823054642875,0.13975373383356868,-0.007335012849507105,0.5404996237780821,0.17473812491368923,114.29890378501203,0.921259087340607,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN,Stable ARF,NO2,1.3054950342885472,0.9926918227041142,1.7168644342304116,"1.31 (0.99, 1.72)"
4,Cluster 4: Persistent ARF,no2_5y_z,10,0.07650913210187155,0.12873365793228675,-0.17580883744541048,0.3288271016491536,0.14201097118918546,86.24782639921543,0.8956495441596211,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN,Persistent ARF,NO2,1.0795120485061511,0.8387783110169296,1.3893376206367187,"1.08 (0.84, 1.39)"
2,Cluster 2: Resolving ARF,pm25_5y_z,10,-0.09093876045744324,0.10746896613413522,-0.3015779340803483,0.11970041316546177,0.1023232996725781,95.838276192021155,0.9060918000865579,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN,Resolving ARF,PM2.5,0.9130736253982992,0.7396501801517973,1.1271591189593084,"0.91 (0.74, 1.13)"
3,Cluster 3: Stable ARF,pm25_5y_z,10,-0.052223447913942934,0.1485922168236324,-0.34346419288826247,0.23901729706037658,0.19906729753756905,125.65815784814419,0.9283771133198025,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN,Stable ARF,PM2.5,0.949116764985689,0.7093088789919947,1.2700005036692432,"0.95 (0.71, 1.27)"
4,Cluster 4: Persistent ARF,pm25_5y_z,10,-0.004684786185931342,0.12194461128824502,-0.24369622431089158,0.23432665193902888,0.12700646197399232,81.53520018382228,0.8896182264873408,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN,Persistent ARF,PM2.5,0.9953261703085837,0.7837256749125193,1.2640573315551165,"1.00 (0.78, 1.26)"
