traj_cluster_ra,h,rs,n,prop
1,0,IMV,449,0.33582647718773373
1,0,LOW_O2,385,0.2879581151832461
1,0,NIV,105,0.078534031413612565
1,0,OTHER,1,7.479431563201197e-4
1,0,ROOM AIR,397,0.29693343305908754
1,1,IMV,434,0.32460732984293195
1,1,LOW_O2,385,0.2879581151832461
1,1,NIV,108,0.08077786088257292
1,1,OTHER,1,7.479431563201197e-4
1,1,ROOM AIR,409,0.3059087509349289
1,2,IMV,423,0.3163799551234106
1,2,LOW_O2,379,0.28347045624532535
1,2,NIV,108,0.08077786088257292
1,2,OTHER,1,7.479431563201197e-4
1,2,ROOM AIR,426,0.318623784592371
1,3,IMV,416,0.31114435302916976
1,3,LOW_O2,383,0.28646222887060585
1,3,NIV,95,0.07105459985041136
1,3,OTHER,1,7.479431563201197e-4
1,3,ROOM AIR,442,0.3305908750934929
1,4,IMV,404,0.3021690351533283
1,4,LOW_O2,376,0.281226626776365
1,4,NIV,88,0.06581899775617053
1,4,OTHER,1,7.479431563201197e-4
1,4,ROOM AIR,468,0.350037397157816
1,5,IMV,388,0.29020194465220644
1,5,LOW_O2,358,0.2677636499626028
1,5,NIV,82,0.061331338818249814
1,5,OTHER,1,7.479431563201197e-4
1,5,ROOM AIR,508,0.37995512341062077
1,6,IMV,374,0.27973074046372476
1,6,LOW_O2,349,0.2610321615557218
1,6,NIV,78,0.05833956619296934
1,6,OTHER,1,7.479431563201197e-4
1,6,ROOM AIR,535,0.40014958863126404
1,7,IMV,351,0.262528047868362
1,7,LOW_O2,348,0.26028421839940163
1,7,NIV,73,0.054599850411368736
1,7,OTHER,1,7.479431563201197e-4
1,7,ROOM AIR,564,0.4218399401645475
1,8,IMV,334,0.24981301421091998
1,8,LOW_O2,350,0.2617801047120419
1,8,NIV,76,0.056843679880329095
1,8,OTHER,1,7.479431563201197e-4
1,8,ROOM AIR,576,0.43081525804038895
1,9,IMV,330,0.24682124158563948
1,9,LOW_O2,346,0.2587883320867614
1,9,NIV,71,0.053103964098728494
1,9,OTHER,1,7.479431563201197e-4
1,9,ROOM AIR,589,0.4405385190725505
1,10,IMV,314,0.23485415108451757
1,10,LOW_O2,340,0.2543006731488407
1,10,NIV,71,0.053103964098728494
1,10,OTHER,1,7.479431563201197e-4
1,10,ROOM AIR,611,0.4569932685115931
1,11,IMV,307,0.22961854899027673
1,11,LOW_O2,340,0.2543006731488407
1,11,NIV,66,0.0493642483171279
1,11,OTHER,1,7.479431563201197e-4
1,11,ROOM AIR,623,0.46596858638743455
1,12,IMV,287,0.21465968586387435
1,12,LOW_O2,335,0.2505609573672401
1,12,NIV,67,0.05011219147344802
1,12,OTHER,1,7.479431563201197e-4
1,12,ROOM AIR,647,0.4839192221391174
1,13,IMV,274,0.2049364248317128
1,13,LOW_O2,333,0.24906507105459985
1,13,NIV,66,0.0493642483171279
1,13,OTHER,1,7.479431563201197e-4
1,13,ROOM AIR,663,0.49588631264023936
1,14,IMV,255,0.1907255048616305
1,14,LOW_O2,332,0.24831712789827973
1,14,NIV,66,0.0493642483171279
1,14,OTHER,1,7.479431563201197e-4
1,14,ROOM AIR,683,0.5108451757666418
1,15,IMV,246,0.18399401645474944
1,15,LOW_O2,330,0.24682124158563948
1,15,NIV,67,0.05011219147344802
1,15,OTHER,1,7.479431563201197e-4
1,15,ROOM AIR,693,0.518324607329843
1,16,IMV,233,0.17427075542258788
1,16,LOW_O2,331,0.2475691847419596
1,16,NIV,59,0.044128646222887064
1,16,OTHER,1,7.479431563201197e-4
1,16,ROOM AIR,713,0.5332834704562454
1,17,IMV,220,0.16454749439042632
1,17,LOW_O2,325,0.24308152580403888
1,17,NIV,61,0.0456245325355273
1,17,OTHER,1,7.479431563201197e-4
1,17,ROOM AIR,730,0.5459985041136873
1,18,IMV,212,0.15856394913986538
1,18,LOW_O2,328,0.24532535527299926
1,18,NIV,57,0.04263275991024682
1,18,OTHER,1,7.479431563201197e-4
1,18,ROOM AIR,739,0.5527299925205684
1,19,IMV,198,0.1480927449513837
1,19,LOW_O2,333,0.24906507105459985
1,19,NIV,55,0.04113687359760658
1,19,OTHER,2,0.0014958863126402393
1,19,ROOM AIR,749,0.5602094240837696
1,20,IMV,185,0.13836948391922213
1,20,LOW_O2,330,0.24682124158563948
1,20,NIV,52,0.03889304412864622
1,20,OTHER,1,7.479431563201197e-4
1,20,ROOM AIR,769,0.575168287210172
1,21,IMV,180,0.13462976813762154
1,21,LOW_O2,318,0.23784592370979807
1,21,NIV,55,0.04113687359760658
1,21,OTHER,1,7.479431563201197e-4
1,21,ROOM AIR,783,0.5856394913986537
1,22,IMV,166,0.12415856394913986
1,22,LOW_O2,321,0.24008975317875841
1,22,NIV,51,0.0381451009723261
1,22,OTHER,1,7.479431563201197e-4
1,22,ROOM AIR,798,0.5968586387434555
1,23,IMV,156,0.11667913238593867
1,23,LOW_O2,323,0.24158563949139866
1,23,NIV,52,0.03889304412864622
1,23,OTHER,1,7.479431563201197e-4
1,23,ROOM AIR,805,0.6020942408376964
1,24,IMV,152,0.11368735976065819
1,24,LOW_O2,311,0.23261032161555723
1,24,NIV,55,0.04113687359760658
1,24,OTHER,1,7.479431563201197e-4
1,24,ROOM AIR,818,0.6118175018698578
1,25,IMV,147,0.1099476439790576
1,25,LOW_O2,306,0.22887060583395663
1,25,NIV,48,0.03590127150336574
1,25,OTHER,1,7.479431563201197e-4
1,25,ROOM AIR,835,0.6245325355272999
1,26,IMV,145,0.10845175766641735
1,26,LOW_O2,290,0.2169035153328347
1,26,NIV,45,0.033657442034405384
1,26,OTHER,1,7.479431563201197e-4
1,26,ROOM AIR,856,0.6402393418100224
1,27,IMV,138,0.10321615557217652
1,27,LOW_O2,276,0.20643231114435304
1,27,NIV,43,0.03216155572176515
1,27,OTHER,1,7.479431563201197e-4
1,27,ROOM AIR,879,0.6574420344053852
1,28,IMV,133,0.09947643979057591
1,28,LOW_O2,280,0.2094240837696335
1,28,NIV,39,0.02916978309648467
1,28,OTHER,1,7.479431563201197e-4
1,28,ROOM AIR,884,0.6611817501869858
1,29,IMV,125,0.09349289454001496
1,29,LOW_O2,278,0.20792819745699326
1,29,NIV,31,0.02318623784592371
1,29,OTHER,1,7.479431563201197e-4
1,29,ROOM AIR,902,0.674644727000748
1,30,IMV,119,0.08900523560209424
1,30,LOW_O2,270,0.20194465220643232
1,30,NIV,32,0.02393418100224383
1,30,OTHER,1,7.479431563201197e-4
1,30,ROOM AIR,915,0.6843679880329095
1,31,IMV,108,0.08077786088257292
1,31,LOW_O2,259,0.193717277486911
1,31,NIV,27,0.02019446522064323
1,31,OTHER,1,7.479431563201197e-4
1,31,ROOM AIR,942,0.7045624532535527
1,32,IMV,100,0.07479431563201197
1,32,LOW_O2,255,0.1907255048616305
1,32,NIV,23,0.01720269259536275
1,32,OTHER,1,7.479431563201197e-4
1,32,ROOM AIR,958,0.7165295437546746
1,33,IMV,90,0.06731488406881077
1,33,LOW_O2,253,0.18922961854899029
1,33,NIV,23,0.01720269259536275
1,33,OTHER,1,7.479431563201197e-4
1,33,ROOM AIR,970,0.7255048616305161
1,34,IMV,82,0.061331338818249814
1,34,LOW_O2,247,0.18474195961106957
1,34,NIV,16,0.011967090501121914
1,34,OTHER,1,7.479431563201197e-4
1,34,ROOM AIR,991,0.7412116679132386
1,35,IMV,78,0.05833956619296934
1,35,LOW_O2,246,0.18399401645474944
1,35,NIV,15,0.011219147344801795
1,35,OTHER,1,7.479431563201197e-4
1,35,ROOM AIR,997,0.7456993268511594
1,36,IMV,70,0.05235602094240838
1,36,LOW_O2,238,0.17801047120418848
1,36,NIV,17,0.012715033657442034
1,36,OTHER,1,7.479431563201197e-4
1,36,ROOM AIR,1011,0.7561705310396409
1,37,IMV,62,0.04637247569184742
1,37,LOW_O2,232,0.17352281226626776
1,37,NIV,18,0.013462976813762155
1,37,OTHER,1,7.479431563201197e-4
1,37,ROOM AIR,1024,0.7658937920718025
1,38,IMV,56,0.041884816753926704
1,38,LOW_O2,215,0.16080777860882572
1,38,NIV,19,0.014210919970082274
1,38,OTHER,1,7.479431563201197e-4
1,38,ROOM AIR,1046,0.7823485415108452
1,39,IMV,56,0.041884816753926704
1,39,LOW_O2,208,0.15557217651458488
1,39,NIV,18,0.013462976813762155
1,39,OTHER,1,7.479431563201197e-4
1,39,ROOM AIR,1054,0.7883320867614061
1,40,IMV,49,0.03664921465968586
1,40,LOW_O2,202,0.15108451757666416
1,40,NIV,21,0.015706806282722512
1,40,OTHER,1,7.479431563201197e-4
1,40,ROOM AIR,1064,0.7958115183246073
1,41,IMV,45,0.033657442034405384
1,41,LOW_O2,203,0.1518324607329843
1,41,NIV,20,0.014958863126402393
1,41,OTHER,1,7.479431563201197e-4
1,41,ROOM AIR,1068,0.7988032909498878
1,42,IMV,36,0.02692595362752431
1,42,LOW_O2,203,0.1518324607329843
1,42,NIV,20,0.014958863126402393
1,42,OTHER,1,7.479431563201197e-4
1,42,ROOM AIR,1077,0.8055347793567689
1,43,IMV,30,0.02243829468960359
1,43,LOW_O2,194,0.14510097232610322
1,43,NIV,20,0.014958863126402393
1,43,OTHER,1,7.479431563201197e-4
1,43,ROOM AIR,1092,0.8167539267015707
1,44,IMV,25,0.018698578908002993
1,44,LOW_O2,179,0.1338818249813014
1,44,NIV,22,0.016454749439042633
1,44,OTHER,1,7.479431563201197e-4
1,44,ROOM AIR,1110,0.8302169035153328
1,45,IMV,23,0.01720269259536275
1,45,LOW_O2,176,0.13163799551234107
1,45,NIV,22,0.016454749439042633
1,45,OTHER,1,7.479431563201197e-4
1,45,ROOM AIR,1115,0.8339566192969334
1,46,IMV,21,0.015706806282722512
1,46,LOW_O2,162,0.1211667913238594
1,46,NIV,14,0.010471204188481676
1,46,OTHER,1,7.479431563201197e-4
1,46,ROOM AIR,1139,0.8519072550486163
1,47,IMV,19,0.014210919970082274
1,47,LOW_O2,155,0.11593118922961855
1,47,NIV,16,0.011967090501121914
1,47,OTHER,1,7.479431563201197e-4
1,47,ROOM AIR,1146,0.8571428571428571
1,48,IMV,17,0.012715033657442034
1,48,LOW_O2,147,0.1099476439790576
1,48,NIV,15,0.011219147344801795
1,48,OTHER,1,7.479431563201197e-4
1,48,ROOM AIR,1157,0.8653702318623785
1,49,IMV,15,0.011219147344801795
1,49,LOW_O2,154,0.11518324607329843
1,49,NIV,18,0.013462976813762155
1,49,OTHER,1,7.479431563201197e-4
1,49,ROOM AIR,1149,0.8593866866118175
1,50,IMV,14,0.010471204188481676
1,50,LOW_O2,150,0.11219147344801796
1,50,NIV,17,0.012715033657442034
1,50,OTHER,1,7.479431563201197e-4
1,50,ROOM AIR,1155,0.8638743455497382
1,51,IMV,13,0.009723261032161555
1,51,LOW_O2,144,0.10770381451009724
1,51,NIV,15,0.011219147344801795
