model,outcome_level,term,estimate,std_error,statistic,p_value,effect,conf_low,conf_high,effect_type
multinom_traj_cluster,2,(Intercept),-578.163478513809,3.742074986809413e-5,-15450344.542848555,0,8.068478451415421e-252,8.067886693229257e-252,8.069070253005486e-252,RRR
multinom_traj_cluster,2,pm25_5y_z,-0.05353622748927217,0.045890159094796365,-1.1666167332015813,0.24336518272498617,0.9478716013735174,0.8663373130124351,1.0370793906662776,RRR
multinom_traj_cluster,2,no2_5y_z,0.02232291591633226,0.04579836689306088,0.48741729084917446,0.6259626426149598,1.022573936561629,0.9347820455841482,1.1186109753335196,RRR
multinom_traj_cluster,2,age_years,-0.017696092451958738,0.0019716348210473654,-8.975339785568545,2.824785439683674e-19,0.9824595638701186,0.9786702693553481,0.986263530081138,RRR
multinom_traj_cluster,2,sex_categoryMale,0.16032936887287183,0.0441578002446512,3.6308278035723123,2.825136343940206e-4,1.173897452605172,1.0765700206048974,1.2800237818796298,RRR
multinom_traj_cluster,2,sex_categoryUnknown,-374.1744611823876,3.4230699809869895e-15,-109309614837176110,0,3.148445930314153e-163,3.148445930314153e-163,3.148445930314153e-163,RRR
multinom_traj_cluster,2,race_categoryAsian,-0.4188779413909099,0.035175738383734376,-11.908149214135712,1.073332201224594e-32,0.6577844786266219,0.6139619099796693,0.7047349571513722,RRR
multinom_traj_cluster,2,race_categoryBlack or African American,-0.36300743197653096,0.05255454040736501,-6.9072515745120855,4.941332125008274e-12,0.6955812639362561,0.6274982911950996,0.7710511750042802,RRR
multinom_traj_cluster,2,race_categoryNative Hawaiian or Other Pacific Islander,-1514.7356708072741,NA,NA,NA,0,NA,NA,RRR
multinom_traj_cluster,2,race_categoryOther,-0.7538287410584213,0.012008071780144732,-62.7768350206627,0,0.47056144138302813,0.45961570537944524,0.48176784980327975,RRR
multinom_traj_cluster,2,race_categoryUnknown,-0.6301292638260002,0.031189034844114793,-20.203551247271196,9.110404972037314e-91,0.5325229606023856,0.5009445953579534,0.5660919514783772,RRR
multinom_traj_cluster,2,race_categoryWhite,-0.7971633610083261,0.05560196442126396,-14.336963977903368,1.2855755860985136e-46,0.45060535765488663,0.4040796725128245,0.50248800461707,RRR
multinom_traj_cluster,2,admit_year,0.2864457140816999,6.761611830240514e-5,4236.352533586816,0,1.3316858741413957,1.3315094007134223,1.3318623709585173,RRR
multinom_traj_cluster,2,charlson_score,-0.016085427242443304,0.01102225794508508,-1.4593586289291964,0.1444664264611145,0.9840432523630064,0.9630123403166075,1.0055334516303331,RRR
multinom_traj_cluster,2,advanced_cancer_any_poaTRUE,-0.191495573042714,0.06486994663159773,-2.951992147153051,0.0031573096030675252,0.8257232805400846,0.72713678556333206,0.937676307350695,RRR
multinom_traj_cluster,3,(Intercept),-140.05272307373656,3.900189613720537e-5,-3590920.8767964235,0,1.4992539217938734e-61,1.4991393176326473e-61,1.4993685347162021e-61,RRR
multinom_traj_cluster,3,pm25_5y_z,-0.04687234662322745,0.0479411862076509,-0.9777051911107516,0.3282201535812413,0.954209197842351,0.8686308248080709,1.0482188373272692,RRR
multinom_traj_cluster,3,no2_5y_z,0.0043561760638400416,0.0476945105626626,0.09133495684197777,0.927226442515471,1.0043656779911356,0.9147311658973982,1.1027834764293372,RRR
multinom_traj_cluster,3,age_years,-6.268537858266594e-4,0.0021579055797943994,-0.2904917581641291,0.7714400551156689,0.9993733426459609,0.9951554242735977,1.0036091384623516,RRR
multinom_traj_cluster,3,sex_categoryMale,0.11070921091133837,0.047417222535509645,2.3347890279408676,0.01955444466503214,1.1170700278457435,1.0179303066581982,1.225865306248607,RRR
multinom_traj_cluster,3,sex_categoryUnknown,1053.5517914337322,2.594681941047857e-4,4060427.502756879,0,NA,NA,NA,RRR
multinom_traj_cluster,3,race_categoryAsian,-1.2322838677607433,0.013125458303431287,-93.88501637604509,0,0.29162578181261956,0.2842191265315931,0.299225452050526,RRR
