pm25_5y_z,no2_5y_z,traj_cluster_ra,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_icu_los_hours
-2,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,98.55749151887365
-1.9,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,99.13611919428317
-1.8,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,99.71814397306302
-1.7,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,100.3035857994942
-1.6,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,100.89246473494423
-1.5,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,101.48480095856593
-1.4,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,102.08061476797896
-1.2999999999999998,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,102.67992657996959
-1.2,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,103.28275693119468
-1.1,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,103.88912647887533
-1,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,104.4990560015163
-0.8999999999999999,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,105.11256639960632
-0.7999999999999998,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,105.7296786963462
-0.7,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,106.35041403835719
-0.5999999999999999,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,106.97479369641768
-0.5,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,107.60283906618002
-0.3999999999999999,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,108.23457166891582
-0.2999999999999998,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,108.87001315224116
-0.19999999999999996,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,109.50918529087073
-0.09999999999999987,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,110.15210998735165
0,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,110.79880927282636
0.10000000000000009,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,111.44930530777668
0.20000000000000018,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,112.10362038278788
0.30000000000000027,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,112.76177691931724
0.40000000000000036,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,113.42379747045128
0.5,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,114.08970472169132
0.6000000000000001,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,114.75952149171806
0.7000000000000002,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,115.43327073318639
0.8000000000000003,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,116.11097553349887
0.9000000000000004,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,116.79265911561008
1,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,117.47834483880906
1.1,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,118.16805619953318
1.2000000000000002,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,118.86181683215985
1.3000000000000003,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,119.55965050982984
1.4000000000000004,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,120.26158114524847
1.5,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,120.96763279151853
1.6,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,121.67782964295264
1.7000000000000002,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,122.39219603590739
1.8000000000000003,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,123.11075644962249
1.9000000000000004,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,123.83353550704743
2,0,1,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,124.56055797569928
