k,avg_sil_width,min_sil_width,selected_k
2,0.5208113248500282,-0.34742510579764757,FALSE
3,0.5618930052819419,-0.6855560717569861,FALSE
4,0.5994752338845808,-0.661454391862286,TRUE
5,0.5626588524258654,-0.661454391862286,FALSE
6,0.5573163340044724,-0.598424199186641,FALSE
7,0.5562423565089432,-0.598424199186641,FALSE
8,0.5659298434719363,-0.5558835768704354,FALSE
9,0.5435100406089839,-0.5558835768704354,FALSE
10,0.5366931034438847,-0.413757281036311,FALSE
