site_name,device_t0,traj_cluster_ra,n,device_total
RUSH,FACE MASK,1,10,36
RUSH,FACE MASK,2,15,36
RUSH,FACE MASK,3,8,36
RUSH,FACE MASK,4,3,36
RUSH,HIGH FLOW NC,1,2,11
RUSH,HIGH FLOW NC,2,4,11
RUSH,HIGH FLOW NC,3,2,11
RUSH,HIGH FLOW NC,4,3,11
RUSH,IMV,1,3,21
RUSH,IMV,2,1,21
RUSH,IMV,4,17,21
RUSH,NASAL CANNULA,1,50,141
RUSH,NASAL CANNULA,2,73,141
RUSH,NASAL CANNULA,3,7,141
RUSH,NASAL CANNULA,4,11,141
RUSH,NIPPV,1,2,7
RUSH,NIPPV,2,4,7
RUSH,NIPPV,3,1,7
RUSH,ROOM AIR,1,143,155
RUSH,ROOM AIR,2,6,155
RUSH,ROOM AIR,3,2,155
RUSH,ROOM AIR,4,4,155
RUSH,TRACH COLLAR,1,1,4
RUSH,TRACH COLLAR,2,3,4
RUSH,UNK,1,33,82
RUSH,UNK,2,24,82
RUSH,UNK,3,4,82
RUSH,UNK,4,21,82
