no2_5y_z,pm25_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,predicted_expected_rank
-2,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,2.0964915900473695
-1.9,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,2.070362134694741
-1.8,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,2.0444944824434135
-1.7,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,2.0188993317648105
-1.6,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.9935869620539461
-1.5,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.9685672345702243
-1.4,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.9438495927771928
-1.2999999999999998,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.9194430619810459
-1.2,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.8953562482060375
-1.1,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.8715973362830136
-1,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.8481740871638428
-0.8999999999999999,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.825093834509202
-0.7999999999999998,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.8023634806287943
-0.7,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.7799894918813102
-0.5999999999999999,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.7579778936656372
-0.5,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.7363342651545781
-0.3999999999999999,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.7150637339373893
-0.2999999999999998,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.6941709707477206
-0.19999999999999996,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.6736601844588836
-0.09999999999999987,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.6535351175290756
0,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.6337990420753234
0.10000000000000009,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.6144547567468448
0.20000000000000018,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.595504584556748
0.30000000000000027,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.5769503718158386
0.40000000000000036,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.558793488294437
0.5,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.54103482871803
0.6000000000000001,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.5236748156808586
0.7000000000000002,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.5067134040387886
0.8000000000000003,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.4901500868196398
0.9000000000000004,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.4739839026659396
1,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.4582134448025306
1.1,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.4428368714998583
1.2000000000000002,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.427851917983554
1.3000000000000003,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.4132559097225277
1.4000000000000004,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.3990457770111986
1.5,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.3852180707472468
1.6,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.3717689792941767
1.7000000000000002,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.358694346308308
1.8000000000000003,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.345989689402522
1.9000000000000004,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.333650219514037
2,0,67.07439824945295,Female,White,2023,8.24945295404814,FALSE,1.3216708608407506
