county_code,site_name,county_total,dominant_cluster,dominant_cluster_prop,n_clusters_present,cluster_entropy,county_total_suppressed,dominant_cluster_prop_suppressed,dominant_cluster_suppressed,cluster_entropy_suppressed
37081,Hopkins,18,1,0.9444444444444444,2,0.2145591551764051,18,0.9444444444444444,1,0.2145591551764051
37083,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
37085,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
37091,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
37097,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
37107,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
37119,Hopkins,17,3,0.9411764705882353,2,0.22371807606583377,17,0.9411764705882353,3,0.22371807606583377
37129,Hopkins,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
37133,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
37139,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
37195,Hopkins,2,4,1,1,-0,NA,NA,NA,NA
39000,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
39035,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
39049,Hopkins,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
39059,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
39061,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
39089,Hopkins,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
39147,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
39153,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
42000,Hopkins,60,4,0.6,4,0.9672604429127744,60,0.6,4,0.9672604429127744
42001,Hopkins,36,1,0.6388888888888888,4,0.9881292015968504,36,0.6388888888888888,1,0.9881292015968504
42003,Hopkins,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
42009,Hopkins,2,3,1,1,-0,NA,NA,NA,NA
42011,Hopkins,22,4,0.8181818181818182,3,0.6001660731596457,22,0.8181818181818182,4,0.6001660731596457
42013,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
42017,Hopkins,3,3,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
42021,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
42029,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
42041,Hopkins,17,3,0.35294117647058826,4,1.339718043494599,17,0.35294117647058826,3,1.339718043494599
42043,Hopkins,11,2,0.2727272727272727,4,1.3730039128771998,11,0.2727272727272727,2,1.3730039128771998
42045,Hopkins,19,1,0.8421052631578947,3,0.5366645624845252,19,0.8421052631578947,1,0.5366645624845252
42055,Hopkins,38,1,0.47368421052631576,5,1.3743110407014743,38,0.47368421052631576,1,1.3743110407014743
42061,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
42063,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
42069,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
42071,Hopkins,25,4,0.76,3,0.7038433284777279,25,0.76,4,0.7038433284777279
42073,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
42075,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
42077,Hopkins,19,3,0.8947368421052632,3,0.40945861869508926,19,0.8947368421052632,3,0.40945861869508926
42085,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
42091,Hopkins,35,5,0.9714285714285714,2,0.12974069471942834,35,0.9714285714285714,5,0.12974069471942834
42097,Hopkins,2,2,1,1,-0,NA,NA,NA,NA
42101,Hopkins,23,4,0.782608695652174,5,0.8131904766573734,23,0.782608695652174,4,0.8131904766573734
