no2_5y_z,pm25_5y_z,traj_cluster_ra,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_icu_los_hours
-2,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,96.36311296049224
-1.9,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,94.23066941905687
-1.8,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,92.14541525660381
-1.7,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,90.10630620750769
-1.6,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,88.11232111495909
-1.5,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,86.16246141958467
-1.4,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,84.25575065938229
-1.2999999999999998,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,82.39123398072276
-1.2,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,80.56797766017297
-1.1,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,78.78506863689988
-1,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,77.04161405542345
-0.8999999999999999,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,75.33674081848682
-0.7999999999999998,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,73.66959514982169
-0.7,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,72.03934216658948
-0.5999999999999999,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,70.44516546128337
-0.5,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,68.8862666928838
-0.3999999999999999,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,67.36186518706008
-0.2999999999999998,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,65.87119754521999
-0.19999999999999996,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,64.41351726221068
-0.09999999999999987,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,62.9880943524791
0,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,61.59421498450626
0.10000000000000009,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,60.23118112333011
0.20000000000000018,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,58.8983101809797
0.30000000000000027,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,57.59493467464491
0.40000000000000036,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,56.32040189241014
0.5,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,55.074073566386105
0.6000000000000001,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,53.855325553073904
0.7000000000000002,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,52.663547520803014
0.8000000000000003,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,51.49814264408587
0.9000000000000004,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,50.358527304735816
1,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,49.244130799599986
1.1,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,48.154395054758915
1.2000000000000002,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,47.088774346051125
1.3000000000000003,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,46.046735025782326
1.4000000000000004,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,45.0277552554819
1.5,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,44.03132474457414
1.6,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,43.05694449483162
1.7000000000000002,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,42.10412655048408
1.8000000000000003,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,41.17239375385721
1.9000000000000004,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,40.26127950641853
2,0,1,67.44615384615385,Female,White,2021,7.056410256410256,FALSE,39.370327535111976
