site_name,device_t0,n,prop
UCSF,CPAP,1,0.002564102564102564
UCSF,FACE MASK,45,0.11538461538461539
UCSF,HIGH FLOW NC,43,0.11025641025641025
UCSF,IMV,9,0.023076923076923078
UCSF,NASAL CANNULA,131,0.33589743589743587
UCSF,NIPPV,26,0.06666666666666667
UCSF,OTHER,3,0.007692307692307693
UCSF,ROOM AIR,69,0.17692307692307693
UCSF,TRACH COLLAR,4,0.010256410256410256
UCSF,UNK,56,0.14358974358974358
UCSF,Unknown / missing,3,0.007692307692307693
