pm25_5y_z,no2_5y_z,traj_cluster_ra,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_icu_los_hours
-2,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,132.4732196257295
-1.9,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,131.32101957644736
-1.8,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,130.17884091078759
-1.7,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,129.04659646669035
-1.6,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,127.92419984019666
-1.5,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,126.81156537885661
-1.4,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,125.70860817519029
-1.2999999999999998,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,124.61524406021022
-1.2,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,123.53138959699723
-1.1,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,122.45696207433505
-1,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,121.39187950039579
-0.8999999999999999,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,120.33606059648427
-0.7999999999999998,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,119.28942479083679
-0.7,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,118.25189221246991
-0.5999999999999999,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,117.22338368508711
-0.5,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,116.20382072103577
-0.3999999999999999,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,115.19312551531927
-0.2999999999999998,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,114.1912209396571
-0.19999999999999996,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,113.19803053660064
-0.09999999999999987,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,112.21347851369777
0,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,111.23748973771052
0.10000000000000009,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,110.26998972887914
0.20000000000000018,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,109.3109046552396
0.30000000000000027,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,108.36016132699045
0.40000000000000036,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,107.41768719090527
0.5,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,106.48341032479746
0.6000000000000001,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,105.55725943203102
0.7000000000000002,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,104.6391638360812
0.8000000000000003,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,103.72905347513877
0.9000000000000004,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,102.82685889676502
1,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,101.93251125259091
1.1,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,101.04594229306454
1.2000000000000002,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,100.16708436224077
1.3000000000000003,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,99.29587039261928
1.4000000000000004,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,98.4322339000276
1.5,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,97.57610897854545
1.6,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,96.7274302954767
1.7000000000000002,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,95.886133086363
1.8000000000000003,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,95.05215315004291
1.9000000000000004,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,94.2254268437504
2,0,1,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,93.4058910782596
