site_name,device_t0,n,prop
emory,CPAP,15,0.01989389920424403
emory,FACE MASK,13,0.017241379310344827
emory,HIGH FLOW NC,91,0.1206896551724138
emory,IMV,100,0.13262599469496023
emory,NASAL CANNULA,213,0.28249336870026526
emory,NIPPV,19,0.025198938992042442
emory,OTHER,56,0.07427055702917772
emory,ROOM AIR,111,0.14721485411140584
emory,UNK,68,0.09018567639257294
emory,Unknown / missing,68,0.09018567639257294
