no2_5y_z,pm25_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,predicted_expected_rank
-2,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.469338853385414
-1.9,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.4661198024500854
-1.8,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.462902130024418
-1.7,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.4596858552470295
-1.6,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.456470997137001
-1.5,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.4532575745940544
-1.4,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.450045606398739
-1.2999999999999998,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.446835111212639
-1.2,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.443626107578596
-1.1,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.440418613920943
-1,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.4372126485457644
-0.8999999999999999,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.434008229641157
-0.7999999999999998,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.4308053752775187
-0.7,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.427604103407849
-0.5999999999999999,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.4244044318680618
-0.5,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.4212063783773137
-0.3999999999999999,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.4180099605383543
-0.2999999999999998,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.414815195837881
-0.19999999999999996,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.4116221016469197
-0.09999999999999987,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.408430695221209
0,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.405240993701609
0.10000000000000009,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.402053014114518
0.20000000000000018,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.3988667733723066
0.30000000000000027,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.3956822882737665
0.40000000000000036,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.3924995755045684
0.5,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.389318651637745
0.6000000000000001,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.386139533134174
0.7000000000000002,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.382962236343087
0.8000000000000003,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.3797867775025803
0.9000000000000004,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.3766131727401536
1,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.3734414380732485
1.1,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.370271589409808
1.2000000000000002,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.367103642548845
1.3000000000000003,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.3639376131810304
1.4000000000000004,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.360773516889284
1.5,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.357611369149385
1.6,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.354451185330595
1.7000000000000002,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.3512929806962872
1.8000000000000003,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.348136770404598
1.9000000000000004,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.34498256950908
2,0,69.29575596816976,Female,Black or African American,2023,7.838196286472148,FALSE,2.3418303929593725
