traj_cluster_ra,h,rs,n,prop
1,0,IMV,4,0.020202020202020204
1,0,LOW_O2,48,0.24242424242424243
1,0,NIV,4,0.020202020202020204
1,0,OTHER,13,0.06565656565656566
1,0,ROOM AIR,129,0.6515151515151515
1,1,IMV,4,0.020202020202020204
1,1,LOW_O2,38,0.1919191919191919
1,1,NIV,4,0.020202020202020204
1,1,OTHER,17,0.08585858585858586
1,1,ROOM AIR,135,0.6818181818181818
1,2,IMV,4,0.020202020202020204
1,2,LOW_O2,43,0.21717171717171718
1,2,NIV,4,0.020202020202020204
1,2,OTHER,12,0.06060606060606061
1,2,ROOM AIR,135,0.6818181818181818
1,3,IMV,4,0.020202020202020204
1,3,LOW_O2,43,0.21717171717171718
1,3,NIV,4,0.020202020202020204
1,3,OTHER,12,0.06060606060606061
1,3,ROOM AIR,135,0.6818181818181818
1,4,IMV,4,0.020202020202020204
1,4,LOW_O2,44,0.2222222222222222
1,4,NIV,4,0.020202020202020204
1,4,OTHER,10,0.050505050505050504
1,4,ROOM AIR,136,0.6868686868686869
1,5,IMV,4,0.020202020202020204
1,5,LOW_O2,43,0.21717171717171718
1,5,NIV,4,0.020202020202020204
1,5,OTHER,10,0.050505050505050504
1,5,ROOM AIR,137,0.6919191919191919
1,6,IMV,4,0.020202020202020204
1,6,LOW_O2,40,0.20202020202020202
1,6,NIV,4,0.020202020202020204
1,6,OTHER,11,0.05555555555555555
1,6,ROOM AIR,139,0.702020202020202
1,7,IMV,4,0.020202020202020204
1,7,LOW_O2,38,0.1919191919191919
1,7,NIV,3,0.015151515151515152
1,7,OTHER,14,0.0707070707070707
1,7,ROOM AIR,139,0.702020202020202
1,8,IMV,3,0.015151515151515152
1,8,LOW_O2,41,0.20707070707070707
1,8,NIV,3,0.015151515151515152
1,8,OTHER,13,0.06565656565656566
1,8,ROOM AIR,138,0.696969696969697
1,9,IMV,3,0.015151515151515152
1,9,LOW_O2,41,0.20707070707070707
1,9,NIV,4,0.020202020202020204
1,9,OTHER,10,0.050505050505050504
1,9,ROOM AIR,140,0.7070707070707071
1,10,IMV,4,0.020202020202020204
1,10,LOW_O2,37,0.18686868686868688
1,10,NIV,3,0.015151515151515152
1,10,OTHER,11,0.05555555555555555
1,10,ROOM AIR,143,0.7222222222222222
1,11,IMV,3,0.015151515151515152
1,11,LOW_O2,37,0.18686868686868688
1,11,NIV,2,0.010101010101010102
1,11,OTHER,12,0.06060606060606061
1,11,ROOM AIR,144,0.7272727272727273
1,12,IMV,3,0.015151515151515152
1,12,LOW_O2,38,0.1919191919191919
1,12,NIV,2,0.010101010101010102
1,12,OTHER,12,0.06060606060606061
1,12,ROOM AIR,143,0.7222222222222222
1,13,IMV,3,0.015151515151515152
1,13,LOW_O2,34,0.1717171717171717
1,13,NIV,2,0.010101010101010102
1,13,OTHER,12,0.06060606060606061
1,13,ROOM AIR,147,0.7424242424242424
1,14,IMV,3,0.015151515151515152
1,14,LOW_O2,34,0.1717171717171717
1,14,NIV,2,0.010101010101010102
1,14,OTHER,13,0.06565656565656566
1,14,ROOM AIR,146,0.7373737373737373
1,15,IMV,2,0.010101010101010102
1,15,LOW_O2,36,0.18181818181818182
1,15,NIV,3,0.015151515151515152
1,15,OTHER,9,0.045454545454545456
1,15,ROOM AIR,148,0.7474747474747475
1,16,IMV,2,0.010101010101010102
1,16,LOW_O2,32,0.16161616161616163
1,16,NIV,3,0.015151515151515152
1,16,OTHER,12,0.06060606060606061
1,16,ROOM AIR,149,0.7525252525252525
1,17,IMV,1,0.005050505050505051
1,17,LOW_O2,33,0.16666666666666666
1,17,NIV,3,0.015151515151515152
1,17,OTHER,8,0.04040404040404041
1,17,ROOM AIR,153,0.7727272727272727
1,18,IMV,1,0.005050505050505051
1,18,LOW_O2,35,0.17676767676767677
1,18,NIV,3,0.015151515151515152
1,18,OTHER,8,0.04040404040404041
1,18,ROOM AIR,151,0.7626262626262627
1,19,IMV,1,0.005050505050505051
1,19,LOW_O2,34,0.1717171717171717
1,19,NIV,3,0.015151515151515152
1,19,OTHER,7,0.03535353535353535
1,19,ROOM AIR,153,0.7727272727272727
1,20,IMV,1,0.005050505050505051
1,20,LOW_O2,36,0.18181818181818182
1,20,NIV,2,0.010101010101010102
1,20,OTHER,7,0.03535353535353535
1,20,ROOM AIR,152,0.7676767676767676
1,21,LOW_O2,36,0.18181818181818182
1,21,NIV,1,0.005050505050505051
1,21,OTHER,8,0.04040404040404041
1,21,ROOM AIR,153,0.7727272727272727
1,22,LOW_O2,37,0.18686868686868688
1,22,NIV,1,0.005050505050505051
1,22,OTHER,6,0.030303030303030304
1,22,ROOM AIR,154,0.7777777777777778
1,23,LOW_O2,33,0.16666666666666666
1,23,NIV,2,0.010101010101010102
1,23,OTHER,12,0.06060606060606061
1,23,ROOM AIR,151,0.7626262626262627
1,24,LOW_O2,31,0.15656565656565657
1,24,NIV,3,0.015151515151515152
1,24,OTHER,7,0.03535353535353535
1,24,ROOM AIR,157,0.7929292929292929
1,25,LOW_O2,30,0.15151515151515152
1,25,NIV,2,0.010101010101010102
1,25,OTHER,7,0.03535353535353535
1,25,ROOM AIR,159,0.803030303030303
1,26,LOW_O2,30,0.15151515151515152
1,26,NIV,2,0.010101010101010102
1,26,OTHER,7,0.03535353535353535
1,26,ROOM AIR,159,0.803030303030303
1,27,LOW_O2,29,0.14646464646464646
1,27,NIV,2,0.010101010101010102
1,27,OTHER,8,0.04040404040404041
1,27,ROOM AIR,159,0.803030303030303
1,28,LOW_O2,26,0.13131313131313133
1,28,NIV,2,0.010101010101010102
1,28,OTHER,7,0.03535353535353535
1,28,ROOM AIR,163,0.8232323232323232
1,29,LOW_O2,25,0.12626262626262627
1,29,NIV,2,0.010101010101010102
1,29,OTHER,8,0.04040404040404041
1,29,ROOM AIR,163,0.8232323232323232
