county_code,traj_cluster_ra,n,county_total,prop_cluster_in_county,cluster_total,prop_county_in_cluster,n_suppressed,prop_cluster_in_county_suppressed,prop_county_in_cluster_suppressed,site_name
36021,2,1,1,1,686,0.0014577259475218659,NA,NA,NA,RUSH
36103,1,1,1,1,1275,7.84313725490196e-4,NA,NA,NA,RUSH
39061,1,1,2,0.5,1275,7.84313725490196e-4,NA,NA,NA,RUSH
39061,3,1,2,0.5,1240,8.064516129032258e-4,NA,NA,NA,RUSH
42091,1,1,1,1,1275,7.84313725490196e-4,NA,NA,NA,RUSH
45013,1,2,2,1,1275,0.001568627450980392,NA,NA,NA,RUSH
47065,5,1,1,1,322,0.003105590062111801,NA,NA,NA,RUSH
47125,1,1,1,1,1275,7.84313725490196e-4,NA,NA,NA,RUSH
49035,2,1,1,1,686,0.0014577259475218659,NA,NA,NA,RUSH
55009,3,1,1,1,1240,8.064516129032258e-4,NA,NA,NA,RUSH
55073,2,1,1,1,686,0.0014577259475218659,NA,NA,NA,RUSH
55079,1,1,1,1,1275,7.84313725490196e-4,NA,NA,NA,RUSH
55097,1,1,1,1,1275,7.84313725490196e-4,NA,NA,NA,RUSH
55105,3,1,1,1,1240,8.064516129032258e-4,NA,NA,NA,RUSH
