pooled_cluster,pooled_cluster_label,h,rs,n,prop
1,Cluster 1: Room air / No ARF,0,Invasive ventilation,8061,0.3004472605292583
1,Cluster 1: Room air / No ARF,0,Low-flow oxygen,8252,0.30756615728661946
1,Cluster 1: Room air / No ARF,0,Noninvasive ventilation,4648,0.17323891166604546
1,Cluster 1: Room air / No ARF,0,Other support,244,0.009094297428251956
1,Cluster 1: Room air / No ARF,0,Room air,5625,0.20965337308982482
1,Cluster 1: Room air / No ARF,1,Invasive ventilation,7997,0.29806187103988074
1,Cluster 1: Room air / No ARF,1,Low-flow oxygen,8381,0.3123742079761461
1,Cluster 1: Room air / No ARF,1,Noninvasive ventilation,4295,0.16008199776369736
1,Cluster 1: Room air / No ARF,1,Other support,255,0.009504286246738726
1,Cluster 1: Room air / No ARF,1,Room air,5902,0.2199776369735371
1,Cluster 1: Room air / No ARF,2,Invasive ventilation,7864,0.29310473350726796
1,Cluster 1: Room air / No ARF,2,Low-flow oxygen,8304,0.3095042862467387
1,Cluster 1: Room air / No ARF,2,Noninvasive ventilation,4110,0.15318673127096533
1,Cluster 1: Room air / No ARF,2,Other support,235,0.008758852031308237
1,Cluster 1: Room air / No ARF,2,Room air,6317,0.23544539694371971
1,Cluster 1: Room air / No ARF,3,Invasive ventilation,7797,0.29060752888557584
1,Cluster 1: Room air / No ARF,3,Low-flow oxygen,8468,0.31561684681326874
1,Cluster 1: Room air / No ARF,3,Noninvasive ventilation,3806,0.1418561311964219
1,Cluster 1: Room air / No ARF,3,Other support,244,0.009094297428251956
1,Cluster 1: Room air / No ARF,3,Room air,6515,0.24282519567648156
1,Cluster 1: Room air / No ARF,4,Invasive ventilation,7623,0.2841222512113306
1,Cluster 1: Room air / No ARF,4,Low-flow oxygen,8495,0.31662318300409986
1,Cluster 1: Room air / No ARF,4,Noninvasive ventilation,3503,0.13056280283265
1,Cluster 1: Room air / No ARF,4,Other support,251,0.009355199403652628
1,Cluster 1: Room air / No ARF,4,Room air,6958,0.25933656354826684
1,Cluster 1: Room air / No ARF,5,Invasive ventilation,7432,0.27700335445396945
1,Cluster 1: Room air / No ARF,5,Low-flow oxygen,8518,0.317480432351845
1,Cluster 1: Room air / No ARF,5,Noninvasive ventilation,3222,0.12008945210585166
1,Cluster 1: Room air / No ARF,5,Other support,233,0.008684308609765188
1,Cluster 1: Room air / No ARF,5,Room air,7425,0.27674245247856877
1,Cluster 1: Room air / No ARF,6,Invasive ventilation,7303,0.2721953037644428
1,Cluster 1: Room air / No ARF,6,Low-flow oxygen,8483,0.3161759224748416
1,Cluster 1: Room air / No ARF,6,Noninvasive ventilation,2985,0.11125605665300037
1,Cluster 1: Room air / No ARF,6,Other support,220,0.008199776369735371
1,Cluster 1: Room air / No ARF,6,Room air,7839,0.2921729407379799
1,Cluster 1: Room air / No ARF,7,Invasive ventilation,7114,0.2651509504286247
1,Cluster 1: Room air / No ARF,7,Low-flow oxygen,8582,0.31986582184122253
1,Cluster 1: Room air / No ARF,7,Noninvasive ventilation,2728,0.1016772269847186
1,Cluster 1: Room air / No ARF,7,Other support,223,0.008311591502049943
1,Cluster 1: Room air / No ARF,7,Room air,8183,0.3049944092433843
