site_run,site_name,local_cluster,prototype_idx,distance,pooled_cluster,pooled_severity_rank,arf_label,dominant_rs,pooled_cluster_label,phenotype_label,phenotype_label_short,is_worst_cluster,severity_score,local_severity_rank,n,death_pct,imv72_pct,sofa_total_mean,icu_los_median
run_NU_20260402,NU,5,4,0.3122069894829261,1,1,NO_ARF,ROOM_AIR,Cluster 1: Room air / No ARF,Room air / No ARF,Room air / No ARF,FALSE,-1.9089361303410373,2,2970,0.13400673400673402,0.22188552188552188,4.2983164983165,36.075
run_NU_20260402,NU,4,5,0.26566052931348344,2,2,NO_ARF,LOW_O2,Cluster 2: Low-flow oxygen / No ARF,Low-flow oxygen / No ARF,Low-flow O2 / No ARF,FALSE,-1.6667732352510458,1,4289,0.21403590580554907,0.09536022382839825,4.6546980648169765,48.583333333333336
run_NU_20260402,NU,2,2,0.358095248484945,3,3,NO_ARF,NIV,Cluster 3: Noninvasive ventilation / No ARF,Noninvasive ventilation / No ARF,NIV / No ARF,FALSE,-0.47939321591053885,3,3350,0.30955223880597016,0.13522388059701493,5.329850746268655,92
run_NU_20260402,NU,3,1,0.0924009610700193,4,4,NO_ARF_PREDOM,IMV,Cluster 4: Invasive ventilation / Predominantly no ARF,Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF,FALSE,1.5642373140947232,5,3770,0.5183023872679046,1,10.408488063660473,141.8
run_NU_20260402,NU,1,3,0.3606111834979499,5,5,HYPOX_MIXED_ARF,IMV,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF,TRUE,2.490865267407899,4,3503,0.33571224664573224,0.9980017128175848,10.3739651727091,128.81666666666666
run_OHSU_20260407,OHSU,1,4,0.12749842950209922,1,1,NO_ARF,ROOM_AIR,Cluster 1: Room air / No ARF,Room air / No ARF,Room air / No ARF,FALSE,-1.9089361303410373,2,1337,0.10695587135377713,0.3575168287210172,5.183246073298429,55.333333333333336
run_OHSU_20260407,OHSU,5,5,0.510493902255969,2,2,NO_ARF,LOW_O2,Cluster 2: Low-flow oxygen / No ARF,Low-flow oxygen / No ARF,Low-flow O2 / No ARF,FALSE,-1.6667732352510458,3,780,0.18974358974358976,0.28205128205128205,5.397435897435898,70.42500000000001
run_OHSU_20260407,OHSU,2,2,0.7915644932387215,3,3,NO_ARF,NIV,Cluster 3: Noninvasive ventilation / No ARF,Noninvasive ventilation / No ARF,NIV / No ARF,FALSE,-0.47939321591053885,1,267,0.3258426966292135,0.13857677902621723,4.580524344569288,99.6
run_OHSU_20260407,OHSU,3,1,0.14003056233513478,4,4,NO_ARF_PREDOM,IMV,Cluster 4: Invasive ventilation / Predominantly no ARF,Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF,FALSE,1.5642373140947232,4,868,0.3986175115207373,0.9873271889400922,9.92741935483871,191.025
run_OHSU_20260407,OHSU,4,3,0.31538876390092596,5,5,HYPOX_MIXED_ARF,IMV,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF,TRUE,2.490865267407899,5,393,0.356234096692112,0.9770992366412212,10.837150127226463,259.23333333333335
