pooled_cluster,pooled_cluster_label,h,arf,n,prop
1,Cluster 1: Room air / No ARF,0,Hypercapnic ARF,291,0.010846067834513605
1,Cluster 1: Room air / No ARF,0,Hypoxemic ARF,514,0.01915765933656355
1,Cluster 1: Room air / No ARF,0,Mixed ARF,238,0.00887066716362281
1,Cluster 1: Room air / No ARF,0,No ARF,25787,0.9611256056653
1,Cluster 1: Room air / No ARF,1,Hypercapnic ARF,399,0.014871412597838241
1,Cluster 1: Room air / No ARF,1,Hypoxemic ARF,1068,0.039806187103988075
1,Cluster 1: Room air / No ARF,1,Mixed ARF,433,0.016138650764070072
1,Cluster 1: Room air / No ARF,1,No ARF,24930,0.9291837495341037
1,Cluster 1: Room air / No ARF,2,Hypercapnic ARF,433,0.016138650764070072
1,Cluster 1: Room air / No ARF,2,Hypoxemic ARF,1325,0.04938501677226985
1,Cluster 1: Room air / No ARF,2,Mixed ARF,604,0.022512113306000746
1,Cluster 1: Room air / No ARF,2,No ARF,24468,0.9119642191576594
1,Cluster 1: Room air / No ARF,3,Hypercapnic ARF,425,0.015840477077897874
1,Cluster 1: Room air / No ARF,3,Hypoxemic ARF,1488,0.055460305628028325
1,Cluster 1: Room air / No ARF,3,Mixed ARF,704,0.026239284383153188
1,Cluster 1: Room air / No ARF,3,No ARF,24213,0.9024599329109206
1,Cluster 1: Room air / No ARF,4,Hypercapnic ARF,448,0.016697726425642937
1,Cluster 1: Room air / No ARF,4,Hypoxemic ARF,1554,0.05792023853894894
1,Cluster 1: Room air / No ARF,4,Mixed ARF,769,0.028661945583302272
1,Cluster 1: Room air / No ARF,4,No ARF,24059,0.8967200894521059
1,Cluster 1: Room air / No ARF,5,Hypercapnic ARF,469,0.01748043235184495
1,Cluster 1: Room air / No ARF,5,Hypoxemic ARF,1690,0.06298919120387626
1,Cluster 1: Room air / No ARF,5,Mixed ARF,793,0.02955646664181886
1,Cluster 1: Room air / No ARF,5,No ARF,23878,0.8899739098024599
1,Cluster 1: Room air / No ARF,6,Hypercapnic ARF,479,0.017853149459560194
1,Cluster 1: Room air / No ARF,6,Hypoxemic ARF,1834,0.06835631755497577
1,Cluster 1: Room air / No ARF,6,Mixed ARF,841,0.03134550875885203
1,Cluster 1: Room air / No ARF,6,No ARF,23676,0.882445024226612
1,Cluster 1: Room air / No ARF,7,Hypercapnic ARF,327,0.012187849422288483
1,Cluster 1: Room air / No ARF,7,Hypoxemic ARF,1681,0.06265374580693253
1,Cluster 1: Room air / No ARF,7,Mixed ARF,638,0.023779351472232577
1,Cluster 1: Room air / No ARF,7,No ARF,24184,0.9013790532985464
1,Cluster 1: Room air / No ARF,8,Hypercapnic ARF,258,0.0096161013790533
1,Cluster 1: Room air / No ARF,8,Hypoxemic ARF,1356,0.0505404398061871
1,Cluster 1: Room air / No ARF,8,Mixed ARF,496,0.01848676854267611
1,Cluster 1: Room air / No ARF,8,No ARF,24720,0.9213566902720834
1,Cluster 1: Room air / No ARF,9,Hypercapnic ARF,201,0.007491613865076407
1,Cluster 1: Room air / No ARF,9,Hypoxemic ARF,1349,0.05027953783078643
1,Cluster 1: Room air / No ARF,9,Mixed ARF,338,0.012597838240775252
1,Cluster 1: Room air / No ARF,9,No ARF,24942,0.9296310100633619
1,Cluster 1: Room air / No ARF,10,Hypercapnic ARF,171,0.006373462541930675
1,Cluster 1: Room air / No ARF,10,Hypoxemic ARF,1169,0.04357062989191204
1,Cluster 1: Room air / No ARF,10,Mixed ARF,313,0.011666045471487141
1,Cluster 1: Room air / No ARF,10,No ARF,25177,0.9383898620946701
1,Cluster 1: Room air / No ARF,11,Hypercapnic ARF,155,0.005777115169586284
1,Cluster 1: Room air / No ARF,11,Hypoxemic ARF,1053,0.03924711144241521
1,Cluster 1: Room air / No ARF,11,Mixed ARF,222,0.00827431979127842
1,Cluster 1: Room air / No ARF,11,No ARF,25400,0.9467014535967201
1,Cluster 1: Room air / No ARF,12,Hypercapnic ARF,140,0.005218039508013418
1,Cluster 1: Room air / No ARF,12,Hypoxemic ARF,950,0.035408125232948194
1,Cluster 1: Room air / No ARF,12,Mixed ARF,209,0.007789787551248603
1,Cluster 1: Room air / No ARF,12,No ARF,25531,0.9515840477077898
1,Cluster 1: Room air / No ARF,13,Hypercapnic ARF,125,0.004658963846440552
1,Cluster 1: Room air / No ARF,13,Hypoxemic ARF,896,0.033395452851285874
1,Cluster 1: Room air / No ARF,13,Mixed ARF,210,0.007827059262020127
1,Cluster 1: Room air / No ARF,13,No ARF,25599,0.9541185240402534
1,Cluster 1: Room air / No ARF,14,Hypercapnic ARF,111,0.00413715989563921
1,Cluster 1: Room air / No ARF,14,Hypoxemic ARF,892,0.033246366008199774
1,Cluster 1: Room air / No ARF,14,Mixed ARF,196,0.007305255311218785
1,Cluster 1: Room air / No ARF,14,No ARF,25631,0.9553112187849422
1,Cluster 1: Room air / No ARF,15,Hypercapnic ARF,95,0.0035408125232948193
1,Cluster 1: Room air / No ARF,15,Hypoxemic ARF,827,0.03082370480805069
1,Cluster 1: Room air / No ARF,15,Mixed ARF,162,0.006038017144986955
1,Cluster 1: Room air / No ARF,15,No ARF,25746,0.9595974655236675
1,Cluster 1: Room air / No ARF,16,Hypercapnic ARF,90,0.003354453969437197
1,Cluster 1: Room air / No ARF,16,Hypoxemic ARF,815,0.030376444278792398
1,Cluster 1: Room air / No ARF,16,Mixed ARF,152,0.005665300037271711
1,Cluster 1: Room air / No ARF,16,No ARF,25773,0.9606038017144987
1,Cluster 1: Room air / No ARF,17,Hypercapnic ARF,83,0.003093551994036526
1,Cluster 1: Room air / No ARF,17,Hypoxemic ARF,791,0.02948192322027581
1,Cluster 1: Room air / No ARF,17,Mixed ARF,148,0.005516213194185613
1,Cluster 1: Room air / No ARF,17,No ARF,25808,0.961908311591502
1,Cluster 1: Room air / No ARF,18,Hypercapnic ARF,78,0.0029071934401789044
1,Cluster 1: Room air / No ARF,18,Hypoxemic ARF,763,0.02843831531867313
1,Cluster 1: Room air / No ARF,18,Mixed ARF,140,0.005218039508013418
1,Cluster 1: Room air / No ARF,18,No ARF,25849,0.9634364517331345
1,Cluster 1: Room air / No ARF,19,Hypercapnic ARF,70,0.002609019754006709
1,Cluster 1: Room air / No ARF,19,Hypoxemic ARF,672,0.025046589638464404
1,Cluster 1: Room air / No ARF,19,Mixed ARF,160,0.005963473723443906
1,Cluster 1: Room air / No ARF,19,No ARF,25928,0.966380916884085
1,Cluster 1: Room air / No ARF,20,Hypercapnic ARF,59,0.0021990309355199404
1,Cluster 1: Room air / No ARF,20,Hypoxemic ARF,660,0.024599329109206113
1,Cluster 1: Room air / No ARF,20,Mixed ARF,92,0.003428997390980246
1,Cluster 1: Room air / No ARF,20,No ARF,26019,0.9697726425642937
1,Cluster 1: Room air / No ARF,21,Hypercapnic ARF,56,0.002087215803205367
1,Cluster 1: Room air / No ARF,21,Hypoxemic ARF,540,0.02012672381662318
1,Cluster 1: Room air / No ARF,21,Mixed ARF,82,0.003056280283265002
1,Cluster 1: Room air / No ARF,21,No ARF,26152,0.9747297800969065
1,Cluster 1: Room air / No ARF,22,Hypercapnic ARF,57,0.0021244875139768914
1,Cluster 1: Room air / No ARF,22,Hypoxemic ARF,535,0.01994036526276556
1,Cluster 1: Room air / No ARF,22,Mixed ARF,140,0.005218039508013418
1,Cluster 1: Room air / No ARF,22,No ARF,26098,0.9727171077152441
1,Cluster 1: Room air / No ARF,23,Hypercapnic ARF,51,0.001900857249347745
1,Cluster 1: Room air / No ARF,23,Hypoxemic ARF,387,0.014424152068579948
1,Cluster 1: Room air / No ARF,23,Mixed ARF,145,0.00540439806187104
1,Cluster 1: Room air / No ARF,23,No ARF,26247,0.9782705926202012
1,Cluster 1: Room air / No ARF,24,Hypercapnic ARF,53,0.001975400670890794
1,Cluster 1: Room air / No ARF,24,Hypoxemic ARF,369,0.013753261274692508
1,Cluster 1: Room air / No ARF,24,Mixed ARF,136,0.0050689526649273205
1,Cluster 1: Room air / No ARF,24,No ARF,26272,0.9792023853894893
1,Cluster 1: Room air / No ARF,25,Hypercapnic ARF,52,0.0019381289601192696
1,Cluster 1: Room air / No ARF,25,Hypoxemic ARF,381,0.0142005218039508
1,Cluster 1: Room air / No ARF,25,Mixed ARF,140,0.005218039508013418
1,Cluster 1: Room air / No ARF,25,No ARF,26257,0.9786433097279165
1,Cluster 1: Room air / No ARF,26,Hypercapnic ARF,49,0.0018263138278046963
