pooled_cluster,pooled_cluster_label,n_sites,n_patients,mortality,pm25_mean,no2_mean
1,Cluster 1: Room air / No ARF,10,27800,0.10273381294964029,7.784944598423672,7.56810812930119
2,Cluster 2: Low-flow oxygen / No ARF,10,35845,0.17723531873343562,7.743514098065093,7.573011536282844
3,Cluster 3: Noninvasive ventilation / No ARF,10,14444,0.3283024093049017,7.733575633335382,7.443176880727331
4,Cluster 4: Invasive ventilation / Predominantly no ARF,10,31786,0.43220285660353613,7.798521766444122,7.578518737096107
5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,10,21954,0.3558349275758404,7.718569941189064,7.669278454868393
