county_fips,county_total,dominant_cluster,dominant_cluster_prop,worst_cluster_prop,mean_severity_rank,pooled_cluster_label,dominant_cluster_phenotype
45041,3,1,0.3333333333333333,0.3333333333333333,2.6666666666666665,Cluster 1: Room air / No ARF,Room air / No ARF
45045,9,2,0.3333333333333333,0.3333333333333333,2.7777777777777777,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
45051,41,3,0.4634146341463415,0.024390243902439025,2.5609756097560976,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
45059,16,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
45063,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
45069,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
45073,2,1,0.5,0.5,1.5,Cluster 1: Room air / No ARF,Room air / No ARF
45079,6,2,0.3333333333333333,0.3333333333333333,2.6666666666666665,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
45083,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
45085,3,1,0.6666666666666666,0.3333333333333333,1.6666666666666667,Cluster 1: Room air / No ARF,Room air / No ARF
45091,2,4,0.5,0.5,4.5,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
46005,2,2,0.5,0.5,3,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
46007,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
46009,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
46011,3,1,0.3333333333333333,0.3333333333333333,3.3333333333333335,Cluster 1: Room air / No ARF,Room air / No ARF
46013,5,4,0.6,0.2,3.8,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
46023,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
