pooled_cluster,pooled_cluster_label,term_clean,effect_type,k,estimate_fixed,std_error_fixed,conf_low_fixed,conf_high_fixed,estimate_random,std_error_random,conf_low_random,conf_high_random,tau2,q,i2,pooled_effect_random,pooled_conf_low_random,pooled_conf_high_random,covariate_label,site_included
1,Cluster 1: Room air / No ARF,admit_year,RRR,7,0.015192491407181975,2.286602910232415e-5,0.015147673990141419,0.01523730882422253,0.012561938678959404,0.05473970615145462,-0.09472788537789165,0.11985176273581047,0.020975042391074783,32449566.05214158,0.9999998150976814,1.0126411712546337,0.9096204218115851,1.1273297269180726,"Admission year, per year",Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
1,Cluster 1: Room air / No ARF,advanced_cancer_any_poaTRUE,RRR,7,-0.10611815291886184,0.007504019369376154,-0.12082603088283911,-0.09141027495488457,0.24547716793342245,0.13145040107488876,-0.012165618173359538,0.5031199540402045,0.11667301966176458,400.183926608592,0.9850068940778113,1.2782310986000534,0.9879080837800469,1.6538732380613599,Advanced cancer present on admission,Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
1,Cluster 1: Room air / No ARF,age_years,RRR,7,-0.011317401187167227,7.005372060173832e-4,-0.012690454110961298,-0.009944348263373157,-0.008682237396627006,0.005099752024309603,-0.018677751364273826,0.0013132765710198151,1.764759186852399e-4,294.40943526853226,0.9796202183719847,0.9913553443831862,0.9814955969040489,1.00131413929632,"Age, per year",Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
1,Cluster 1: Room air / No ARF,race_categoryAsian,RRR,6,1.531851304927844,0.0010456480497347265,1.529801834750364,1.533900775105324,0.356539253559334,0.45068817548840623,-0.5268095703979422,1.2398880775166101,1.2170471251124573,30417.244611014303,0.9998356195617341,1.4283775983230353,0.5904858712441028,3.455226725564873,Asian race,Emory; Minnesota; NU; Penn; UCMC; UCSF
1,Cluster 1: Room air / No ARF,race_categoryBlack or African American,RRR,7,0.4402654718605019,0.015240820337573948,0.41039346399885696,0.47013747972214687,0.4722333583683395,0.2115100202128924,0.05767371875107041,0.8867929979856086,0.31024322916099245,1102.1930980952866,0.9945563077736844,1.6035715469075233,1.059369286980183,2.4273326947031744,Black race,Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
1,Cluster 1: Room air / No ARF,charlson_score,RRR,7,0.015033518043168702,0.0039274743282961145,0.007335668359708318,0.022731367726629086,0.01787279741668401,0.011492259666252847,-0.004652031529171572,0.04039762636253959,7.533993123022723e-4,44.639774323817335,0.8655907183473657,1.0180334716658026,0.9953587724095886,1.04122471028512,"Charlson score, per point",Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
1,Cluster 1: Room air / No ARF,sex_categoryMale,RRR,7,0.07675654884282246,0.015542593770546866,0.0462930650525506,0.10722003263309432,0.06992818247667013,0.043380297869997635,-0.015097201348525241,0.1549535663018655,0.010663342167516413,41.43591422682789,0.8551980784795796,1.0724311591386897,0.9850161900476533,1.167603743686602,Male sex,Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
1,Cluster 1: Room air / No ARF,race_categoryNative Hawaiian or Other Pacific Islander,RRR,6,-136.98968954908,5.616830552205049e-18,-136.98968954908,-136.98968954908,,Inf,,,Inf,4426711769280.915,0.9999999999988705,,,,Native Hawaiian or Pacific Islander race,Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
1,Cluster 1: Room air / No ARF,race_categoryOther,RRR,7,0.21214616805065686,5.239676841112011e-4,0.2111191913897989,0.21317314471151483,0.16059806447368738,0.303072924325778,-0.4334248672048374,0.7546209961522122,0.6416091585482375,393320.35069672257,0.9999847452592031,1.1742129160664196,0.6482849982498874,2.1268053031912717,Other race,Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
1,Cluster 1: Room air / No ARF,race_categoryUnknown,RRR,7,-0.773572668092789,0.0013590292218047257,-0.7762363653675263,-0.7709089708180518,-0.026101482895084932,0.40022197293169903,-0.810536549841215,0.7583335840510451,1.1210314827333459,195101.09739690347,0.9999692467132166,0.9742362162801337,0.44461944172084006,2.1347159301858833,Unknown race,Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
1,Cluster 1: Room air / No ARF,sex_categoryUnknown,RRR,3,-92.41432033407821,1.02477238005541e-37,-92.41432033407821,-92.41432033407821,,Inf,,,Inf,6775284800956639e18,1,,,,Unknown sex,Emory; NU; Penn; UCSF
1,Cluster 1: Room air / No ARF,race_categoryWhite,RRR,7,0.18825000186187402,0.014605734641073396,0.15962276196537017,0.21687724175837786,0.24758768905533612,0.23865316652061958,-0.22017251732507825,0.7153478954357505,0.39652987377907833,1530.43252689805,0.9960795396761718,1.2809316811481568,0.8023803615078158,2.044897969194702,White race,Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
2,Cluster 2: Low-flow oxygen / No ARF,admit_year,RRR,5,0.015517219180805572,3.273457682919138e-5,0.015453059410220358,0.015581378951390787,0.02749673040822314,0.016315276685597933,-0.0044812118955488076,0.05947467271199509,0.0013309340045196143,901236.9110737295,0.9999955616553752,1.0278782543594704,0.9955288137532013,1.0612788813232628,"Admission year, per year",Michigan; NU; OHSU; RUSH; UCSF
