outcome,race_covariate,pooled_effect,conf_low,conf_high,estimate_ci,k,site_included
ICU LOS,Asian race,1.048587542325973,0.9257310532842269,1.1877486771351007,"1.05 (0.93, 1.19)",8,Emory; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Mortality,Asian race,1.1016721290240123,0.8322201204048589,1.4583659420272943,"1.10 (0.83, 1.46)",8,Emory; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Post-72h survival,Asian race,1.1584712547211478,0.7933777547489723,1.6915720663731257,"1.16 (0.79, 1.69)",8,Emory; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,Asian race,1.0613239417490792,0.7841124793022346,1.4365394494577746,"1.06 (0.78, 1.44)",8,Emory; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,Black race,1.082150795780331,0.9719556874111164,1.204839232874075,"1.08 (0.97, 1.20)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Mortality,Black race,0.8766520577663098,0.6985393817630208,1.100179675548522,"0.88 (0.70, 1.10)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Post-72h survival,Black race,0.8882220024416313,0.6693439582215546,1.1786740074828324,"0.89 (0.67, 1.18)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,Black race,0.9395723824306775,0.7590268999720704,1.1630632087728952,"0.94 (0.76, 1.16)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,Other race,0.967104263353044,0.8368933699181262,1.1175744602769813,"0.97 (0.84, 1.12)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Mortality,Other race,1.0701633293678006,0.7983533015885922,1.434514705763372,"1.07 (0.80, 1.43)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Post-72h survival,Other race,1.0821533782059631,0.7381472546143921,1.5864801049410353,"1.08 (0.74, 1.59)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,Other race,1.0984870997016118,0.8573942587946044,1.407373440903722,"1.10 (0.86, 1.41)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,White race,0.9788419085498062,0.8864352873860621,1.0808814761411227,"0.98 (0.89, 1.08)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Mortality,White race,1.0016076536476184,0.8132511349499226,1.233589292079208,"1.00 (0.81, 1.23)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Post-72h survival,White race,0.9436617178794137,0.7400952511671699,1.2032200401053295,"0.94 (0.74, 1.20)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,White race,0.8873235716120331,0.675709867517054,1.1652088545509711,"0.89 (0.68, 1.17)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
