site_name,stratum,pooled_cluster_label,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75,pooled_cluster
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,age_years,,continuous,14444,65.44059930988645,16.18751342814702,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,charlson_score,,continuous,14444,3.70721406812517,3.1218066372433446,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,deescalations_icu,,continuous,14444,4.746607587925784,7.37766944858225,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,escalations_icu,,continuous,14444,4.2781777900858495,7.348922799879787,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,icu_los_hours,,continuous,14444,195.5822082987169,261.55524469215214,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,imv_hours_72h,,continuous,14444,0.9745915258931033,3.7762827263939553,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,imv_hours_icu,,continuous,14444,23.23255330933258,97.87247935528866,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,no2_1y,,continuous,14191,6.62331823037919,2.761617539714624,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,no2_3y,,continuous,14191,6.966866296791212,2.889068464736858,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,no2_5y,,continuous,14191,7.438220032334269,3.0414946163457817,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,pm25_1y,,continuous,14191,8.165024203348928,1.4709994163944387,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,pm25_3y,,continuous,14191,7.818296469631587,1.0554869336213646,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,pm25_5y,,continuous,14191,7.736467250279131,0.9005781027426523,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,sofa_cns,,continuous,14444,0.6141650512323457,1.0312818853808754,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,sofa_coag,,continuous,14444,0.37371919135973414,0.8213157526410061,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,sofa_cv,,continuous,14444,0.7997092218222104,1.1714943454855653,,,,3
