site_run,site_name,exposure,pooled_cluster,pooled_cluster_label,model,term,estimate,std_error,effect,conf_low,conf_high,is_reference
run_Emory_20260406,Emory,PM2.5,1,Cluster 1: Room air / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra2,-0.057273085271656005,0.11758292787932399,0.9443361498570978,0.7499598374778782,1.18909136111337,FALSE
run_Emory_20260406,Emory,PM2.5,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra3,-0.007468534658974271,0.0940121979226026,0.9925592855442009,0.8255277150053629,1.19338686928714,FALSE
run_Emory_20260406,Emory,PM2.5,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra4,0.20422403585707805,0.07628137817200101,1.2265729189915702,1.05623693949743,1.4243784413744798,FALSE
run_Emory_20260406,Emory,PM2.5,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra5,-0.127126951167603,0.08650970760372799,0.8806218695259891,0.7432773811156358,1.0433451855126499,FALSE
run_Emory_20260406,Emory,NO2,1,Cluster 1: Room air / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra2,-0.112502156762467,0.117487604251578,0.8935954198333751,0.7097958673251641,1.12498932595416,FALSE
run_Emory_20260406,Emory,NO2,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra3,-0.043652226093044415,0.0944322087857483,0.95728681896653,0.795535858679612,1.1519255150711198,FALSE
run_Emory_20260406,Emory,NO2,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra4,0.16896238768484403,0.07724814828326722,1.18407560226169,1.01771102972332,1.3776356853011098,FALSE
run_Emory_20260406,Emory,NO2,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra5,-0.09312105721618762,0.0881542688652958,0.911083200424019,0.766513150553273,1.08292023104329,FALSE
run_Michigan_20260407,Michigan,PM2.5,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra2,-0.0239777964137106,0.08048602652973619,0.9763073870425648,0.8338261026205012,1.14313537438837,FALSE
run_Michigan_20260407,Michigan,PM2.5,1,Cluster 1: Room air / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra3,-0.020098373290823902,0.10348355625605903,0.9801022526802861,0.8001739451170329,1.20048950802625,FALSE
run_Michigan_20260407,Michigan,PM2.5,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra4,5.62760888587945e-4,0.07566415088820554,1.0005629192682102,0.862656260534261,1.1605157247621403,FALSE
run_Michigan_20260407,Michigan,PM2.5,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra5,-0.0107303938860977,0.10899680107093603,0.9893269714229128,0.799024137539939,1.22495405382658,FALSE
run_Michigan_20260407,Michigan,NO2,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra2,-0.13383160497091098,0.0826253856848696,0.8747373536237262,0.743953042609343,1.0285130834883,FALSE
run_Michigan_20260407,Michigan,NO2,1,Cluster 1: Room air / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra3,-0.019879614897057005,0.10386796239535798,0.9803166817280308,0.7997462243576139,1.2016571847478101,FALSE
run_Michigan_20260407,Michigan,NO2,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra4,-0.05231197709941301,0.07702522287493573,0.949032744170771,0.8160485616732751,1.10368817716133,FALSE
run_Michigan_20260407,Michigan,NO2,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra5,-0.014317621425587498,0.104174955659306,0.9857843882902408,0.8037230498402429,1.2090867126305798,FALSE
run_Minnesota_20260407,Minnesota,PM2.5,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra2,0.313092565741181,0.07232886339081289,1.36764812253063,1.1868799740976501,1.57594822381566,FALSE
