term_group,model,term,effect_type,k,estimate_fixed,std_error_fixed,conf_low_fixed,conf_high_fixed,estimate_random,std_error_random,conf_low_random,conf_high_random,tau2,q,i2,pooled_effect_fixed,pooled_effect_random,pooled_conf_low_random,pooled_conf_high_random,site_included
icu_los,glm_los_quasipoisson,no2_5y_z,RR_like,9,0.0015507531537642123,0.009821575124144107,-0.01769953408955824,0.020801040397086662,-2.740867310263422e-4,0.04088850548675677,-0.08041555748506962,0.07986738402301694,0.01392709243980685,132.49720231106429,0.9396213666367207,1.0015519561932282,0.9997259508273102,0.9227328181738337,1.0831434160275881,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
icu_los,glm_los_quasipoisson,pm25_5y_z,RR_like,9,-0.05487451938764621,0.009046076819972562,-0.07260482995479244,-0.037144208820499985,-0.05708813896393944,0.026488522980910336,-0.1090056440065237,-0.0051706339213551805,0.00537014941483375,64.50900717119521,0.8759863102718439,0.9466039209411307,0.9445108174928268,0.8967253563601917,0.9948427107960959,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
mortality,glm_mortality,no2_5y_z,OR,9,0.024556184404394818,0.017730150829399955,-0.010194911221229092,0.05930728003001873,0.024556184404394818,0.017730150829399955,-0.010194911221229092,0.05930728003001873,0,4.064635247147757,0,1.0248601706479232,1.0248601706479232,0.9898568807319593,1.061101245872845,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
mortality,glm_mortality,pm25_5y_z,OR,9,-0.030695100460732115,0.016603053133872614,-0.06323708460312244,0.0018468836816582096,-0.030639064055426782,0.018800549208935882,-0.06748814050494112,0.006210012394087548,5.11540457227456e-4,9.555758161910726,0.16280844863906052,0.9697712107992008,0.96982555481443,0.9347388060805455,1.006229334497181,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
mortality_direct_no2_plus_cluster,glm_direct_no2_cluster,no2_5y_z,OR,9,0.024556184404380777,0.01773015082939994,-0.010194911221243105,0.059307280030004655,0.024556184404380777,0.01773015082939994,-0.010194911221243105,0.059307280030004655,0,4.064635247124279,0,1.0248601706479088,1.0248601706479088,0.9898568807319454,1.0611012458728302,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
mortality_direct_no2_plus_severity,glm_direct_no2_severity,no2_5y_z,OR,9,0.024556184404425557,0.017730150829400017,-0.010194911221198477,0.05930728003004959,0.024556184404425557,0.017730150829400017,-0.010194911221198477,0.05930728003004959,0,4.064635247137427,0,1.0248601706479548,1.0248601706479548,0.9898568807319896,1.061101245872878,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
mortality_total_no2,glm_total_no2,no2_5y_z,OR,9,0.01924345802337621,0.016435488573638975,-0.012970099580956178,0.051457015627708595,0.031128785004850838,0.028886648915980653,-0.02548904687047124,0.08774661688017292,0.004283124767115313,21.397315186514625,0.6261213180127433,1.0194298067738632,1.0316183523064029,0.9748330563800008,1.0917114657225229,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
post72_survival,cox72_landmark,no2_5y_z,HR,9,-0.06991342131126672,0.011680658906877448,-0.09280751276874652,-0.04701932985378693,-0.11890236284788806,0.04406687172420799,-0.20527343142733573,-0.0325312942684404,0.015496697742690423,104.21532714484022,0.9232358596458516,0.9324745488349107,0.8878944880191189,0.8144245966835871,0.9679921567509071,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
post72_survival,cox72_landmark,pm25_5y_z,HR,9,0.05520586173515913,0.011264120507073722,0.03312818554129464,0.07728353792902362,0.10444156590536359,0.04498380487378256,0.016273308352749774,0.1926098234579774,0.016396611527102072,117.65350682898136,0.9320037267428958,1.0567581383488296,1.1100905248361705,1.0164064398178563,1.2124096474161232,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
trajectory_severity,polr_severity_rank,no2_5y_z,Ordinal_OR,9,-0.007598754350388478,0.009087285608278168,-0.025409834142613687,0.010212325441836732,-0.04845216773195002,0.057316566032725995,-0.16079263715609296,0.06388830169219292,0.028543873586205894,303.4942898494484,0.973640360733085,0.9924300431954592,0.9527029081568704,0.851468615755779,1.0659733246949072,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
trajectory_severity,polr_severity_rank,pm25_5y_z,Ordinal_OR,9,-0.06710351205132781,0.008924897099684807,-0.08459631036671003,-0.04961071373594558,-0.05136989480012878,0.044574078860653746,-0.13873508936701012,0.03599529976675256,0.016930989192513023,190.17825274277985,0.9579342018100241,0.9350984023731104,0.9499272323951006,0.8704585916540887,1.036650973978099,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
