k,avg_sil_width,min_sil_width
2,0.35728344729514955,-0.3082619402936645
3,0.3849442549135165,-0.5920439877012071
4,0.42216073077013633,-0.5920439877012071
5,0.43582554177056354,-0.5722918861387626
6,0.4173275305387759,-0.5722918861387626
7,0.3957118323531308,-0.5806107230159033
8,0.3539949875966995,-0.5806107230159033
9,0.3582686702335097,-0.5806107230159033
10,0.3646537487618752,-0.5584626660641847
