traj_cluster_ra,h,arf,n,prop
1,29,ARF_HYPOX,56,0.09655172413793103
1,29,ARF_MIXED,12,0.020689655172413793
1,29,NO_ARF,505,0.8706896551724138
1,30,ARF_HYPER,7,0.01206896551724138
1,30,ARF_HYPOX,58,0.1
1,30,ARF_MIXED,13,0.022413793103448276
1,30,NO_ARF,502,0.8655172413793103
1,31,ARF_HYPER,5,0.008620689655172414
1,31,ARF_HYPOX,53,0.09137931034482759
1,31,ARF_MIXED,11,0.01896551724137931
1,31,NO_ARF,511,0.8810344827586207
1,32,ARF_HYPER,2,0.0034482758620689655
1,32,ARF_HYPOX,55,0.09482758620689655
1,32,ARF_MIXED,11,0.01896551724137931
1,32,NO_ARF,512,0.8827586206896552
1,33,ARF_HYPER,3,0.005172413793103448
1,33,ARF_HYPOX,52,0.0896551724137931
1,33,ARF_MIXED,11,0.01896551724137931
1,33,NO_ARF,514,0.8862068965517241
1,34,ARF_HYPER,4,0.006896551724137931
1,34,ARF_HYPOX,56,0.09655172413793103
1,34,ARF_MIXED,9,0.015517241379310345
1,34,NO_ARF,511,0.8810344827586207
1,35,ARF_HYPER,4,0.006896551724137931
1,35,ARF_HYPOX,51,0.08793103448275862
1,35,ARF_MIXED,7,0.01206896551724138
1,35,NO_ARF,518,0.8931034482758621
1,36,ARF_HYPER,3,0.005172413793103448
1,36,ARF_HYPOX,47,0.08103448275862069
1,36,ARF_MIXED,7,0.01206896551724138
1,36,NO_ARF,523,0.9017241379310345
1,37,ARF_HYPER,2,0.0034482758620689655
1,37,ARF_HYPOX,48,0.08275862068965517
1,37,ARF_MIXED,5,0.008620689655172414
1,37,NO_ARF,525,0.9051724137931034
1,38,ARF_HYPER,4,0.006896551724137931
1,38,ARF_HYPOX,48,0.08275862068965517
1,38,ARF_MIXED,6,0.010344827586206896
1,38,NO_ARF,522,0.9
1,39,ARF_HYPER,3,0.005172413793103448
1,39,ARF_HYPOX,53,0.09137931034482759
1,39,ARF_MIXED,5,0.008620689655172414
1,39,NO_ARF,519,0.8948275862068965
1,40,ARF_HYPER,2,0.0034482758620689655
1,40,ARF_HYPOX,56,0.09655172413793103
1,40,ARF_MIXED,6,0.010344827586206896
1,40,NO_ARF,516,0.8896551724137931
1,41,ARF_HYPER,2,0.0034482758620689655
1,41,ARF_HYPOX,51,0.08793103448275862
1,41,ARF_MIXED,7,0.01206896551724138
1,41,NO_ARF,520,0.896551724137931
1,42,ARF_HYPER,3,0.005172413793103448
1,42,ARF_HYPOX,45,0.07758620689655173
1,42,ARF_MIXED,6,0.010344827586206896
1,42,NO_ARF,526,0.906896551724138
1,43,ARF_HYPER,5,0.008620689655172414
1,43,ARF_HYPOX,48,0.08275862068965517
1,43,ARF_MIXED,4,0.006896551724137931
1,43,NO_ARF,523,0.9017241379310345
1,44,ARF_HYPER,5,0.008620689655172414
1,44,ARF_HYPOX,45,0.07758620689655173
1,44,ARF_MIXED,5,0.008620689655172414
1,44,NO_ARF,525,0.9051724137931034
1,45,ARF_HYPER,4,0.006896551724137931
1,45,ARF_HYPOX,47,0.08103448275862069
1,45,ARF_MIXED,5,0.008620689655172414
1,45,NO_ARF,524,0.903448275862069
1,46,ARF_HYPER,4,0.006896551724137931
1,46,ARF_HYPOX,48,0.08275862068965517
1,46,ARF_MIXED,5,0.008620689655172414
1,46,NO_ARF,523,0.9017241379310345
1,47,ARF_HYPER,5,0.008620689655172414
1,47,ARF_HYPOX,40,0.06896551724137931
1,47,ARF_MIXED,5,0.008620689655172414
1,47,NO_ARF,530,0.9137931034482759
1,48,ARF_HYPER,4,0.006896551724137931
1,48,ARF_HYPOX,43,0.07413793103448275
1,48,ARF_MIXED,5,0.008620689655172414
1,48,NO_ARF,528,0.9103448275862069
1,49,ARF_HYPER,3,0.005172413793103448
1,49,ARF_HYPOX,43,0.07413793103448275
1,49,ARF_MIXED,4,0.006896551724137931
1,49,NO_ARF,530,0.9137931034482759
1,50,ARF_HYPOX,44,0.07586206896551724
1,50,ARF_MIXED,4,0.006896551724137931
1,50,NO_ARF,532,0.9172413793103448
1,51,ARF_HYPOX,48,0.08275862068965517
1,51,ARF_MIXED,4,0.006896551724137931
