traj_cluster_ra,no2_5y_z,pm25_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_prob
1,-2,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.0588809968703127
1,-1.9,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05877664849641504
1,-1.8,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05867247351891633
1,-1.7,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05856847169052073
1,-1.6,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05846464276413862
1,-1.5,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.058360986492889746
1,-1.4,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.058257502630100426
1,-1.2999999999999998,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05815419092930671
1,-1.2,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05805105114425351
1,-1.1,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05794808302889393
1,-1,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.0578452863373918
1,-0.8999999999999999,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.057742660824121016
1,-0.7999999999999998,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.057640206243664636
1,-0.7,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.057537922350817686
1,-0.5999999999999999,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.0574358089005862
1,-0.5,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.057333865648186544
1,-0.3999999999999999,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05723209234904843
1,-0.2999999999999998,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05713048875881213
1,-0.19999999999999996,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.057029054633331626
1,-0.09999999999999987,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05692778972867366
1,0,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05682669380111706
1,0.10000000000000009,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05672576660715531
1,0.20000000000000018,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05662500790349572
1,0.30000000000000027,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.056524417447058675
1,0.40000000000000036,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.056423994994980214
1,0.5,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.056323740304611215
1,0.6000000000000001,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05622365313351659
1,0.7000000000000002,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.056123733239478286
1,0.8000000000000003,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05602398038049255
1,0.9000000000000004,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.0559243943147729
1,1,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.055824974800749286
1,1.1,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05572572159706736
1,1.2000000000000002,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05562663446259093
1,1.3000000000000003,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.05552771315640123
1,1.4000000000000004,0,69.5229716520039,Female,White,2020,7.367546432062561,FALSE,0.055428957437796036
