traj_cluster_ra,h,arf,n,prop
1,64,NO_ARF,176,0.9943502824858758
1,65,ARF_HYPER,2,0.011299435028248588
1,65,NO_ARF,175,0.9887005649717514
1,66,ARF_HYPER,1,0.005649717514124294
1,66,ARF_MIXED,1,0.005649717514124294
1,66,NO_ARF,175,0.9887005649717514
1,67,ARF_HYPER,1,0.005649717514124294
1,67,ARF_MIXED,1,0.005649717514124294
1,67,NO_ARF,175,0.9887005649717514
1,68,ARF_HYPER,2,0.011299435028248588
1,68,ARF_MIXED,1,0.005649717514124294
1,68,NO_ARF,174,0.9830508474576272
1,69,ARF_HYPER,2,0.011299435028248588
1,69,ARF_MIXED,1,0.005649717514124294
1,69,NO_ARF,174,0.9830508474576272
1,70,ARF_HYPER,2,0.011299435028248588
1,70,ARF_MIXED,1,0.005649717514124294
1,70,NO_ARF,174,0.9830508474576272
1,71,ARF_HYPER,2,0.011299435028248588
1,71,ARF_MIXED,1,0.005649717514124294
1,71,NO_ARF,174,0.9830508474576272
1,72,ARF_HYPER,1,0.005649717514124294
1,72,ARF_MIXED,1,0.005649717514124294
1,72,NO_ARF,175,0.9887005649717514
2,0,ARF_HYPER,4,0.028368794326241134
2,0,ARF_HYPOX,3,0.02127659574468085
2,0,ARF_MIXED,1,0.0070921985815602835
2,0,NO_ARF,133,0.9432624113475178
2,1,ARF_HYPER,5,0.03546099290780142
2,1,ARF_HYPOX,4,0.028368794326241134
2,1,ARF_MIXED,2,0.014184397163120567
2,1,NO_ARF,130,0.9219858156028369
2,2,ARF_HYPER,5,0.03546099290780142
2,2,ARF_HYPOX,4,0.028368794326241134
2,2,ARF_MIXED,2,0.014184397163120567
2,2,NO_ARF,130,0.9219858156028369
2,3,ARF_HYPER,5,0.03546099290780142
2,3,ARF_HYPOX,6,0.0425531914893617
2,3,ARF_MIXED,2,0.014184397163120567
2,3,NO_ARF,128,0.9078014184397163
2,4,ARF_HYPER,5,0.03546099290780142
2,4,ARF_HYPOX,6,0.0425531914893617
2,4,ARF_MIXED,2,0.014184397163120567
2,4,NO_ARF,128,0.9078014184397163
2,5,ARF_HYPER,5,0.03546099290780142
2,5,ARF_HYPOX,7,0.04964539007092199
2,5,ARF_MIXED,2,0.014184397163120567
2,5,NO_ARF,127,0.900709219858156
2,6,ARF_HYPER,5,0.03546099290780142
2,6,ARF_HYPOX,7,0.04964539007092199
2,6,ARF_MIXED,2,0.014184397163120567
2,6,NO_ARF,127,0.900709219858156
2,7,ARF_HYPER,2,0.014184397163120567
2,7,ARF_HYPOX,4,0.028368794326241134
2,7,ARF_MIXED,1,0.0070921985815602835
2,7,NO_ARF,134,0.950354609929078
2,8,ARF_HYPER,2,0.014184397163120567
2,8,ARF_HYPOX,3,0.02127659574468085
2,8,ARF_MIXED,2,0.014184397163120567
2,8,NO_ARF,134,0.950354609929078
2,9,ARF_HYPER,1,0.0070921985815602835
2,9,ARF_HYPOX,3,0.02127659574468085
2,9,ARF_MIXED,2,0.014184397163120567
