traj_cluster_ra,pct_room_air,pct_low_o2,pct_niv,pct_imv,pct_other,pct_no_arf,pct_hypox,pct_hyper,pct_mixed,pct_vaso,transition_count,n_cluster
1,0.888553517529603,0.09031808683538425,0.012228155715501897,0.008900239919510873,0,0.988623171581147,0.004875783608079869,0.005417537342310966,0.0010835074684621933,0.04001238294249671,1.5649717514124293,177
2,0.08432915573690858,0.8450403186631691,0.0579034295152045,0.01272709608471777,0,0.9803750121441757,0.007383658797240843,0.005634897503157485,0.006606431555426017,0.027883027300106868,2.148936170212766,141
3,0.0136986301369863,0.0410958904109589,0.8657534246575342,0.07945205479452054,0,0.9226027397260274,0.022602739726027395,0.0027397260273972603,0.052054794520547946,0.086986301369863,1.1,20
4,0.026889903602232368,0.0547945205479452,0.06189751395230847,0.8564180618975139,0,0.7245053272450532,0.15575849822425164,0.019279553526128868,0.1004566210045662,0.4074074074074074,1.2222222222222223,27
