no2_5y_z,pm25_5y_z,traj_cluster_ra,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_icu_los_hours
-2,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,82.58379804608762
-1.9,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,82.72182193848548
-1.8,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,82.86007651287332
-1.7,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,82.99856215479203
-1.6,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,83.13727925043392
-1.5,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,83.27622818662974
-1.4,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,83.41540935085902
-1.2999999999999998,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,83.55482313124662
-1.2,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,83.69446991657314
-1.1,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,83.83435009626183
-1,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,83.9744640603892
-0.8999999999999999,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,84.1148121996813
-0.7999999999999998,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,84.25539490552434
-0.7,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,84.39621256995157
-0.5999999999999999,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,84.53726558565378
-0.5,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,84.67855434597567
-0.3999999999999999,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,84.82007924492659
-0.2999999999999998,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,84.96184067716717
-0.19999999999999996,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,85.10383903802006
-0.09999999999999987,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,85.24607472346618
0,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,85.38854813015553
0.10000000000000009,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,85.53125965539381
0.20000000000000018,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,85.67420969715067
0.30000000000000027,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,85.81739865406826
0.40000000000000036,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,85.96082692544763
0.5,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,86.10449491125968
0.6000000000000001,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,86.24840301214127
0.7000000000000002,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,86.39255162940627
0.8000000000000003,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,86.53694116503189
0.9000000000000004,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,86.68157202166962
1,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,86.82644460264144
1.1,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,86.97155931195084
1.2000000000000002,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,87.11691655426911
1.3000000000000003,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,87.26251673494632
1.4000000000000004,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,87.40836026000754
1.5,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,87.55444753616392
1.6,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,87.70077897079886
1.7000000000000002,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,87.84735497197913
1.8000000000000003,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,87.99417594845102
1.9000000000000004,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,88.14124230965142
2,0,1,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,88.2885544656915
