site_run,site_name,has_centroids,has_severity,has_static,has_model_outputs,has_overall_cont,has_overall_cat,has_bycluster_cont,has_bycluster_cat,has_contrast_no2,has_contrast_pm25
run_Emory_20260406,Emory,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
run_Michigan_20260407,Michigan,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
run_Minnesota_20260407,Minnesota,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
run_NU_20260402,NU,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
run_OHSU_20260407,OHSU,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
run_Penn_20260406,Penn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
run_RUSH_20260402,RUSH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
run_UCMC_20260402,UCMC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
run_UCSF_20260402,UCSF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
