pooled_cluster,pooled_cluster_label,exposure,n_sites,n_patients,risk_diff_weighted,risk_ratio_weighted,low_prob_weighted,high_prob_weighted,min_site_risk_diff,max_site_risk_diff
1,Cluster 1: Room air / No ARF,no2_5y_z,9,17262,0.002392931565324604,1.0263581044093637,0.07391220382251355,0.07630513538783815,-0.018366874711726402,0.04774282704780071
2,Cluster 2: Low-flow oxygen / No ARF,no2_5y_z,9,23361,-0.0051777809688894096,0.9823632799854674,0.1273741742156973,0.12219639324680788,-0.0493545120806275,0.024021490865796403
3,Cluster 3: Noninvasive ventilation / No ARF,no2_5y_z,9,11475,0.010075474488972018,1.049443241756972,0.25773894830206534,0.2678144227910373,-0.0769006266041588,0.051024680933121604
4,Cluster 4: Invasive ventilation / Predominantly no ARF,no2_5y_z,9,19824,0.03363692160076029,1.0931191943843872,0.421818503473855,0.4554554250746153,7.680637741724891e-5,0.10756123732807002
5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,no2_5y_z,9,14620,0.012005656570170657,1.0240652816952598,0.3936551468546026,0.40566080342477356,-0.07729515847037373,0.08376437954331312
1,Cluster 1: Room air / No ARF,pm25_5y_z,9,17262,-0.0021906970666184266,0.9202124938916879,0.07620637617929134,0.0740156791126728,-0.03825219103559591,0.04103782492410951
2,Cluster 2: Low-flow oxygen / No ARF,pm25_5y_z,9,23361,-0.01720888605465175,0.8515975797378255,0.1332658040417658,0.1160569179871143,-0.051471366472229996,-0.008901818083823778
3,Cluster 3: Noninvasive ventilation / No ARF,pm25_5y_z,9,11475,-0.011749959400207906,0.9288916123493076,0.2682130098495538,0.2564630504493458,-0.0796015145871707,0.07892006824966111
4,Cluster 4: Invasive ventilation / Predominantly no ARF,pm25_5y_z,9,19824,0.0028125632850416566,1.0009572136379,0.43674264349262004,0.4395552067776615,-0.06875389106628661,0.05909869734330461
5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,pm25_5y_z,9,14620,-0.015527448783327787,0.9419382828818907,0.4076031500567778,0.39207570127345,-0.14851428633114006,0.12592195381041302
