model,exposure,pooled_cluster,pooled_cluster_label,recoded_term,effect_type,k,estimate_fixed,std_error_fixed,conf_low_fixed,conf_high_fixed,estimate_random,std_error_random,conf_low_random,conf_high_random,tau2,q,i2,pooled_effect_random,pooled_conf_low_random,pooled_conf_high_random,site_included
glm_interaction_no2,NO2,1,Cluster 1: Room air / No ARF,NO2 x Cluster 1: Room air / No ARF,OR,7,0.03706085422055153,0.03298995289115886,-0.027599453446119825,0.10172116188722288,0.03706085422055153,0.03298995289115886,-0.027599453446119825,0.10172116188722288,0,3.656173735379229,0,1.0377561707595622,0.9727779316248177,1.1070747340564715,Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
glm_interaction_no2,NO2,2,Cluster 2: Low-flow oxygen / No ARF,NO2 x Cluster 2: Low-flow oxygen / No ARF,OR,5,-0.018324781889741355,0.03960013242612669,-0.09594104144494967,0.05929147766546696,-0.013212627418006051,0.05782287389979151,-0.1265454602615974,0.1001202054255853,0.006103954217714351,6.464205536895107,0.3812077946517023,0.9868742761809657,0.8811340920466835,1.105303773601017,Michigan; NU; OHSU; RUSH; UCSF
glm_interaction_no2,NO2,3,Cluster 3: Noninvasive ventilation / No ARF,NO2 x Cluster 3: Noninvasive ventilation / No ARF,OR,9,0.042929763161120106,0.02851760116502251,-0.01296473512232401,0.09882426144456422,0.029352700917583182,0.05134636088213805,-0.07128616641140739,0.12999156824657376,0.012736854832575476,20.749235160340156,0.6144436198163532,1.0297877375108613,0.9311953771561945,1.138818781044981,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
glm_interaction_no2,NO2,4,Cluster 4: Invasive ventilation / Predominantly no ARF,NO2 x Cluster 4: Invasive ventilation / Predominantly no ARF,OR,7,0.09764397077257217,0.025784194093079908,0.04710695035013555,0.1481809911950088,0.12458207646275385,0.04391339020040504,0.03851183166995996,0.21065232125554773,0.0072703590849039395,14.70477878494253,0.5919693803116638,1.1326749826012128,1.0392630245023495,1.234483076914046,Emory; Minnesota; NU; OHSU; Penn; RUSH; UCMC
glm_interaction_no2,NO2,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,NO2 x Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,OR,8,0.058005822535029006,0.028891257173010453,0.0013789584759285184,0.1146326865941295,0.03994890717702415,0.06676605179609504,-0.09091255434332213,0.17081036869737043,0.023008138265806572,27.487893572579637,0.7453424366069722,1.040757597590234,0.9130975538234615,1.1862657745671905,Emory; Michigan; Minnesota; OHSU; Penn; RUSH; UCMC; UCSF
glm_interaction_pm25,PM2.5,1,Cluster 1: Room air / No ARF,PM2.5 x Cluster 1: Room air / No ARF,OR,7,0.08488280502973769,0.03315056759918225,0.019907692535340485,0.1498579175241349,0.08488280502973769,0.03315056759918225,0.019907692535340485,0.1498579175241349,0,5.5729510615357185,0,1.0885894820104307,1.0201071721738804,1.1616691781691997,Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
glm_interaction_pm25,PM2.5,2,Cluster 2: Low-flow oxygen / No ARF,PM2.5 x Cluster 2: Low-flow oxygen / No ARF,OR,5,0.028855616548913294,0.03943971094947787,-0.04844621691206333,0.10615745000988991,0.028855616548913294,0.03943971094947787,-0.04844621691206333,0.10615745000988991,0,1.5778744377853338,0,1.0292759733290222,0.9527085775371511,1.1119969466540192,Michigan; NU; OHSU; RUSH; UCSF
glm_interaction_pm25,PM2.5,3,Cluster 3: Noninvasive ventilation / No ARF,PM2.5 x Cluster 3: Noninvasive ventilation / No ARF,OR,9,0.0694950341676716,0.02886147409085282,0.01292654494960007,0.12606352338574311,0.07133475203801981,0.0397161397831251,-0.006508881936905381,0.149178386012945,0.00470752574341213,12.610223076793517,0.36559409367449414,1.0739406695305893,0.9935122549510959,1.1608800555042798,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
glm_interaction_pm25,PM2.5,4,Cluster 4: Invasive ventilation / Predominantly no ARF,PM2.5 x Cluster 4: Invasive ventilation / Predominantly no ARF,OR,7,0.12216081104345305,0.025829590892334133,0.07153481289447816,0.17278680919242795,0.13119144659621645,0.03219489514790115,0.0680894521063302,0.1942934410861027,0.0019453285632545106,8.320340006671195,0.2788756234493736,1.1401860451557873,1.0704610591926482,1.2144526009647518,Emory; Minnesota; NU; OHSU; Penn; RUSH; UCMC
glm_interaction_pm25,PM2.5,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,PM2.5 x Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,OR,8,0.07554795804903447,0.028574684362899175,0.019541576697752083,0.13155433940031686,0.07938663000311955,0.07094303523371723,-0.05966171905496623,0.21843497906120532,0.027378724218205495,31.82650741902291,0.780057550524188,1.082622815626602,0.9420831684716857,1.2441281196188765,Emory; Michigan; Minnesota; OHSU; Penn; RUSH; UCMC; UCSF
