pooled_cluster,pooled_cluster_label,h,rs,n,prop
1,Cluster 1: Room air / No ARF,14,Invasive ventilation,2031,0.12466241099926344
1,Cluster 1: Room air / No ARF,14,Low-flow oxygen,5380,0.33022342253866926
1,Cluster 1: Room air / No ARF,14,Noninvasive ventilation,859,0.05272526393321876
1,Cluster 1: Room air / No ARF,14,Other support,204,0.012521482936410509
1,Cluster 1: Room air / No ARF,14,Room air,7818,0.479867419592438
1,Cluster 1: Room air / No ARF,15,Invasive ventilation,1918,0.11772649152958507
1,Cluster 1: Room air / No ARF,15,Low-flow oxygen,5216,0.3201571323348883
1,Cluster 1: Room air / No ARF,15,Noninvasive ventilation,791,0.048551436287748585
1,Cluster 1: Room air / No ARF,15,Other support,194,0.01190768475325313
1,Cluster 1: Room air / No ARF,15,Room air,8173,0.501657255094525
1,Cluster 1: Room air / No ARF,16,Invasive ventilation,1747,0.10723054259759392
1,Cluster 1: Room air / No ARF,16,Low-flow oxygen,5109,0.31358949177510437
1,Cluster 1: Room air / No ARF,16,Noninvasive ventilation,680,0.04173827645470169
1,Cluster 1: Room air / No ARF,16,Other support,195,0.011969064571568868
1,Cluster 1: Room air / No ARF,16,Room air,8561,0.5254726246010312
1,Cluster 1: Room air / No ARF,17,Invasive ventilation,1602,0.09833046894181194
1,Cluster 1: Room air / No ARF,17,Low-flow oxygen,4980,0.3056714952123742
1,Cluster 1: Room air / No ARF,17,Noninvasive ventilation,657,0.040326540633439725
1,Cluster 1: Room air / No ARF,17,Other support,176,0.01080284802356985
1,Cluster 1: Room air / No ARF,17,Room air,8877,0.5448686471888043
1,Cluster 1: Room air / No ARF,18,Invasive ventilation,1457,0.08943039528602996
1,Cluster 1: Room air / No ARF,18,Low-flow oxygen,4886,0.2999017922906948
1,Cluster 1: Room air / No ARF,18,Noninvasive ventilation,590,0.03621409280628529
1,Cluster 1: Room air / No ARF,18,Other support,175,0.010741468205254113
1,Cluster 1: Room air / No ARF,18,Room air,9184,0.5637122514117359
1,Cluster 1: Room air / No ARF,19,Invasive ventilation,1297,0.0796096243555119
1,Cluster 1: Room air / No ARF,19,Low-flow oxygen,4773,0.29296587282101644
1,Cluster 1: Room air / No ARF,19,Noninvasive ventilation,549,0.03369752025534004
1,Cluster 1: Room air / No ARF,19,Other support,166,0.010189049840412473
1,Cluster 1: Room air / No ARF,19,Room air,9507,0.5835379327277191
1,Cluster 1: Room air / No ARF,20,Invasive ventilation,1178,0.07230542597593911
1,Cluster 1: Room air / No ARF,20,Low-flow oxygen,4644,0.28504787625828626
1,Cluster 1: Room air / No ARF,20,Noninvasive ventilation,511,0.03136508715934201
1,Cluster 1: Room air / No ARF,20,Other support,180,0.011048367296832801
1,Cluster 1: Room air / No ARF,20,Room air,9779,0.6002332433095998
1,Cluster 1: Room air / No ARF,21,Invasive ventilation,1073,0.06586054505278664
1,Cluster 1: Room air / No ARF,21,Low-flow oxygen,4458,0.27363123005155904
1,Cluster 1: Room air / No ARF,21,Noninvasive ventilation,487,0.0298919715197643
1,Cluster 1: Room air / No ARF,21,Other support,166,0.010189049840412473
1,Cluster 1: Room air / No ARF,21,Room air,10108,0.6204272035354775
1,Cluster 1: Room air / No ARF,22,Invasive ventilation,989,0.06070464031426467
1,Cluster 1: Room air / No ARF,22,Low-flow oxygen,4363,0.267800147311564
1,Cluster 1: Room air / No ARF,22,Noninvasive ventilation,464,0.028480235698502332
1,Cluster 1: Room air / No ARF,22,Other support,161,0.009882150748833784
1,Cluster 1: Room air / No ARF,22,Room air,10315,0.6331328259268353
1,Cluster 1: Room air / No ARF,23,Invasive ventilation,904,0.05548735575742696
1,Cluster 1: Room air / No ARF,23,Low-flow oxygen,4168,0.2558310827399951
1,Cluster 1: Room air / No ARF,23,Noninvasive ventilation,460,0.028234716425239382
1,Cluster 1: Room air / No ARF,23,Other support,182,0.011171126933464276
1,Cluster 1: Room air / No ARF,23,Room air,10578,0.6492757181438743
1,Cluster 1: Room air / No ARF,24,Invasive ventilation,817,0.05014731156395777
1,Cluster 1: Room air / No ARF,24,Low-flow oxygen,4027,0.24717652835747606
1,Cluster 1: Room air / No ARF,24,Noninvasive ventilation,452,0.02774367787871348
1,Cluster 1: Room air / No ARF,24,Other support,173,0.010618708568622636
1,Cluster 1: Room air / No ARF,24,Room air,10823,0.66431377363123
1,Cluster 1: Room air / No ARF,25,Invasive ventilation,729,0.04474588755217285
1,Cluster 1: Room air / No ARF,25,Low-flow oxygen,3909,0.239933709796219
1,Cluster 1: Room air / No ARF,25,Noninvasive ventilation,437,0.026822980603977413
1,Cluster 1: Room air / No ARF,25,Other support,150,0.009206972747360667
1,Cluster 1: Room air / No ARF,25,Room air,11067,0.67929044930027
1,Cluster 1: Room air / No ARF,26,Invasive ventilation,665,0.040817579179965625
1,Cluster 1: Room air / No ARF,26,Low-flow oxygen,3741,0.22962190031917507
1,Cluster 1: Room air / No ARF,26,Noninvasive ventilation,441,0.027068499877240363
1,Cluster 1: Room air / No ARF,26,Other support,159,0.009759391112202307
1,Cluster 1: Room air / No ARF,26,Room air,11286,0.6927326295114167
1,Cluster 1: Room air / No ARF,27,Invasive ventilation,612,0.03756444880923152
1,Cluster 1: Room air / No ARF,27,Low-flow oxygen,3632,0.22293150012275964
1,Cluster 1: Room air / No ARF,27,Noninvasive ventilation,428,0.02627056223913577
1,Cluster 1: Room air / No ARF,27,Other support,155,0.009513871838939357
1,Cluster 1: Room air / No ARF,27,Room air,11465,0.7037196169899337
1,Cluster 1: Room air / No ARF,28,Invasive ventilation,569,0.0349251166216548
1,Cluster 1: Room air / No ARF,28,Low-flow oxygen,3480,0.2136017677387675
1,Cluster 1: Room air / No ARF,28,Noninvasive ventilation,402,0.02467468696292659
1,Cluster 1: Room air / No ARF,28,Other support,152,0.009329732383992144
1,Cluster 1: Room air / No ARF,28,Room air,11689,0.717468696292659
1,Cluster 1: Room air / No ARF,29,Invasive ventilation,527,0.03234716425239381
1,Cluster 1: Room air / No ARF,29,Low-flow oxygen,3342,0.20513135281119568
